Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_2,Area RAL95_trypsin_MED_2,#Peptides,#Unique,#Spec RAL95_trypsin_MED_2,PTM,Avg. Mass,Description
1,9880,PMM1436,250.31,36,36,9.44E9,43,43,457,Cation:Fe[II]; Oxidation (M); Deamidation (NQ),57441,| groEL | chaperonin GroEL
7,10413,PMM1483,244.65,29,29,5.15E8,30,30,58,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta'
10,9877,PMM1485,238.03,25,25,6.45E8,25,25,51,Carbamidomethylation; Oxidation (M),122908,| rpoB | DNA-directed RNA polymerase subunit beta
4,10505,PMM1309,220.38,46,46,1.72E9,16,16,63,Carbamidomethylation; Cation:Fe[II]; Oxidation (M); Deamidation (NQ),39151,| ftsZ | cell division protein FtsZ
23,10485,PMM0226,217.59,32,32,1.86E8,13,13,33,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),66746,| ftsH2 | cell division protein FtsH2
6,16009,PMM0642,214.15,38,38,1.56E9,16,16,57,Oxidation (M); Deamidation (NQ); Methylation(KR),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase
17,12823,PMM1287,207.57,31,31,2.43E8,19,19,35,,79939,| PMM1287 | hypothetical protein
5,10114,PMM1508,206.37,50,50,7.4E8,22,22,60,Carbamidomethylation; Cation:Fe[II]; Oxidation (M); Deamidation (NQ); Methylation(KR),43622,| tuf | elongation factor Tu
32,10593,PMM1438,203.08,41,41,2.65E8,14,14,28,Cation:Fe[II]; Oxidation (M),51980,| atpB | F0F1 ATP synthase subunit beta
13,9717,PMM1088,200.00,25,25,3.46E8,19,19,43,Oxidation (M); Deamidation (NQ),93427,| clpC | ClpC
56,10111,PMM0743,197.36,26,26,9.58E7,12,12,18,Carbamidomethylation; Oxidation (M),68885,| ftsH1 | FtsH ATP-dependent protease-like protein
12,10236,PMM1484,187.05,32,32,3.02E8,17,17,42,Carbamidomethylation; Cation:Fe[II]; Oxidation (M); Deamidation (NQ),72380,| rpoC1 | DNA-directed RNA polymerase subunit gamma
27,9922,PMM0661,186.98,23,23,2.35E8,13,13,29,Carbamidomethylation; Oxidation (M); Deamidation (NQ),90662,| nrdJ | ribonucleotide reductase (class II)
9,9777,PMM1704,186.03,21,21,1.28E9,11,11,56,Cation:Fe[II]; Oxidation (M); Deamidation (NQ),68244,| dnaK | molecular chaperone DnaK
31,13311,PMM1492,185.73,29,29,1.72E8,10,10,25,Carbamidomethylation; Oxidation (M); Deamidation (NQ),52999,| nusA | transcription elongation factor NusA
60,12792,PMM0161,184.75,34,34,1.68E8,12,12,19,Carbamidomethylation; Oxidation (M),42876,| gltA | citrate synthase
3,16023,PMM0407,183.76,35,35,6.28E8,8,8,69,Carbamidomethylation; Cation:Fe[II]; Oxidation (M),34981,| cysK1 | O-acetylserine (thiol)-lyase A
33,16015,PMM0483,183.15,39,39,3.86E8,12,12,26,Carbamidomethylation; Oxidation (M); Deamidation (NQ),46265,| hemL | glutamate-1-semialdehyde aminotransferase
46,12795,PMM1063,181.56,26,26,9.32E7,16,15,21,Carbamidomethylation; Deamidation (NQ),96574,| gyrA | DNA gyrase subunit A
18,16045,PMM1535,179.22,43,43,7.92E8,14,14,35,Carbamidomethylation; Cation:Fe[II]; Oxidation (M),34282,| rpoA | DNA-directed RNA polymerase subunit alpha
28,16029,PMM0208,176.83,30,30,5.28E8,10,10,26,Carbamidomethylation,45899,| eno | enolase
26,12807,PMM1264,173.72,21,21,3.54E8,10,10,28,Oxidation (M); Deamidation (NQ),67227,| ftsH3 | cell division protein FtsH3
42,12783,PMM1575,172.87,18,18,6.71E7,14,14,21,,114380,| ppc | phosphoenolpyruvate carboxylase
38,16076,PMM1113,172.72,56,56,2.59E8,10,10,24,Carbamidomethylation; Oxidation (M),26550,| PMM1113 | two-component response regulator
25,16010,PMM0506,170.68,39,39,1.59E8,11,11,28,Carbamidomethylation; Oxidation (M); Deamidation (NQ),47868,| purA adeK | adenylosuccinate synthetase
29,16025,PMM0311,169.71,27,27,3.28E8,7,7,28,Carbamidomethylation; Oxidation (M); Deamidation (NQ),45083,| metK | S-adenosylmethionine synthetase
24,10147,PMM1191,169.18,22,22,3.3E8,13,12,32,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),78668,| pnp | polynucleotide phosphorylase/polyadenylase
55,10057,PMM0134,168.73,40,40,1.22E8,12,12,21,Carbamidomethylation; Oxidation (M),27909,| rpaB | two-component response regulator
8,16079,PMM1158,168.36,33,33,1.42E9,11,11,57,Oxidation (M); Deamidation (NQ),50455,| psbC | photosystem II PsbC protein (CP43)
20,16114,PMM0223,165.43,27,27,1.3E9,9,9,35,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39636,| psbA | photosystem II PsbA protein (D1)
80,10275,PMM1062,165.09,29,29,1.37E8,8,8,16,Carbamidomethylation,41000,| guaB | inosine 5-monophosphate dehydrogenase
98,9842,PMM1712,164.75,16,16,6.51E7,11,11,14,,105952,| uvrA | excinuclease ABC subunit A
