Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja02-20170410,Area etnp-ja02-20170410,#Peptides,#Unique,#Spec etnp-ja02-20170410,PTM,Avg. Mass,Description
6,133820,ETNP_90,298.22,89,89,,57,0,95,Oxidation (M),11111,Photosystem II 12 kDa extrinsic protein
6,133821,ETNP_100,298.22,76,76,,57,0,95,Oxidation (M),13052,Photosystem II 12 kDa extrinsic protein precursor
6,133822,ETNP_120,298.22,76,76,,57,0,95,Oxidation (M),13052,Photosystem II 12 kDa extrinsic protein precursor
6,133823,ETNP_140,298.22,76,76,,57,0,95,Oxidation (M),13052,Photosystem II 12 kDa extrinsic protein precursor
7,133826,ETNP_120,295.28,76,76,7.63E7,54,27,94,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
7,133827,ETNP_90,295.28,76,76,7.63E7,54,27,94,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
7,133828,ETNP_100,295.28,76,76,7.63E7,54,27,94,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
7,133829,ETNP_100,295.28,76,76,7.63E7,54,27,94,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
8,133824,ETNP_160,281.03,76,76,5.42E6,52,8,84,Oxidation (M),13076,Photosystem II 12 kDa extrinsic protein precursor
8,133825,ETNP_110,281.03,76,76,5.42E6,52,8,84,Oxidation (M),13042,Photosystem II 12 kDa extrinsic protein precursor
20,133819,ETNP_90,244.72,57,57,,34,0,49,Oxidation (M),29344,Photosystem II manganese-stabilizing polypeptide precursor
16,133817,ETNP_90,244.30,64,64,3.78E6,38,11,53,,29123,Photosystem II manganese-stabilizing polypeptide precursor
13,133923,NP_100,243.99,72,72,3.56E7,36,36,58,,7685,Photosystem I reaction center subunit IV
13,133924,ETNP_140,243.99,72,72,3.56E7,36,36,58,,7685,Photosystem I reaction center subunit IV
13,133925,ETNP_110,243.99,72,72,3.56E7,36,36,58,,7685,Photosystem I reaction center subunit IV
13,133926,ETNP_100,243.99,72,72,3.56E7,36,36,58,,7671,Photosystem I reaction center subunit IV
13,133927,ETNP_120,243.99,72,72,3.56E7,36,36,58,,7685,Photosystem I reaction center subunit IV
13,133928,ETNP_100,243.99,72,72,3.56E7,36,36,58,,7671,Photosystem I reaction center subunit IV
5,102239,ETNP_140,241.58,93,93,7.13E6,73,2,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102240,ETNP_110,241.58,93,93,7.13E6,73,2,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102246,ETNP14_68,241.58,93,93,7.13E6,73,2,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102241,ETNP_100,241.58,93,93,7.13E6,73,2,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102244,NP_85,241.58,93,93,7.13E6,73,2,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102248,ETNP_90,241.58,93,93,7.13E6,73,2,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
19,133818,ETNP_100,241.35,57,57,3.16E5,34,1,49,Oxidation (M),29257,Photosystem II manganese-stabilizing polypeptide precursor
4,102245,ETNP_140,238.39,93,93,2.63E7,74,3,101,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
4,102242,ETNP_90,238.39,93,93,2.63E7,74,3,101,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
4,102247,ETNP_100,238.39,93,93,2.63E7,74,3,101,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
4,102243,ETNP_110,238.39,93,93,2.63E7,74,3,101,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
24,102211,ETNP_120,237.43,64,64,2.06E7,29,20,40,Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
24,102211,ETNP_120,237.43,64,64,2.06E7,29,20,40,Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
24,102210,ETNP_90,237.43,64,64,2.06E7,29,20,40,Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
1,545,WP_011129843,231.66,68,68,,65,0,91,Carbamidomethylation; Oxidation (M),12922,hypothetical protein Prochlorococcus
1,102249,ETNP_120,231.66,68,68,,65,0,91,Carbamidomethylation; Oxidation (M),12950,hypothetical protein
9,102719,ETNP_120,224.20,72,72,4.33E7,52,42,78,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
9,102720,ETNP_90,224.20,72,72,4.33E7,52,42,78,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
9,102718,ETNP_100,224.20,72,72,4.33E7,52,42,78,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
10,715,WP_011128382,219.77,51,51,,52,0,73,,13024,hypothetical protein Synechococcus
2,101767,54036848,218.45,11,11,8.92E8,9,6,74,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
