Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1: 273 4-19_965m_top+p,Area Sample 1: 273 4-19_965m_top+p,#Peptides,#Unique,#Spec Sample 1: 273 4-19_965m_top+p,PTM,Avg. Mass,Description
1,1,54036848,258.82,12,12,1.11E9,10,7,51,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,8265,ETNP_70,182.49,20,20,1.95E7,21,9,26,Carbamidomethylation; Oxidation (M),41848,Bacterial actin-related protein
2,4,XP_003061104,149.99,32,32,2.01E7,29,5,38,Carbamidomethylation; Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
5,38,XP_002183424,111.69,24,24,,14,0,18,Carbamidomethylation; Oxidation (M),41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
5,39,XP_002183295,111.69,24,24,,14,0,18,Carbamidomethylation; Oxidation (M),41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
5,40,XP_002182221,111.69,24,24,,14,0,18,Carbamidomethylation; Oxidation (M),41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
7,2735,ETNP_90,106.94,24,24,1.18E6,12,1,15,Carbamidomethylation,33070,Bacterial actin-related protein
6,17445,ETNP_100,105.69,58,58,5.29E6,13,6,15,Carbamidomethylation,14624,Tubulin/FtsZ family  GTPase domain
9,17481,XP_003074279,101.35,14,14,2.43E6,10,3,11,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
8,8267,EJK63020,99.82,13,13,1.91E6,11,2,13,Carbamidomethylation; Oxidation (M),68429,hypothetical protein THAOC_16346  Thalassiosira oceanica
10,17550,ETNP_70,97.47,24,24,1.27E6,9,2,10,Carbamidomethylation,27021,Bacterial actin-related protein
11,17542,XP_003056479,96.25,12,12,2.09E5,7,1,8,Carbamidomethylation,49615,beta tubulin  Micromonas pusilla CCMP1545
12,23989,WP_007232156,88.95,8,8,1.3E7,5,4,8,Carbamidomethylation,57912,isocitrate lyase gamma proteobacterium HTCC2207
27,17652,XP_003080759,87.37,22,22,3.95E5,5,1,5,,13731,histone H2B ISS  Ostreococcus tauri
27,17719,XP_003082252,87.37,20,20,3.95E5,5,1,5,,15314,histone H2B ISS  Ostreococcus tauri
27,17714,XP_003062035,87.37,23,23,3.95E5,5,1,5,,12701,predicted protein  Micromonas pusilla CCMP1545
27,17715,XP_003058519,87.37,23,23,3.95E5,5,1,5,,12701,predicted protein  Micromonas pusilla CCMP1545
27,17716,XP_003055512,87.37,23,23,3.95E5,5,1,5,,12701,histone H2B  Micromonas pusilla CCMP1545
27,17718,ETNP_70,87.37,22,22,3.95E5,5,1,5,,13742,Core histone H2A/H2B/H3/H4
27,17720,ETNP_70,87.37,18,18,3.95E5,5,1,5,,16840,Core histone H2A/H2B/H3/H4
19,8302,ETNP14_120,81.60,3,3,6.54E4,3,1,6,,92971,ATP-dependent Clp protease ATP-binding subunit ClpC1
23,16,WP_012182355.1,80.99,2,2,1.95E5,3,1,6,,92767,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
23,20,WP_012184686.1,80.99,2,2,1.95E5,3,1,6,,93571,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
22,8,ACJ00008.1,79.95,2,2,1.26E6,3,1,6,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
18,29,CAN98337.1,79.71,2,2,2.84E6,3,1,6,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
24,8289,ETNP14_120,79.66,2,2,1.69E6,3,1,6,,98294,Chaperone protein ClpB 1
20,9,ABF62863.1,79.38,2,2,,3,0,6,,95490,ATPase AAA-2 [Ruegeria sp. TM1040]
20,33,ABG30412.1,79.38,2,2,,3,0,6,,95249,ATP-dependent Clp protease  ATP-binding subunit ClpB [Roseobacter denitrificans OCh 114]
41,17486,WP_006231982.1,78.58,35,35,9.61E5,4,2,4,,7426,cold-shock protein [Photobacterium profundum]
14,17551,XP_002185730,78.57,10,10,6.33E6,7,4,8,Carbamidomethylation,49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
15,2746,XP_003062500,71.26,15,15,5.07E6,7,5,7,Carbamidomethylation,49730,alpha tubulin  Micromonas pusilla CCMP1545
