Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 379,Area 379,#Peptides,#Unique,#Spec 379,PTM,Avg. Mass,Description
1,2,54036848,185.74,11,11,5.04E8,7,7,38,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,1,|#CONTAM#TRYP_PIG|,129.50,31,31,6.31E8,18,18,23,Carbamidomethylation,24409,sp|#CONTAM#TRYP_PIG|
3,19,XP_003061104,112.89,21,21,3.38E6,18,4,20,Carbamidomethylation; Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
4,292,ETNP_70,107.01,10,10,1.64E6,9,3,9,Carbamidomethylation,41848,Bacterial actin-related protein
7,959,WP_012519826,84.11,20,20,2.86E6,9,6,9,Oxidation (M),43224,elongation factor Tu Alteromonas mediterranea
7,960,ETNP14_120,84.11,20,20,2.86E6,9,6,9,Oxidation (M),43251,Elongation factor Tu
9,503,XP_002183424,80.25,10,10,8.88E5,7,1,8,Carbamidomethylation; Oxidation (M),41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
9,504,XP_002183295,80.25,10,10,8.88E5,7,1,8,Carbamidomethylation; Oxidation (M),41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
9,505,XP_002182221,80.25,10,10,8.88E5,7,1,8,Carbamidomethylation; Oxidation (M),41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
8,132,|#CONTAM#K1C9_HUMAN|,74.88,15,15,1.49E6,8,8,8,Oxidation (M),62129,sp|#CONTAM#K1C9_HUMAN|
5,187,ETNP_90,73.26,16,16,1.2E6,8,2,9,Carbamidomethylation; Oxidation (M),33070,Bacterial actin-related protein
19,686,WP_012518092,67.51,22,22,1.73E6,3,3,3,,13348,50S ribosomal protein L20 Alteromonas
19,687,ETNP14_120,67.51,22,22,1.73E6,3,3,3,,13348,50S ribosomal protein L20
18,77,XP_002180656,65.34,4,4,4.36E5,3,1,3,Oxidation (M),49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
6,166,|#CONTAM#K2C1_HUMAN|,64.69,13,13,2.17E6,9,8,9,Oxidation (M),65886,sp|#CONTAM#K2C1_HUMAN|
16,5,XP_003062500,64.05,6,6,8.07E5,4,2,4,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
16,6,XP_003058621,64.05,6,6,8.07E5,4,2,4,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
16,16,XP_003082284,64.05,6,6,8.07E5,4,2,4,Oxidation (M),50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
16,17,XP_003080933,64.05,6,6,8.07E5,4,2,4,Oxidation (M),52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
11,1069,ETNP14_120,64.04,35,35,2.79E6,5,4,5,,12857,50S ribosomal protein L7/L12
11,1070,WP_015068303,64.04,35,35,2.79E6,5,4,5,,12827,50S ribosomal protein L7L12 Alteromonas
10,1763,ETNP_300,59.08,2,2,6.52E5,5,5,5,,227342,hypothetical protein
35,2026,ETNP_160,58.72,10,10,1.87E5,2,2,2,,16868,hypothetical protein
35,2027,ETNP_120,58.72,10,10,1.87E5,2,2,2,,16970,hypothetical protein
35,2028,ETNP_120,58.72,10,10,1.87E5,2,2,2,,16935,hypothetical protein
35,2025,ETNP_180,58.72,10,10,1.87E5,2,2,2,,16957,hypothetical protein
14,1210,WP_012516957,57.11,13,13,1.83E6,4,4,4,,22573,50S ribosomal protein L3 Alteromonas mediterranea
17,1455,WP_012516958,51.86,12,12,9.59E5,3,3,3,,22038,50S ribosomal protein L4 Alteromonas
20,1898,WP_012516962,50.10,27,27,1.68E6,3,3,3,,12098,50S ribosomal protein L22 Alteromonas
34,154115,WP_012519212,48.44,15,15,7.87E5,2,2,2,,15037,50S ribosomal protein L17 Alteromonas
34,154116,ETNP14_68,48.44,15,15,7.87E5,2,2,2,,15037,50S ribosomal protein L17
