Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) ETNP_NT05,Area ETNP_NT05,#Peptides,#Unique,#Spec ETNP_NT05,PTM,Avg. Mass,Description
1,58,gi|54036848,239.31,11,11,5.02E8,17,14,65,Sodium adduct; Dehydration; Deamidation (NQ); Acetylation (N-term); Replacement of 2 protons by calcium; 7 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,259126,ETNP14_68maa_PROKKA_151341,147.52,9,9,2.78E7,17,16,36,,34468,Sporulation related domain protein
2,259124,180m_megahit_DBICIOKE_95237,147.52,22,22,2.78E7,17,16,36,,14798,hypothetical protein
5,16,ETNP_70m_PROKKA_142252,132.14,13,13,3.78E6,15,5,17,Oxidation (M),41848,Bacterial actin-related protein
5,17,70m_MEGAHIT_CJDMCFAD_63857,132.14,12,12,3.78E6,15,5,17,Oxidation (M),46890,Bacterial actin-related protein
4,6,70m_MEGAHIT_CJDMCFAD_72421,123.14,19,19,7.04E7,24,13,29,Carbamidomethylation; Oxidation (M),43386,Bacterial actin-related protein
6,82,100mP_megahit_BKKBEGJO_23068,120.93,46,46,1.02E7,17,7,18,Oxidation (M),13793,hypothetical protein
6,83,70m_MEGAHIT_CJDMCFAD_68937,120.93,46,46,1.02E7,17,7,18,Oxidation (M),13858,hypothetical protein
10,291,100mP_megahit_BKKBEGJO_62241,119.68,39,39,2.68E6,13,3,14,Ornithine from Arginine,9588,hypothetical protein_ETNP_100m_particle_PROKKA_55047 hypothetical protein
13,38,90m_Megahit_DAALLOGA_112022,100.02,11,11,1.39E7,7,1,8,,21057,Bacterial actin-related protein
7,259113,100mP_megahit_BKKBEGJO_91438,93.34,4,4,0E0,5,1,15,Dihydroxy; Sodium adduct; Dehydration; Deamidation (NQ); Methylation(KR); 2 more,94097,Negative regulator of genetic competence ClpC/MecB_120mP_megahit_HKJGLMBE_32240 Negative regulator of genetic competence ClpC/MecB_ETNP_120m_particle_PROKKA_230712 Negative regulator of genetic competence ClpC/MecB
8,259123,ETNP_120m_particle_PROKKA_69819,92.63,4,4,6.58E5,5,1,14,Dihydroxy; Sodium adduct; Dehydration; Deamidation (NQ); Dimethylation(KR); 3 more,89138,Negative regulator of genetic competence ClpC/MecB
17,319,ETNP14_120maa_PROKKA_89197,87.67,10,10,3.72E6,6,6,6,,43251,Elongation factor Tu
9,2299,120mF_megahit_EODJEIIO_204830,87.27,3,3,7.19E5,4,1,12,Sodium adduct; Dehydration; Deamidation (NQ); Propionamide (K  X@N-term); Replacement of proton by potassium,86449,Chaperone protein ClpB
11,3592,ETNP14_120maa_PROKKA_98903,81.28,41,41,2.47E6,9,4,11,Methylation(KR); Propionamide (K  X@N-term),12857,50S ribosomal protein L7/L12
12,530,100m_megahit_CLKLDGCM_82429,75.11,8,8,9.37E5,9,2,11,Carbamidomethylation; Deamidation (NQ),42356,Bacterial actin-related protein
12,529,ETNP14_120maa_PROKKA_78369,75.11,8,8,9.37E5,9,2,11,Carbamidomethylation; Deamidation (NQ),42383,Bacterial actin-related protein
15,3695,100mP_megahit_BKKBEGJO_136473,69.29,26,26,5.04E4,6,1,7,Dehydration,13016,50S ribosomal protein L7/L12_ETNP_100m_particle_PROKKA_119080 50S ribosomal protein L7/L12
18,259118,90m_Megahit_DAALLOGA_260472,67.89,69,69,3.46E6,8,8,8,Deamidation (NQ); Acetylation (N-term),7650,Cold shock-like protein CspG_ETNP14_120maa_PROKKA_108685 Cold shock-like protein CspG_ETNP_90m_PROKKA_05121 Cold shock-like protein CspG
19,1407,90m_Megahit_DAALLOGA_155812,60.27,10,10,1.26E6,5,5,5,Acetylation (TSCYH),39946,ATP synthase subunit alpha
20,3045,100mP_megahit_BKKBEGJO_130411,59.69,18,18,8.6E5,4,3,5,Carboxylation (DKW); Propionamide (K  X@N-term),12905,50S ribosomal protein L7/L12_120mP_megahit_HKJGLMBE_187789 50S ribosomal protein L7/L12_120m_megahit_CMKFGOPF_108679 50S ribosomal protein L7/L12_140m_megahit_KKMFCJLI_101416 50S ribosomal protein L7/L12_150mP_megahit_EIABIG...
16,130,70m_MEGAHIT_CJDMCFAD_64580,55.46,19,19,7.45E5,6,6,6,,13498,hypothetical protein
16,215,70m_MEGAHIT_CJDMCFAD_125812,55.46,18,18,7.45E5,6,6,6,,14195,hypothetical protein
16,217,100mP_megahit_BKKBEGJO_100204,55.46,18,18,7.45E5,6,6,6,,14843,hypothetical protein
16,216,120mP_megahit_HKJGLMBE_138457,55.46,18,18,7.45E5,6,6,6,,14817,hypothetical protein
16,255,ETNP_100m_particle_PROKKA_07518,55.46,36,36,7.45E5,6,6,6,,7412,Core histone H2A/H2B/H3/H4
