Event,Station,Bottle,Sal00,Sal11,Sigma-t00,Sigma-t11,Sbeox0Mg/L,Sbox0Mm/Kg,Sbeox0PS,Longitude,Latitude,DepSM,T090C,T190C,FlSP,CStarAt0,CStarTr0,Par,pH,NO2 Conc.
1,0,1,34.4705,34.4689,27.2594,27.258,0.2902,8.829,2.863,-114.65566,26.95928,798.899,5.0323,5.0325,0.0683,12.3413,4.5715,0.0638,7.573,
1,0,2,34.4707,34.469,27.2597,27.2582,0.2888,8.785,2.849,-114.65566,26.95928,799.602,5.0312,5.0317,0.0681,12.3415,4.5713,0.0628,,0.037601626
1,0,3,34.4546,34.4526,27.1906,27.1889,0.2125,6.464,2.119,-114.6557,26.9593,698.582,5.5027,5.5037,0.069,12.3425,4.5701,0.0586,7.549,
1,0,4,34.4545,34.4523,27.1898,27.1876,0.2126,6.469,2.121,-114.6557,26.95932,699.468,5.5087,5.5124,0.0695,12.3426,4.57,0.0568,,-0.0843495935
1,0,5,34.4354,34.433,27.0941,27.0923,0.1719,5.229,1.74,-114.65562,26.95926,599.322,6.1508,6.1509,0.0695,12.3416,4.5712,0.0577,7.559,-0.06402439024
1,0,6,34.4355,34.4332,27.094,27.0919,0.1703,5.183,1.725,-114.65562,26.95926,598.968,6.1526,6.155,0.0692,12.3423,4.5703,0.0572,,
1,0,7,34.3978,34.3955,26.9914,26.9903,0.2339,7.118,2.398,-114.65568,26.9593,498.566,6.7009,6.6957,0.0677,12.3416,4.5711,0.0566,7.577,
1,0,8,34.398,34.3958,26.9917,26.9899,0.234,7.119,2.399,-114.6557,26.9593,498.913,6.6997,6.7001,0.0683,12.3415,4.5713,0.0532,,-0.003048780488
1,0,9,34.3978,34.3957,26.9912,26.99,0.2321,7.061,2.379,-114.6557,26.9593,499.101,6.7026,6.699,0.0683,12.3415,4.5713,0.0543,,
1,0,10,34.3983,34.396,26.9907,26.9886,0.2319,7.057,2.379,-114.6557,26.9593,499.008,6.7092,6.7111,0.0683,12.3414,4.5714,0.0532,,
1,0,11,34.3954,34.394,26.8639,26.8624,0.3319,10.1,3.473,-114.65566,26.95928,399.53,7.5968,7.5997,0.0707,12.3429,4.5696,0.0507,7.579,
1,0,12,34.3967,34.3935,26.8654,26.8627,0.3323,10.112,3.477,-114.65566,26.95928,399.628,7.5932,7.5946,0.0698,12.3429,4.5697,0.051,,-0.04369918699
1,0,13,34.3411,34.3388,26.7076,26.707,0.7765,23.634,8.263,-114.65568,26.95932,299.899,8.3549,8.347,0.0673,12.3457,4.5665,0.0507,7.596,0.05792682927
1,0,14,34.3412,34.3393,26.7089,26.7072,0.778,23.681,8.278,-114.65568,26.9593,299.766,8.3469,8.3484,0.0672,12.3455,4.5667,0.0507,,
1,0,15,34.2617,34.2589,26.4713,26.4691,1.896,57.722,20.66,-114.65568,26.9593,199.895,9.447,9.4475,0.0463,12.3443,4.5681,0.0507,7.639,0.1798780488
1,0,16,34.2614,34.2589,26.471,26.469,1.8968,57.747,20.67,-114.65568,26.9593,199.84,9.4479,9.448,0.0453,12.3447,4.5677,0.0509,,
1,0,17,33.9491,33.9462,25.9147,25.9127,3.3233,101.23,37.574,-114.65568,26.9593,101.082,11.2476,11.2463,0.0924,12.3526,4.5586,0.236,7.791,
