Pressure [dbar],depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,par
3.0,2.9819999999999998,16.58962,-106.92288,28.7428,28.7419,28.7421,33.5449,33.5546,1021.0701,21.0573,0.20173,189.66,196.33368000000002,0.1606,96.0634,1e-12
4.0,3.9760000000000004,16.58962,-106.92289,28.7431,28.7431,28.7421,33.5453,33.5546,1021.0747,21.0575,0.22491999999999998,189.627,196.33235,0.166,95.9354,1e-12
5.0,4.97,16.58961,-106.92288,28.7435,28.7432,28.7424,33.5454,33.5548,1021.0788,21.0574,0.20475,189.639,196.33086,0.1615,96.0412,1e-12
6.0,5.9639999999999995,16.58962,-106.92288,28.7433,28.7429,28.7419,33.5455,33.5549,1021.0833,21.0576,0.20142000000000002,189.704,196.33141,0.1659,95.9365,1e-12
7.0,6.957999999999999,16.58962,-106.92288,28.7438,28.7434,28.7421,33.5454,33.5547,1021.0873,21.0573,0.19712000000000002,190.067,196.33012,0.1638,95.9881,1e-12
8.0,7.952000000000001,16.5896,-106.92288,28.7441,28.7438,28.7422,33.5453,33.5547,1021.0914,21.0571,0.18819,189.662,196.32908,0.1673,95.9047,1e-12
9.0,8.947000000000001,16.58962,-106.92288,28.7435,28.7433,28.7414,33.5458,33.5553,1021.0963,21.0577,0.19233,189.155,196.33023,0.1636,95.992,1e-12
10.0,9.941,16.58962,-106.92288,28.7438,28.7437,28.7414,33.5458,33.5553,1021.1005,21.0576,0.21336999999999998,189.88099999999997,196.3294,0.1632,96.0005,1e-12
11.0,10.935,16.58962,-106.92288,28.7439,28.7437,28.7413,33.5462,33.5558,1021.105,21.0579,0.19112,189.794,196.32845,0.163,96.0063,1e-12
12.0,11.929,16.58962,-106.92288,28.744,28.7437,28.7411,33.5464,33.5557,1021.1094,21.058,0.19494,189.74599999999998,196.32811999999998,0.1629,96.0086,1e-12
13.0,12.923,16.58961,-106.92288,28.7458,28.7455,28.7427,33.5474,33.5567,1021.1139,21.0582,0.20284000000000002,189.605,196.32109,0.1649,95.9608,1e-12
14.0,13.917,16.58961,-106.92288,28.7456,28.7454,28.7423,33.5471,33.5564,1021.118,21.058,0.20936,189.704,196.32211999999998,0.1645,95.9717,1e-12
15.0,14.911,16.58962,-106.92288,28.7464,28.7461,28.7428,33.5478,33.557,1021.1225,21.0582,0.19265,189.63,196.31866000000002,0.1637,95.9897,1e-12
16.0,15.904000000000002,16.58961,-106.92288,28.7466,28.7466,28.7427,33.5472,33.5568,1021.1263,21.0577,0.21055,189.158,196.31904,0.1639,95.9859,1e-12
17.0,16.899,16.58962,-106.92288,28.7487,28.7478,28.7447,33.549,33.5576,1021.1313,21.0584,0.19908,189.85299999999998,196.30998,0.1642,95.9781,1e-12
18.0,17.893,16.58962,-106.92288,28.7508,28.7504,28.7465,33.5504,33.5597,1021.1359,21.0588,0.20775,189.81400000000002,196.30182,0.1641,95.9811,1e-12
19.0,18.887,16.58962,-106.92288,28.7522,28.7519,28.7476,33.552,33.5612,1021.141,21.0595,0.20325,190.27900000000002,196.29539,0.1638,95.9866,1e-12
20.0,19.881,16.58962,-106.92288,28.753,28.7526,28.7482,33.5525,33.5617,1021.1454,21.0596,0.20453,189.722,196.2922,0.1669,95.9137,1e-12
21.0,20.875,16.58962,-106.92288,28.7552,28.755,28.7502,33.5538,33.5632,1021.1499,21.0599,0.21181999999999998,189.851,196.28367,0.1674,95.9027,1e-12
22.0,21.869,16.58962,-106.92288,28.7553,28.7548,28.7501,33.5538,33.5629,1021.1541,21.0598,0.20861999999999997,190.113,196.28323,0.1646,95.9693,1e-12
23.0,22.863000000000003,16.58961,-106.92288,28.7589,28.7589,28.7534,33.5558,33.5654,1021.1587,21.0601,0.20533,190.024,196.26963,0.1664,95.9256,1e-12
24.0,23.855999999999998,16.5896,-106.92288,28.758,28.7576,28.7522,33.5551,33.5644,1021.1628,21.0599,0.20986999999999997,189.995,196.27334,0.1651,95.9557,1e-12
25.0,24.85,16.58962,-106.92288,28.7592,28.7587,28.7532,33.5558,33.565,1021.1672,21.06,0.21361999999999998,189.725,196.26863,0.1663,95.9275,1e-12
26.0,25.844,16.58962,-106.92288,28.7632,28.7635,28.757,33.5579,33.5677,1021.1717,21.0603,0.25684,190.02900000000002,196.25346000000002,0.1665,95.9223,1e-12
27.0,26.838,16.58962,-106.92288,28.773,28.7746,28.7665,33.5635,33.5737,1021.177,21.0613,0.22053000000000003,189.56400000000002,196.21598999999998,0.1662,95.9291,1e-12
28.0,27.831999999999997,16.58962,-106.92288,28.772,28.7711,28.7653,33.5627,33.5714,1021.181,21.061,0.20929,189.56900000000002,196.22001,0.1675,95.8994,1e-12
29.0,28.826,16.58962,-106.92288,28.7712,28.771,28.7643,33.562,33.5714,1021.185,21.0607,0.21618,189.588,196.22333999999998,0.1657,95.9429,1e-12
30.0,29.82,16.58962,-106.92288,28.7728,28.7724,28.7656,33.5632,33.5724,1021.1896,21.061,0.22484,189.637,196.21705,0.1661,95.9316,1e-12
31.0,30.814,16.58962,-106.92288,28.7741,28.7745,28.7667,33.5642,33.5739,1021.1943,21.0614,0.23334000000000002,189.563,196.2115,0.169,95.8638,1e-12
32.0,31.808000000000003,16.58962,-106.92288,28.7814,28.7846,28.7737,33.5685,33.5801,1021.1994,21.0622,0.22981999999999997,189.66299999999998,196.18364,0.1684,95.8768,1e-12
33.0,32.802,16.58962,-106.92288,28.8136,28.8099,28.8057,33.5886,33.5963,1021.208,21.0666,0.24101999999999998,189.68099999999998,196.05788,0.1686,95.8722,1e-12
34.0,33.796,16.58962,-106.92288,28.8381,28.8398,28.83,33.6065,33.6182,1021.2176,21.0719,0.28631999999999996,189.93099999999998,195.95938,0.1707,95.8222,1e-12
35.0,34.79,16.58962,-106.92288,28.8332,28.8328,28.8248,33.6143,33.6249,1021.2294,21.0794,0.34867,189.843,195.9651,0.1753,95.711,1e-12
36.0,35.784,16.58962,-106.92288,28.8302,28.8298,28.8215,33.6232,33.6328,1021.2413,21.0871,0.39516999999999997,189.115,195.96364,0.1787,95.6307,1e-12
37.0,36.778,16.58962,-106.92288,28.7652,28.7654,28.7564,33.6461,33.6551,1021.2844,21.1258,0.53322,189.24599999999998,196.13812,0.1843,95.4966,1e-12
38.0,37.772,16.58962,-106.92288,28.6256,28.6198,28.6166,33.6777,33.6879,1021.3585,21.1956,0.81096,189.149,196.53634,0.202,95.0757,1e-12
39.0,38.765,16.58962,-106.92288,28.5432,28.5427,28.5339,33.6955,33.7049,1021.4034,21.2362,0.91558,189.085,196.77308,0.2152,94.7615,1e-12
40.0,39.759,16.58962,-106.92288,28.5176,28.517,28.5081,33.7014,33.7108,1021.4205,21.2491,0.9077799999999999,188.882,196.84628999999998,0.2117,94.8448,1e-12
41.0,40.753,16.58962,-106.92288,28.4491,28.448,28.4394,33.71,33.7193,1021.4538,21.278,1.0211,189.122,197.05127,0.2165,94.732,1e-12
42.0,41.747,16.58962,-106.92288,28.3819,28.3783,28.372,33.7326,33.7436,1021.4972,21.3171,1.2004,188.56799999999998,197.23495,0.2184,94.6848,1e-12
