,Pressure [dbar],timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS
0,3.0180000000000002,19.346,-106.85835,16.85541,3.0,28.9679,28.9222,56282.0,5.6359900000000005,0.0607,0.0815,97.983,443.72,0.0,2.3482,2.3311,0.0571,0.1147,4.5582,0.0,3.6593,0.0,2.3479,2.3253,34.329,34.4156,21.5713,21.6516,194.79,203.831,97.949,102.469
1,4.024,28.544,-106.85833999999998,16.8554,4.0,28.9753,28.9344,56284.0,5.6362760000000005,0.0583,0.0811,97.9934,395.9,0.0,2.3488,2.3306,0.0569,0.1147,4.5586,0.0,3.6091,0.0,2.3481,2.3282,34.3248,34.4085,21.5657,21.6422,194.851,204.36,97.98899999999999,102.751
2,5.03,36.293,-106.85833999999998,16.8554,5.0,28.9954,28.9642,56288.0,5.637575,0.0564,0.0809,97.9981,314.95,0.0,2.3477,2.3255,0.0567,0.1146,4.5589,0.0,3.5129,0.0,2.345,2.3324,34.3133,34.3957,21.5505,21.6227,194.826,204.782,98.00200000000001,103.006
3,6.0360000000000005,36.981,-106.85833999999998,16.8554,6.0,28.9973,28.9584,56292.0,5.637178,0.0604,0.0816,97.9796,313.97,0.0,2.3475,2.3312,0.0571,0.1148,4.558,0.0,3.5107,0.0,2.3501,2.3338,34.3139,34.3968,21.5504,21.6256,195.187,204.679,98.18700000000001,102.945
4,7.042000000000001,37.998000000000005,-106.85833999999998,16.8554,7.0,28.9993,28.9591,56294.0,5.637454,0.0559,0.0809,97.9984,299.44,0.0,2.3465,2.3307,0.0566,0.1147,4.5589,0.0,3.49,0.0,2.3474,2.3283,34.3134,34.3979,21.5494,21.6263,193.937,203.767,97.561,102.488
5,8.048,41.602,-106.85833999999998,16.8554,8.0,28.9941,28.9473,56293.0,5.637298,0.0572,0.0806,98.0067,250.65,0.0,2.3477,2.3313,0.0567,0.1147,4.5592,0.0,3.4135,0.0,2.3402,2.3297,34.3167,34.405,21.5537,21.6356,194.32,204.518,97.74799999999999,102.85
6,9.054,46.255,-106.85833999999998,16.8554,9.0,28.9882,28.9413,56290.0,5.636695,0.0639,0.0806,98.0057,243.4,0.0,2.349,2.3294,0.0574,0.1147,4.5592,0.0,3.4001,0.0,2.3458,2.3276,34.3181,34.4049,21.5568,21.6376,194.524,203.96,97.84200000000001,102.559
7,10.06,46.982,-106.85833999999998,16.8554,10.0,28.9888,28.9481,56290.0,5.637087999999999,0.0639,0.0811,97.9935,224.97,0.0,2.3506,2.3309,0.0574,0.1148,4.5586,0.0,3.3656,0.0,2.3443,2.3268,34.3177,34.4024,21.5564,21.6336,194.50900000000001,204.21099999999998,97.835,102.695
8,11.065999999999999,50.286,-106.85833999999998,16.8554,11.0,28.9728,28.9348,56282.0,5.63625,0.0615,0.0819,97.9714,203.76,0.0,2.3468,2.3305,0.0572,0.1142,4.5576,0.0,3.3229,0.0,2.3467,2.3281,34.3234,34.406,21.5661,21.6408,194.896,204.417,98.007,102.779
9,12.072000000000001,55.206,-106.85833999999998,16.8554,12.0,28.8632,28.8744,56287.0,5.636518,0.0639,0.0813,97.987,181.14,0.0,2.3495,2.3297,0.0574,0.1148,4.5583,0.0,3.2718,0.0,2.3549,2.3307,34.4055,34.4512,21.6643,21.6949,196.01,205.12900000000002,98.43700000000001,103.06200000000001
10,13.078,56.273999999999994,-106.85833999999998,16.8554,13.0,28.8209,28.8374,56278.0,5.636149,0.0838,0.0819,97.9736,176.43,0.0,2.3477,2.33,0.0594,0.1147,4.5577,0.0,3.2605,0.0,2.3523,2.3343,34.4296,34.4751,21.6966,21.7252,195.493,205.696,98.12299999999999,103.29799999999999
11,14.084000000000001,63.19,-106.85833999999998,16.8554,14.0,28.8543,28.8272,56281.0,5.635847,0.0734,0.082,97.9706,165.06,0.0,2.3531,2.3307,0.0583,0.1147,4.5576,0.0,3.2313,0.0,2.3494,2.3401,34.4069,34.48,21.6685,21.7324,195.553,206.192,98.194,103.53299999999999
12,15.09,65.105,-106.85833999999998,16.8554,15.0,28.7997,28.7574,56287.0,5.636695,0.0799,0.0817,97.9765,156.46,0.0,2.3512,2.3303,0.059,0.1147,4.5579,0.0,3.2083,0.0,2.3531,2.3389,34.4507,34.5362,21.7196,21.7978,196.678,206.018,98.696,103.361
13,16.096,68.49,-106.85833999999998,16.8554,16.0,28.7956,28.7602,56293.0,5.63731,0.0824,0.082,97.9703,155.36,0.0,2.3512,2.3345,0.0592,0.1147,4.5576,0.0,3.2053,0.0,2.3566,2.3393,34.457,34.5381,21.7258,21.7984,196.37900000000002,206.206,98.54299999999999,103.461
14,17.102,73.483,-106.85833999999998,16.8554,17.0,28.7965,28.7594,56291.0,5.63704,0.0807,0.0817,97.9781,149.64,0.0,2.3531,2.3366,0.0591,0.1147,4.5579,0.0,3.189,0.0,2.3626,2.3421,34.4547,34.5366,21.7238,21.7976,197.532,206.69799999999998,99.12200000000001,103.706
15,18.108,74.873,-106.85833999999998,16.8554,18.0,28.767,28.73,56300.0,5.637776000000001,0.0822,0.0819,97.9726,143.29,0.0,2.3571,2.3366,0.0592,0.1147,4.5577,0.0,3.1701,0.0,2.3605,2.3415,34.4824,34.5627,21.7545,21.827,196.477,206.46400000000003,98.56,103.554
16,19.114,80.521,-106.85836,16.8554,19.0,28.7911,28.7473,56296.0,5.637625,0.1003,0.0845,97.9111,138.57,0.0,2.3577,2.3413,0.0611,0.1147,4.5549,0.0,3.1556,0.0,2.362,2.3443,34.4614,34.5488,21.7308,21.8109,197.537,207.09799999999998,99.119,103.89299999999999
17,20.12,81.866,-106.85836,16.8554,20.0,28.7546,28.7103,56312.0,5.639303,0.0883,0.0826,97.9565,132.68,0.0,2.3596,2.3387,0.0598,0.1148,4.557,0.0,3.1368,0.0,2.3647,2.3439,34.4985,34.587,21.7709,21.852,197.71099999999998,206.667,99.16799999999999,103.637
18,21.127,82.81,-106.85836,16.8554,21.0,28.7459,28.7063,56338.0,5.642411,0.0883,0.0835,97.9332,128.74,0.0,2.3577,2.3396,0.0598,0.1148,4.5559,0.0,3.1237,0.0,2.3671,2.3428,34.5225,34.611,21.7919,21.8715,198.08599999999998,206.923,99.355,103.772
19,22.133000000000003,86.07799999999999,-106.85833999999998,16.8554,22.0,28.7399,28.6987,56333.0,5.641078,0.0847,0.0818,97.9742,126.11,0.0,2.3647,2.3446,0.0594,0.1147,4.5578,0.0,3.1148,0.0,2.3657,2.3464,34.5235,34.6071,21.7947,21.8711,197.735,207.297,99.17,103.945
20,23.138,89.76299999999999,-106.85833999999998,16.8554,23.0,28.723,28.6786,56327.0,5.640815,0.0882,0.0829,97.9489,123.4,0.0,2.3636,2.3473,0.0598,0.1147,4.5566,0.0,3.1053,0.0,2.3661,2.3454,34.531,34.6196,21.806,21.8872,197.483,207.548,99.021,104.044
21,24.145,90.959,-106.85836,16.8554,24.0,28.6475,28.6054,56291.0,5.637378,0.0883,0.0817,97.9769,120.51,0.0,2.3651,2.3486,0.0598,0.1146,4.5579,0.0,3.095,0.0,2.3644,2.3489,34.5612,34.6488,21.8537,21.9335,197.916,208.29,99.133,104.309
22,25.151,92.137,-106.85836,16.8554,25.0,28.6341,28.5926,56279.0,5.636068,0.0972,0.0835,97.9332,117.59,0.0,2.3676,2.3446,0.0607,0.1148,4.5559,0.0,3.0844,0.0,2.3653,2.3516,34.5622,34.6488,21.8591,21.9378,198.13,208.19099999999997,99.219,104.23700000000001
23,26.156999999999996,95.975,-106.85836,16.8554,26.0,28.6284,28.5938,56271.0,5.6355580000000005,0.1052,0.0848,97.9016,113.78,0.0,2.3638,2.3498,0.0616,0.1147,4.5544,0.0,3.0701,0.0,2.3624,2.3482,34.5601,34.6442,21.8594,21.934,198.12900000000002,207.979,99.208,104.13
24,27.163,98.72200000000001,-106.85836,16.8554,27.0,28.5631,28.5006,56196.0,5.628223,0.1035,0.0849,97.9004,108.05,0.0,2.3599,2.3518,0.0614,0.1148,4.5543,0.0,3.0477,0.0,2.3821,2.3578,34.5558,34.661,21.8778,21.9775,202.447,210.144,101.26,105.065
25,28.169,99.685,-106.85836,16.8554,28.0,28.1991,28.1552,55760.0,5.5861540000000005,0.1099,0.0881,97.8221,105.98,0.0,2.3602,2.3479,0.062,0.1148,4.5507,0.0,3.0393,0.0,2.4041,2.3647,34.5179,34.6208,21.9692,22.0609,206.821,213.16,102.814,105.95
26,29.175,101.098,-106.85836,16.8554,29.0,27.9133,27.8672,55450.0,5.554721,0.1352,0.093,97.7031,103.41,0.0,2.3715,2.3504,0.0645,0.1148,4.5452,0.0,3.0286,0.0,2.4103,2.3872,34.5103,34.612,22.0568,22.1483,205.688,215.74099999999999,101.771,106.723
