Pressure [dbar],depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,ph,par
3.0,2.9819999999999998,20.30536,-106.21943999999999,26.1551,26.154,26.1544,34.6634,34.6735,1022.7439,22.731,0.22573000000000001,198.25,203.28815,0.1769,95.6729,1.4176,2.2625,-2.04,1e-12
4.0,3.975,20.30536,-106.21943999999999,26.1509,26.1514,26.15,34.6637,34.6739,1022.7498,22.7326,0.22553,198.699,203.30163000000002,0.1762,95.6894,1.4176,2.2628,-2.0380000000000003,1e-12
5.0,4.968999999999999,20.30536,-106.21943999999999,26.1547,26.1549,26.1535,34.6636,34.6738,1022.7529,22.7313,0.21799000000000002,198.87900000000002,203.28918000000002,0.1757,95.7028,1.4177,2.263,-2.0380000000000003,1e-12
6.0,5.962999999999999,20.30536,-106.21943999999999,26.1518,26.1508,26.1505,34.6635,34.6742,1022.7579,22.7321,0.23031999999999997,198.80900000000003,203.29888,0.1738,95.7487,1.4178,2.263,-2.0380000000000003,1e-12
7.0,6.957000000000001,20.30536,-106.21943999999999,26.1519,26.1492,26.1503,34.6639,34.6743,1022.7626,22.7324,0.23931999999999998,199.08599999999998,203.2981,0.1766,95.6814,1.4177,2.2629,-2.0380000000000003,1e-12
8.0,7.9510000000000005,20.30536,-106.21943999999999,26.1489,26.1488,26.1471,34.664,34.6741,1022.7679,22.7334,0.23696,199.162,203.30802,0.1751,95.7163,1.4178,2.2628,-2.039,1e-12
9.0,8.945,20.30536,-106.21943999999999,26.1486,26.1475,26.1466,34.6642,34.6744,1022.7724,22.7336,0.21008000000000002,199.18400000000003,203.30876999999998,0.1741,95.7401,1.4179,2.263,-2.039,1e-12
10.0,9.937999999999999,20.30536,-106.21943999999999,26.1453,26.145,26.1431,34.6645,34.6747,1022.778,22.7349,0.24991,199.378,203.31911000000002,0.1756,95.7057,1.4178,2.263,-2.0380000000000003,1e-12
11.0,10.932,20.30536,-106.21945,26.1315,26.1293,26.129,34.6659,34.6762,1022.7876,22.7403,0.22238000000000002,199.02700000000002,203.36371,0.177,95.6709,1.418,2.2625,-2.039,1e-12
12.0,11.925999999999998,20.30536,-106.21945,26.1292,26.1267,26.1266,34.666,34.677,1022.7927,22.7411,0.23568000000000003,199.072,203.37108999999998,0.1784,95.6382,1.4181,2.2619,-2.039,1e-12
13.0,12.92,20.30536,-106.21943999999999,26.1233,26.1247,26.1205,34.6666,34.6767,1022.7993,22.7433,0.23934,198.989,203.39,0.1797,95.608,1.418,2.2616,-2.039,1e-12
14.0,13.914000000000001,20.30536,-106.21943999999999,26.0935,26.0965,26.0904,34.6691,34.6791,1022.8148,22.7546,0.24433000000000002,199.02599999999998,203.48675,0.1784,95.6393,1.4182,2.2612,-2.04,1e-12
15.0,14.908,20.30536,-106.21943999999999,26.0827,26.0825,26.0794,34.6702,34.6799,1022.8233,22.7587,0.22916,198.342,203.52147,0.1812,95.5726,1.4187,2.2595,-2.04,1e-12
16.0,15.901,20.30536,-106.21943999999999,26.0812,26.0809,26.0776,34.6703,34.6804,1022.8282,22.7593,0.23643000000000003,198.69,203.52646000000001,0.1817,95.5601,1.4188,2.2589,-2.042,1e-12
17.0,16.895,20.30536,-106.21943999999999,26.08,26.0801,26.0763,34.6705,34.6806,1022.833,22.7598,0.2448,198.642,203.52992,0.1836,95.5131,1.4189,2.2586,-2.04,1e-12
18.0,17.889,20.30536,-106.21943999999999,26.0772,26.0772,26.0732,34.6712,34.6812,1022.8387,22.7612,0.2366,198.86700000000002,203.53846000000001,0.1826,95.5392,1.4186,2.2585,-2.041,1e-12
19.0,18.883,20.30536,-106.21943999999999,26.0748,26.0741,26.0706,34.6715,34.6817,1022.844,22.7622,0.25296,198.94,203.54618,0.183,95.5274,1.4188,2.2584,-2.04,1e-12
20.0,19.877,20.30536,-106.21943999999999,26.07,26.0695,26.0655,34.672,34.682,1022.8501,22.7641,0.26833,199.171,203.56184,0.1857,95.4646,1.4188,2.2581,-2.04,1e-12
21.0,20.87,20.30536,-106.21943999999999,26.0674,26.067,26.0627,34.6721,34.6822,1022.8553,22.765,0.27003,198.291,203.57013,0.1878,95.4122,1.4189,2.258,-2.041,1e-12
