Pressure [dbar],timeS,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS
11.0,48.916,-106.07344,20.26359,11,24.8934,24.8823,5.247989,5.246879,0.51056,12.4533,4.4454,73.384,0,4.4454,0.1702,2.7239,0,4.5309,0,3.1615,0,2.7239,34.6398,34.6401,23.1018,23.1054,6.6139,202.02,97.302
12.0,81.918,-106.07344,20.2636,12,24.4635,24.4669,5.197751,5.198526,0.6541,12.4946,4.3997,66.449,0,4.3997,0.218,2.7091,0,4.5311,0,3.1191,0,2.7091,34.5962,34.5993,23.1985,23.1999,6.6103,201.892,96.512
13.0,83.108,-106.07344,20.2636,13,24.159,24.1776,5.161954,5.164658,0.8275,12.5373,4.353,60.305,0,4.353,0.2758,2.7061,0,4.5311,0,3.0768,0,2.7061,34.5625,34.5685,23.2638,23.2629,6.6641,203.52,96.769
14.0,85.629,-106.07344,20.2636,14,23.5448,23.5742,5.094538,5.097694,1.4674,12.5952,4.2904,51.82,0,4.2904,0.4891,2.6932,0,4.5316,0,3.0105,0,2.6932,34.5293,34.5304,23.4196,23.4119,6.6268,202.35,95.194
15.0,87.937,-106.07344,20.2636,15,23.3026,23.3055,5.070765,5.071191,1.5515,12.6171,4.267,44.215,0,4.267,0.5172,2.6255,0,4.5335,0,2.942,0,2.6255,34.5368,34.5378,23.4958,23.4957,6.4407,196.653,92.134
16.0,89.948,-106.07344,20.2636,16,23.21,23.211,5.061286,5.061535,1.7092,12.5959,4.2896,37.699,0,4.2896,0.5697,2.6127,0,4.5347,0,2.8724,0,2.6127,34.5364,34.5376,23.5224,23.523,6.4802,197.856,92.551
17.0,91.957,-106.07344,20.2636,17,23.1792,23.1793,5.058197,5.058324,1.7735,12.598,4.2874,32.243,0,4.2874,0.5912,2.6073,0,4.5347,0,2.8049,0,2.6073,34.5366,34.5375,23.5315,23.5322,6.4499,196.929,92.068
18.0,93.363,-106.07344,20.2636,18,23.1513,23.1509,5.0554,5.055483,1.5838,12.6004,4.2848,27.789,0,4.2848,0.5279,2.59,0,4.5097,0,2.7403,0,2.59,34.5366,34.5376,23.5397,23.5405,6.3696,194.476,90.878
19.0,95.003,-106.07344,20.2636,19,23.1269,23.1219,5.053193,5.05287,1.7074,12.605,4.2799,23.387,0,4.2799,0.5691,2.5675,0,4.5317,0,2.664,0,2.5675,34.5385,34.54,23.5482,23.5508,6.3277,193.194,90.242
20.0,98.574,-106.07344,20.26358,20,23.1045,23.1118,5.051533,5.052258,2.3735,12.6141,4.2701,19.51,0,4.2701,0.7912,2.5299,0,4.5349,0,2.5875,0,2.5299,34.5431,34.5429,23.5582,23.556,6.1937,189.099,88.298
21.0,100.097,-106.07344,20.26358,21,23.086,23.0846,5.049815,5.049826,1.6789,12.6075,4.2772,16.493,0,4.2772,0.5597,2.4878,0,4.5342,0,2.5137,0,2.4878,34.5441,34.5452,23.5643,23.5656,5.951,181.69,84.812
22.0,101.529,-106.07344,20.26359,22,22.9008,22.8987,5.031209,5.031383,1.6383,12.613,4.2713,13.954,0,4.2713,0.5461,2.3803,0,4.5335,0,2.4409,0,2.3803,34.5462,34.5492,23.6192,23.6221,5.5267,168.727,78.514
23.0,103.609,-106.07344,20.2636,23,22.4989,22.5035,4.991309,4.992153,1.6814,12.594,4.2916,12.036,0,4.2916,0.5605,2.1907,0,4.5339,0,2.3772,0,2.1906,34.5543,34.5573,23.74,23.7409,4.934,150.615,69.605
24.0,105.397,-106.07344,20.26359,24,21.9252,21.9157,4.932382,4.931893,1.4019,12.5783,4.3086,10.328,0,4.3086,0.4673,2.0285,0,4.5359,0,2.3102,0,2.0284,34.5498,34.5535,23.8979,23.9034,4.5493,138.85,63.525
25.0,107.324,-106.07344,20.26358,25,21.504,21.5237,4.889556,4.891986,1.564,12.5642,4.3237,8.7367,0,4.3237,0.5213,1.9011,0,4.5371,0,2.2373,0,1.901,34.5487,34.5522,24.0137,24.011,4.1899,127.865,58.075
