# MetaGOmics taxonomy report
# MetaGOmics version: 0.1.1
# Run date: Mon Sep 03 22:40:20 PDT 2018
GO acc	GO aspect	GO name	taxon name	NCBI taxonomy id	taxonomy rank	PSM count	ratio of GO	ratio of run
unknownprc	biological_process	unknown biological process	root	1	no rank	12	0.012371134020618556	0.010978956999085087
unknownprc	biological_process	unknown biological process	Echinodermata	7586	phylum	4	0.004123711340206186	0.0036596523330283625
unknownprc	biological_process	unknown biological process	Asterozoa	7587	superclass	4	0.004123711340206186	0.0036596523330283625
unknownprc	biological_process	unknown biological process	Asteroidea	7588	class	4	0.004123711340206186	0.0036596523330283625
unknownprc	biological_process	unknown biological process	Eukaryota	2759	superkingdom	12	0.012371134020618556	0.010978956999085087
unknownprc	biological_process	unknown biological process	Astrocoeniina	123757	suborder	2	0.002061855670103093	0.0018298261665141812
unknownprc	biological_process	unknown biological process	Acropora formosa	126732	species	2	0.002061855670103093	0.0018298261665141812
unknownprc	biological_process	unknown biological process	Scleractinia	6125	order	2	0.002061855670103093	0.0018298261665141812
unknownprc	biological_process	unknown biological process	Acroporidae	6126	family	2	0.002061855670103093	0.0018298261665141812
unknownprc	biological_process	unknown biological process	Acropora	6127	genus	2	0.002061855670103093	0.0018298261665141812
unknownprc	biological_process	unknown biological process	Forcipulatida	7599	order	4	0.004123711340206186	0.0036596523330283625
unknownprc	biological_process	unknown biological process	Asteriidae	7600	family	4	0.004123711340206186	0.0036596523330283625
unknownprc	biological_process	unknown biological process	Asterias	7601	genus	4	0.004123711340206186	0.0036596523330283625
unknownprc	biological_process	unknown biological process	Asterias rubens	7604	species	4	0.004123711340206186	0.0036596523330283625
unknownprc	biological_process	unknown biological process	Anthozoa	6101	class	2	0.002061855670103093	0.0018298261665141812
unknownprc	biological_process	unknown biological process	Hexacorallia	6102	subclass	2	0.002061855670103093	0.0018298261665141812
unknownprc	biological_process	unknown biological process	Metazoa	33208	kingdom	9	0.009278350515463918	0.008234217749313814
unknownprc	biological_process	unknown biological process	Cnidaria	6073	phylum	2	0.002061855670103093	0.0018298261665141812
unknownprc	biological_process	unknown biological process	Forcipulatacea	41242	superorder	4	0.004123711340206186	0.0036596523330283625
unknownprc	biological_process	unknown biological process	Oomycetes	4762	class	1	0.0010309278350515464	9.149130832570906E-4
GO:0038061	biological_process	NIK/NF-kappaB signaling	root	1	no rank	4	1.0	0.0036596523330283625
GO:0038061	biological_process	NIK/NF-kappaB signaling	Eukaryota	2759	superkingdom	4	1.0	0.0036596523330283625
GO:0009733	biological_process	response to auxin	root	1	no rank	41	1.0	0.03751143641354071
GO:0009733	biological_process	response to auxin	Eukaryota	2759	superkingdom	41	1.0	0.03751143641354071
GO:0032392	biological_process	DNA geometric change	root	1	no rank	4	1.0	0.0036596523330283625
GO:0032392	biological_process	DNA geometric change	Eukaryota	2759	superkingdom	4	1.0	0.0036596523330283625
unknowncmp	cellular_component	unknown cellular component	root	1	no rank	4	0.004158004158004158	0.0036596523330283625
unknowncmp	cellular_component	unknown cellular component	Bacteria	2	superkingdom	4	0.004158004158004158	0.0036596523330283625
unknowncmp	cellular_component	unknown cellular component	Listeriaceae	186820	family	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Proteobacteria	1224	phylum	2	0.002079002079002079	0.0018298261665141812
unknowncmp	cellular_component	unknown cellular component	Thermotoga maritima MSB8	243274	no rank	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Thermotogae	200918	phylum	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Firmicutes	1239	phylum	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Myxococcales	29	order	2	0.002079002079002079	0.0018298261665141812
unknowncmp	cellular_component	unknown cellular component	Thermotoga	2335	genus	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Myxococcaceae	31	family	2	0.002079002079002079	0.0018298261665141812
unknowncmp	cellular_component	unknown cellular component	Thermotoga maritima	2336	species	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Myxococcus	32	genus	2	0.002079002079002079	0.0018298261665141812
unknowncmp	cellular_component	unknown cellular component	Myxococcus xanthus	34	species	2	0.002079002079002079	0.0018298261665141812
unknowncmp	cellular_component	unknown cellular component	Listeria	1637	genus	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Thermotogae	188708	class	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Thermotogaceae	188709	family	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Bacillales	1385	order	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Cystobacterineae	80811	suborder	2	0.002079002079002079	0.0018298261665141812
unknowncmp	cellular_component	unknown cellular component	Listeria welshimeri	1643	species	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	delta/epsilon subdivisions	68525	subphylum	2	0.002079002079002079	0.0018298261665141812
unknowncmp	cellular_component	unknown cellular component	Thermotogales	2419	order	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Bacilli	91061	class	1	0.0010395010395010396	9.149130832570906E-4
unknowncmp	cellular_component	unknown cellular component	Myxococcus xanthus DK 1622	246197	no rank	2	0.002079002079002079	0.0018298261665141812
unknowncmp	cellular_component	unknown cellular component	Deltaproteobacteria	28221	class	2	0.002079002079002079	0.0018298261665141812
unknowncmp	cellular_component	unknown cellular component	Listeria welshimeri serovar 6b str. SLCC5334	386043	no rank	1	0.0010395010395010396	9.149130832570906E-4
GO:0009735	biological_process	response to cytokinin	root	1	no rank	74	1.0	0.0677035681610247
GO:0009735	biological_process	response to cytokinin	Eukaryota	2759	superkingdom	41	0.5540540540540541	0.03751143641354071
GO:0032403	molecular_function	protein complex binding	root	1	no rank	5	1.0	0.004574565416285453
GO:0051591	biological_process	response to cAMP	root	1	no rank	46	1.0	0.042086001829826164
GO:0051591	biological_process	response to cAMP	Eukaryota	2759	superkingdom	41	0.8913043478260869	0.03751143641354071
GO:0051592	biological_process	response to calcium ion	root	1	no rank	46	1.0	0.042086001829826164
GO:0051592	biological_process	response to calcium ion	Eukaryota	2759	superkingdom	41	0.8913043478260869	0.03751143641354071
GO:0098771	biological_process	inorganic ion homeostasis	root	1	no rank	4	1.0	0.0036596523330283625
GO:0098771	biological_process	inorganic ion homeostasis	Eukaryota	2759	superkingdom	4	1.0	0.0036596523330283625
GO:0032409	biological_process	regulation of transporter activity	root	1	no rank	5	1.0	0.004574565416285453
GO:0051593	biological_process	response to folic acid	root	1	no rank	1	1.0	9.149130832570906E-4
GO:0032411	biological_process	positive regulation of transporter activity	root	1	no rank	5	1.0	0.004574565416285453
GO:0032412	biological_process	regulation of ion transmembrane transporter activity	root	1	no rank	5	1.0	0.004574565416285453
GO:0009751	biological_process	response to salicylic acid	root	1	no rank	4	1.0	0.0036596523330283625
GO:0009751	biological_process	response to salicylic acid	Eukaryota	2759	superkingdom	4	1.0	0.0036596523330283625
GO:0032414	biological_process	positive regulation of ion transmembrane transporter activity	root	1	no rank	5	1.0	0.004574565416285453
GO:0051602	biological_process	response to electrical stimulus	root	1	no rank	41	1.0	0.03751143641354071
GO:0051602	biological_process	response to electrical stimulus	Eukaryota	2759	superkingdom	41	1.0	0.03751143641354071
GO:0051604	biological_process	protein maturation	root	1	no rank	26	1.0	0.023787740164684355
GO:0051606	biological_process	detection of stimulus	root	1	no rank	4	1.0	0.0036596523330283625
GO:0051606	biological_process	detection of stimulus	Eukaryota	2759	superkingdom	4	1.0	0.0036596523330283625
GO:0000001	biological_process	mitochondrion inheritance	root	1	no rank	41	1.0	0.03751143641354071
GO:0000001	biological_process	mitochondrion inheritance	Eukaryota	2759	superkingdom	41	1.0	0.03751143641354071
GO:0000002	biological_process	mitochondrial genome maintenance	root	1	no rank	23	1.0	0.021043000914913082
GO:0038093	biological_process	Fc receptor signaling pathway	root	1	no rank	45	1.0	0.04117108874656908
GO:0038093	biological_process	Fc receptor signaling pathway	Eukaryota	2759	superkingdom	45	1.0	0.04117108874656908
GO:0038094	biological_process	Fc-gamma receptor signaling pathway	root	1	no rank	41	1.0	0.03751143641354071
GO:0038094	biological_process	Fc-gamma receptor signaling pathway	Eukaryota	2759	superkingdom	41	1.0	0.03751143641354071
GO:0038095	biological_process	Fc-epsilon receptor signaling pathway	root	1	no rank	4	1.0	0.0036596523330283625
GO:0038095	biological_process	Fc-epsilon receptor signaling pathway	Eukaryota	2759	superkingdom	4	1.0	0.0036596523330283625
GO:0038096	biological_process	Fc-gamma receptor signaling pathway involved in phagocytosis	root	1	no rank	41	1.0	0.03751143641354071
GO:0038096	biological_process	Fc-gamma receptor signaling pathway involved in phagocytosis	Eukaryota	2759	superkingdom	41	1.0	0.03751143641354071
GO:0044183	molecular_function	protein binding involved in protein folding	root	1	no rank	32	1.0	0.0292772186642269
GO:0044183	molecular_function	protein binding involved in protein folding	Bacteria	2	superkingdom	4	0.125	0.0036596523330283625
GO:0051082	molecular_function	unfolded protein binding	root	1	no rank	32	1.0	0.0292772186642269
GO:0051082	molecular_function	unfolded protein binding	Bacteria	2	superkingdom	4	0.125	0.0036596523330283625
GO:0098793	cellular_component	presynapse	root	1	no rank	5	1.0	0.004574565416285453
GO:0032432	cellular_component	actin filament bundle	root	1	no rank	41	1.0	0.03751143641354071
GO:0032432	cellular_component	actin filament bundle	Eukaryota	2759	superkingdom	41	1.0	0.03751143641354071
GO:0098796	cellular_component	membrane protein complex	root	1	no rank	37	1.0	0.03385178408051235
GO:0032434	biological_process	regulation of proteasomal ubiquitin-dependent protein catabolic process	root	1	no rank	5	1.0	0.004574565416285453
