,Total PTMs,Cys carb.,Met oxi.,Asp deam.,Glut deam.,Lys hydr,Pro hydr,Lys meth.,Arg meth.
50-55,1683,171,612,76,1,157,295,179,192
55-60,1457,117,512,78,4,156,239,150,201
60-65,1340,90,488,76,0,121,262,126,177
65-70,1090,71,395,87,3,100,186,104,144
70-75,861,63,306,81,2,62,164,80,103
75-80,731,34,273,69,8,45,163,54,85
80-85,430,14,153,58,5,31,88,35,46
85-90,310,16,105,50,11,15,56,23,34
90-95,115,7,40,22,7,7,14,4,14
95-100,18,1,1,11,3,0,1,1,0
total,8035,584,2885,608,44,694,1468,756,996
rel,1.51261295180723,0.109939759036145,0.543109939759036,0.114457831325301,0.00828313253012,0.130647590361446,0.276355421686747,0.142319277108434,0.1875
