,Total PTMs,Cys carb.,Met oxi.,Asp deam.,Glut deam.,Lys hydr,Pro hydr,Lys meth.,Arg meth.
50-55,1614,143,539,66,1,173,251,188,253
55-60,1336,121,463,63,2,127,212,138,210
60-65,1046,83,359,59,2,80,182,128,153
65-70,941,64,326,60,5,89,168,96,133
70-75,744,38,264,60,5,68,130,76,103
75-80,461,35,153,29,4,40,88,32,80
80-85,335,26,111,41,2,25,57,29,44
85-90,164,8,52,25,5,10,25,9,30
90-95,81,15,19,21,2,4,8,3,9
95-100,8,1,0,5,2,0,0,0,0
total,6730,534,2286,429,30,616,1121,699,1015
rel,1.58092553441391,0.125440451021846,0.536997885835095,0.10077519379845,0.007047216349542,0.144702842377261,0.263330984261217,0.164200140944327,0.238430819826169
