peptide,lca,superkingdom,kingdom,subkingdom,superphylum,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species group,species subgroup,species,subspecies,varietas,forma
AEPLNPK,Coriobacteriaceae,Bacteria,,,,Actinobacteria,,,Coriobacteriia,,,,Coriobacteriales,,,,,Coriobacteriaceae,,,,,,,,,,,
DFLTEK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWPEGR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAAHYVK,Lentisphaerae,Bacteria,,,,Lentisphaerae,,,,,,,,,,,,,,,,,,,,,,,
EEDQLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEELK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEYPDR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDLDNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFEYNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFLMNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFLYR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFQLYK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFVSCK,Eukaryota,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDTHK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATGMLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEEDLER,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLYEETR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNDMER,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYEETR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAPLVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMCLYK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMEYNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLYNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLMLENK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVPPFSK,Bacteria,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCLMPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPQPNLK,Paramecium tetraurelia,Eukaryota,,,,,Intramacronucleata,,Oligohymenophorea,,,,Peniculida,,,,,Parameciidae,,,,Paramecium,,,,Paramecium tetraurelia,,,
TQYFVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVSDEER,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDCLSR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VVDSWSR,Nocardioides,Bacteria,,,,Actinobacteria,,,Actinobacteria,,,,Propionibacteriales,,,,,Nocardioidaceae,,,,Nocardioides,,,,,,,
VYEEGR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDPEGR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWEPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YHPQK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPGLWR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YVVHK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWDTDK,Bacteria,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,
