Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 9: 284 4-19_265m_ctl_A,Area Sample 9: 284 4-19_265m_ctl_A,#Peptides,#Unique,#Spec Sample 9: 284 4-19_265m_ctl_A,PTM,Avg. Mass,Description
2,2,CAA76847.1,270.65,59,59,5.88E7,33,33,75,Carbamidomethylation,69324,bovine serum albumin [Bos taurus]
1,1,54036848,234.23,11,11,6.2E8,17,13,47,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,29,CAN98337.1,94.78,3,3,7.71E6,4,1,10,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
4,128103,ETNP_110,61.06,9,9,4.82E5,3,3,4,,32534,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128104,NP_125,61.06,8,8,4.82E5,3,3,4,,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128105,ETNP14_120,61.06,8,8,4.82E5,3,3,4,,39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128106,ETNP_100,61.06,8,8,4.82E5,3,3,4,,39291,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128107,NP_85,61.06,8,8,4.82E5,3,3,4,,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128108,ETNP_160,61.06,11,11,4.82E5,3,3,4,,28182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128109,ETNP_120,61.06,10,10,4.82E5,3,3,4,,31075,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128110,ETNP_140,61.06,9,9,4.82E5,3,3,4,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128111,ETNP_140,61.06,12,12,4.82E5,3,3,4,,24554,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128112,ETNP_120,61.06,11,11,4.82E5,3,3,4,,26356,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128113,ETNP_120,61.06,11,11,4.82E5,3,3,4,,28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128114,ETNP_90,61.06,10,10,4.82E5,3,3,4,,30745,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128115,ETNP_120,61.06,9,9,4.82E5,3,3,4,,35686,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128116,ETNP_120,61.06,8,8,4.82E5,3,3,4,,39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128117,ETNP_100,61.06,8,8,4.82E5,3,3,4,,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128118,NP_300,61.06,8,8,4.82E5,3,3,4,,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128119,NP_85,61.06,8,8,4.82E5,3,3,4,,39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128120,ETNP_120,61.06,8,8,4.82E5,3,3,4,,39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128121,NP_300,61.06,8,8,4.82E5,3,3,4,,39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,128122,ETNP_180,61.06,8,8,4.82E5,3,3,4,,39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,51,WP_015349883,44.46,0,0,1.43E6,2,1,2,,202176,polyketide synthase Myxococcus stipitatus
10,42,CBE69591,44.46,2,2,1.43E6,2,1,2,,58424,Indole-3-pyruvate decarboxylase Indolepyruvate decarboxylase Candidatus Methylomirabilis oxyfera
16,8391,ETNP_120,41.27,20,20,2.33E7,1,1,2,,5568,hypothetical protein
16,8392,ETNP_180,41.27,20,20,2.33E7,1,1,2,,5568,hypothetical protein
76,128126,ETNP14_120,39.14,11,11,9.58E5,1,1,1,,10699,hypothetical protein
77,128127,ETNP_300,32.23,2,2,5.64E5,1,1,1,,38842,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase
8,524,WP_013305339.1,32.03,2,2,8.6E5,1,1,3,,43508,dihydrolipoamide succinyltransferase [Maribacter sp. HTCC2170]
8,483,ETNP_70,32.03,8,8,8.6E5,1,1,3,,9587,hypothetical protein
8,484,ETNP_70,32.03,6,6,8.6E5,1,1,3,,12144,hypothetical protein
8,128128,ETNP14_120,32.03,6,6,8.6E5,1,1,3,,13990,6-carboxy-5 6 7 8-tetrahydropterin synthase
8,485,ETNP_110,32.03,6,6,8.6E5,1,1,3,,14115,6-carboxy-5 6 7 8-tetrahydropterin synthase
8,486,ETNP14_120,32.03,6,6,8.6E5,1,1,3,,14115,6-carboxy-5 6 7 8-tetrahydropterin synthase
8,487,ETNP_120,32.03,6,6,8.6E5,1,1,3,,13990,6-carboxy-5 6 7 8-tetrahydropterin synthase
8,128129,ETNP_100,32.03,6,6,8.6E5,1,1,3,,14115,6-carboxy-5 6 7 8-tetrahydropterin synthase
8,488,ETNP_120,32.03,6,6,8.6E5,1,1,3,,14131,6-carboxy-5 6 7 8-tetrahydropterin synthase
