Protein Group,Protein ID,Accession,Query,Hit Accession,Description,Type, Score,Evalue,-10lgP,Coverage (%),Coverage (%) etnp-ja09-20170531,Coverage (%) etnp-ja10-20170531,Coverage (%) etnp-ja11-20170531,Coverage (%) etnp-ja12-20170531,Coverage (%) etnp-ja13-20170531,Coverage (%) etnp-ja14-20170531,Coverage (%) etnp-ja15-20170531,Coverage (%) etnp-ja16-20170531,Area etnp-ja09-20170531,Area etnp-ja10-20170531,Area etnp-ja11-20170531,Area etnp-ja12-20170531,Area etnp-ja13-20170531,Area etnp-ja14-20170531,Area etnp-ja15-20170531,Area etnp-ja16-20170531,#Peptides,#Unique,#Spec etnp-ja09-20170531,#Spec etnp-ja10-20170531,#Spec etnp-ja11-20170531,#Spec etnp-ja12-20170531,#Spec etnp-ja13-20170531,#Spec etnp-ja14-20170531,#Spec etnp-ja15-20170531,#Spec etnp-ja16-20170531,PTM,Avg. Mass,Description
1058,70330,ACT65592.1,,,,,,,25.42,2,0,0,1,0,0,1,0,0,,,1.23E+04,,,1.52E+05,,,2,2,0,0,1,0,0,1,0,0,Deamidation (NQ),165242,minor head protein [Cyanophage PSS2]
940,70317,ADO99115.1,,,,,,,30.06,3,0,0,2,2,0,1,0,0,,,0.00E+00,0.00E+00,,0.00E+00,,,3,3,0,0,1,1,0,1,0,0,,74024,hypothetical protein Syn1_013 [Prochlorococcus phage Syn1]
847,68602,ADO99318.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39267,photosystem II D2 protein [Prochlorococcus phage Syn1]
847,68604,ADO99569.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39295,photosystem II D2 protein [Prochlorococcus phage Syn33]
1069,70218,ADO99874.1,,,,,,,26.69,1,0,0,0,0,0,0,0,0,,,,5.20E+03,,,,,2,1,0,1,0,1,0,0,0,0,,389050,YapH protein [Prochlorococcus phage P-HM2]
847,68399,AGH57838.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39411,photosystem II D2 protein [Synechococcus phage KBS-M-1A]
1288,74996,AHB42158,,,,,,,26.22,5,0,0,0,5,0,0,0,0,,,,2.37E+05,,,,,2,2,0,0,0,2,0,0,0,0,Deamidation (NQ),44045,Glycosyl transferase 1 group 1 Candidatus Saccharibacteria bacterium RAAC3_TM7_1
1228,69723,AKM80100,,,,,,,29.59,5,0,0,5,0,0,0,0,0,,,1.77E+06,,,,,,2,2,0,0,2,0,0,0,0,0,,47043,tig Trigger factor Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17
847,68606,AMO43457.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39267,photosystem II protein D2 [Cyanophage S-RIM44]
847,68609,AOO11697.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39267,photosystem II protein D2 [Cyanophage S-RIM44]
