Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 375_etnp2017_265m_gfd,Area 375_etnp2017_265m_gfd,#Peptides,#Unique,#Spec 375_etnp2017_265m_gfd,PTM,Avg. Mass,Description
1,1,54036848,192.40,11,11,3.25E8,9,6,27,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,2,|#CONTAM#TRYP_PIG|,111.31,31,31,1.67E8,10,10,15,Carbamidomethylation,24409,sp|#CONTAM#TRYP_PIG|
9,22,XP_003058519,94.21,25,25,4.82E4,5,1,5,,12701,predicted protein  Micromonas pusilla CCMP1545
9,23,XP_003062035,94.21,25,25,4.82E4,5,1,5,,12701,predicted protein  Micromonas pusilla CCMP1545
9,24,XP_003055512,94.21,25,25,4.82E4,5,1,5,,12701,histone H2B  Micromonas pusilla CCMP1545
9,25,ETNP_70,94.21,24,24,4.82E4,5,1,5,,13147,Core histone H2A/H2B/H3/H4
9,26,ETNP_90,94.21,24,24,4.82E4,5,1,5,,13120,Core histone H2A/H2B/H3/H4
9,27,ETNP_70,94.21,24,24,4.82E4,5,1,5,,13742,Core histone H2A/H2B/H3/H4
9,28,XP_003080759,94.21,23,23,4.82E4,5,1,5,,13731,histone H2B ISS  Ostreococcus tauri
9,29,XP_003082252,94.21,21,21,4.82E4,5,1,5,,15314,histone H2B ISS  Ostreococcus tauri
9,30,ETNP_70,94.21,19,19,4.82E4,5,1,5,,16840,Core histone H2A/H2B/H3/H4
10,44,ETNP_100,91.70,39,39,1.9E4,5,1,5,,7412,Core histone H2A/H2B/H3/H4
4,31,WP_011784398,90.12,3,3,3.79E5,4,1,6,,95531,chaperone protein ClpB Marinobacter hydrocarbonoclasticus
3,3,XP_003062500,87.00,13,13,1.55E6,7,5,7,,49730,alpha tubulin  Micromonas pusilla CCMP1545
3,4,XP_003058621,87.00,13,13,1.55E6,7,5,7,,49730,alpha tubulin  Micromonas pusilla CCMP1545
3,5,XP_003082284,87.00,13,13,1.55E6,7,5,7,,50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
3,6,XP_003080933,87.00,12,12,1.55E6,7,5,7,,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
5,70,WP_012182355.1,83.99,2,2,1.35E5,4,1,6,,92767,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
5,71,WP_012184686.1,83.99,2,2,1.35E5,4,1,6,,93571,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
6,94,ETNP_140,83.91,3,3,0E0,4,1,6,,94291,Chaperone protein ClpB
6,95,ETNP_180,83.91,3,3,0E0,4,1,6,,94291,Chaperone protein ClpB
6,96,ETNP_120,83.91,3,3,0E0,4,1,6,,94291,Chaperone protein ClpB
7,16,ETNP_120,75.34,19,19,5.31E5,5,5,5,,31075,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,17,ETNP_140,75.34,17,17,5.31E5,5,5,5,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,11,NP_300,69.49,17,17,1.04E6,5,5,5,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
8,12,ETNP_160,69.49,17,17,1.04E6,5,5,5,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
8,13,ETNP14_120,69.49,17,17,1.04E6,5,5,5,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
8,14,ETNP_140,69.49,17,17,1.04E6,5,5,5,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
8,15,ETNP_120,69.49,17,17,1.04E6,5,5,5,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
20,76,ETNP14_68,61.94,24,24,4.33E5,2,2,3,Oxidation (M),8425,Ubiquitin family protein
20,77,ETNP14_68,61.94,24,24,4.33E5,2,2,3,Oxidation (M),8466,Ubiquitin family protein
20,78,ETNP14_68,61.94,23,23,4.33E5,2,2,3,Oxidation (M),8665,Ubiquitin family protein
20,79,ETNP14_120,61.94,23,23,4.33E5,2,2,3,Oxidation (M),8704,Ubiquitin family protein
20,80,ETNP14_68,61.94,22,22,4.33E5,2,2,3,Oxidation (M),9208,Ubiquitin family protein
20,81,XP_002182250,61.94,14,14,4.33E5,2,2,3,Oxidation (M),14454,ubiquitin extension protein 1 2  Phaeodactylum tricornutum CCAP 1055
20,82,ETNP14_68,61.94,13,13,4.33E5,2,2,3,Oxidation (M),15493,Ubiquitin family protein
20,83,XP_002179851,61.94,12,12,4.33E5,2,2,3,Oxidation (M),17809,ubiquitin extension protein 3  Phaeodactylum tricornutum CCAP 1055
20,84,|#CONTAM#RS27A_HUMAN|,61.94,12,12,4.33E5,2,2,3,Oxidation (M),17965,sp|#CONTAM#RS27A_HUMAN|
20,85,XP_002183736,61.94,9,9,4.33E5,2,2,3,Oxidation (M),22982,predicted protein  Phaeodactylum tricornutum CCAP 1055
20,86,EJK68681,61.94,9,9,4.33E5,2,2,3,Oxidation (M),23088,hypothetical protein THAOC_10112  Thalassiosira oceanica
20,88,EJK62831,61.94,8,8,4.33E5,2,2,3,Oxidation (M),26844,hypothetical protein THAOC_16543  Thalassiosira oceanica
20,89,ETNP14_68,61.94,6,6,4.33E5,2,2,3,Oxidation (M),31830,Ubiquitin family protein
20,90,XP_003082269,61.94,6,6,4.33E5,2,2,3,Oxidation (M),32141,polyubiquitin ISS  Ostreococcus tauri
20,91,XP_002180197,61.94,5,5,4.33E5,2,2,3,Oxidation (M),42876,predicted protein  Phaeodactylum tricornutum CCAP 1055
20,92,XP_002180198,61.94,5,5,4.33E5,2,2,3,Oxidation (M),42876,ubiquitin extension protein 4 partial  Phaeodactylum tricornutum CCAP 1055
16,63,ETNP_100,60.87,44,44,3.96E5,3,1,3,,6240,hypothetical protein
16,64,ETNP_100,60.87,32,32,3.96E5,3,1,3,,8411,hypothetical protein
16,65,ETNP_120,60.87,32,32,3.96E5,3,1,3,,8616,hypothetical protein
16,66,ETNP_100,60.87,32,32,3.96E5,3,1,3,,8616,hypothetical protein
17,111,ETNP_70,60.26,9,9,1.68E5,3,1,3,,19618,Core histone H2A/H2B/H3/H4
17,157,EJK52562,60.26,14,14,1.68E5,3,1,3,,12825,hypothetical protein THAOC_28150  Thalassiosira oceanica
17,158,EJK63752,60.26,14,14,1.68E5,3,1,3,,12825,hypothetical protein THAOC_15570  Thalassiosira oceanica
17,159,EJK66680,60.26,14,14,1.68E5,3,1,3,,12825,hypothetical protein THAOC_12377  Thalassiosira oceanica
17,160,ETNP_60,60.26,14,14,1.68E5,3,1,3,,13283,Core histone H2A/H2B/H3/H4
17,161,XP_002179427,60.26,13,13,1.68E5,3,1,3,,13178,histone H2A isoform 3b  Phaeodactylum tricornutum CCAP 1055
17,162,XP_002179202,60.26,13,13,1.68E5,3,1,3,,13178,histone H2A isoform 3a  Phaeodactylum tricornutum CCAP 1055
17,163,ETNP_100,60.26,13,13,1.68E5,3,1,3,,13678,Core histone H2A/H2B/H3/H4
17,164,ETNP_70,60.26,13,13,1.68E5,3,1,3,,13534,Core histone H2A/H2B/H3/H4
17,165,ETNP_120,60.26,13,13,1.68E5,3,1,3,,13824,Core histone H2A/H2B/H3/H4
17,166,EJK74336,60.26,13,13,1.68E5,3,1,3,,13990,hypothetical protein THAOC_03987 partial  Thalassiosira oceanica
17,167,XP_002180358,60.26,12,12,1.68E5,3,1,3,,14700,histone H2A isoform 2  Phaeodactylum tricornutum CCAP 1055
17,168,EJK65157,60.26,6,6,1.68E5,3,1,3,,29086,hypothetical protein THAOC_14024  Thalassiosira oceanica
17,169,EJK60529,60.26,5,5,1.68E5,3,1,3,,34853,hypothetical protein THAOC_19092  Thalassiosira oceanica
21,170,XP_003059832,59.14,14,14,9.76E4,3,1,3,,14583,histone H2A  Micromonas pusilla CCMP1545
21,171,XP_003074738,59.14,13,13,9.76E4,3,1,3,,14945,H2a Histone H2A probable IC  Ostreococcus tauri
11,62,XP_003061104,58.71,9,9,1.59E6,4,4,4,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
37,184,ETNP14_120,46.79,6,6,6.57E5,2,2,2,,28288,Flagellin
37,185,ETNP14_120,46.79,6,6,6.57E5,2,2,2,,29235,Flagellin
39,254,|#CONTAM#K1C9_HUMAN|,45.26,3,3,3.5E5,2,2,2,,62129,sp|#CONTAM#K1C9_HUMAN|
95,117,ETNP_150,44.78,14,14,2.07E5,1,1,1,,7384,Core histone H2A/H2B/H3/H4
95,118,ETNP_150,44.78,10,10,2.07E5,1,1,1,,10337,Core histone H2A/H2B/H3/H4
31,153,EJK77863,44.66,11,11,4.16E5,2,2,2,Oxidation (M),16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
31,154,XP_002185049,44.66,11,11,4.16E5,2,2,2,Oxidation (M),16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
31,155,EJK58168,44.66,11,11,4.16E5,2,2,2,Oxidation (M),16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
31,156,ETNP_90,44.66,10,10,4.16E5,2,2,2,Oxidation (M),18514,EF hand
31,172,ETNP_120,44.66,12,12,4.16E5,2,2,2,Oxidation (M),15232,EF hand
31,186,XP_003056131,44.66,11,11,4.16E5,2,2,2,Oxidation (M),16706,calmodulin  Micromonas pusilla CCMP1545
31,187,XP_003074444,44.66,6,6,4.16E5,2,2,2,Oxidation (M),28898,calmodulin mutant SYNCAM9 ISS  Ostreococcus tauri
13,258,ETNP_100,44.48,22,22,1.4E6,4,4,4,Oxidation (M),15007,hypothetical protein
22,210,ETNP_120,43.93,20,20,1.44E7,2,2,3,,5568,hypothetical protein
22,211,ETNP_180,43.93,20,20,1.44E7,2,2,3,,5568,hypothetical protein
15,264,ETNP_100,39.31,20,20,2.65E5,3,3,3,Carbamidomethylation,14624,Tubulin/FtsZ family  GTPase domain
42,316,ETNP_120,37.08,10,10,1.89E6,2,2,2,,9575,hypothetical protein
42,317,ETNP_180,37.08,6,6,1.89E6,2,2,2,,15582,hypothetical protein
38,241,WP_015345623,37.02,3,3,9.59E4,2,2,2,,51032,chromosomal replication initiator protein DnaA Myxococcus stipitatus
27,260,ADI91001.1,36.77,2,2,2.7E4,2,2,2,,68112,peptidyl-prolyl cis-trans isomerase precursor (PPIase) (rotamase) [Acinetobacter oleivorans DR1]
96,194,ETNP_120,34.96,1,1,6.69E4,1,1,1,,74962,DNA ligase
96,195,ETNP_300,34.96,1,1,6.69E4,1,1,1,,74962,DNA ligase
96,196,ETNP_180,34.96,1,1,6.69E4,1,1,1,,74962,DNA ligase
96,204,WP_014474141,34.96,2,2,6.69E4,1,1,1,,46038,malate dehydrogenase Arcobacter sp L
172,205,ETNP14_68,34.17,4,4,3.4E4,1,1,1,,40252,Bacterial extracellular solute-binding protein
172,206,SAR11,34.17,4,4,3.4E4,1,1,1,,40222,hypothetical protein
172,207,NP_85,34.17,4,4,3.4E4,1,1,1,,40252,Bacterial extracellular solute-binding protein
172,208,SAR11,34.17,4,4,3.4E4,1,1,1,,40252,hypothetical protein
172,209,NP_300,34.17,4,4,3.4E4,1,1,1,,40252,Bacterial extracellular solute-binding protein
173,212,ETNP_180,33.58,5,5,0E0,1,1,1,,19107,hypothetical protein
173,213,ETNP_140,33.58,2,2,0E0,1,1,1,,38939,Foldase protein PrsA 1 precursor
173,214,ETNP_300,33.58,2,2,0E0,1,1,1,,56983,Peptidyl-prolyl cis-trans isomerase D
173,215,ETNP_160,33.58,2,2,0E0,1,1,1,,60573,Peptidyl-prolyl cis-trans isomerase D
173,216,ETNP_120,33.58,1,1,0E0,1,1,1,,70266,Peptidyl-prolyl cis-trans isomerase D
28,292,XP_003079495,33.46,2,2,4.17E5,2,2,2,,91883,adenylyl cyclase ISS  Ostreococcus tauri
74,197,ETNP_300,33.41,2,2,1.73E5,1,1,1,,42125,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
74,198,ETNP_120,33.41,2,2,1.73E5,1,1,1,,42125,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
74,199,ETNP_120,33.41,2,2,1.73E5,1,1,1,,47192,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
43,325,ETNP14_68,33.31,7,7,1.77E5,2,2,2,,40832,Flavin-dependent monooxygenase  oxygenase subunit HsaA
97,217,ETNP_100,33.18,5,5,1.59E5,1,1,1,,20575,hypothetical protein
97,218,ETNP_100,33.18,3,3,1.59E5,1,1,1,,30242,hypothetical protein
97,219,ETNP_120,33.18,3,3,1.59E5,1,1,1,,34262,hypothetical protein
55,174,XP_003060736,32.90,0,0,5.01E4,1,1,1,,220516,predicted protein  Micromonas pusilla CCMP1545
175,227,ETNP_120,32.00,4,4,1.01E5,1,1,1,,29590,Fructose-bisphosphate aldolase
44,336,ETNP14_68,31.84,3,3,1.8E5,2,2,2,,58042,60 kDa chaperonin
45,344,ACY16751.1,31.64,3,3,5.16E5,2,2,2,,44862,band 7 protein [Haliangium ochraceum DSM 14365]
73,188,ETNP_300,31.29,1,1,6.21E4,1,1,1,,78967,Pyruvate  phosphate dikinase
73,221,ETNP_160,31.29,2,2,6.21E4,1,1,1,,50184,Lactate utilization protein B
73,222,ETNP14_120,31.29,2,2,6.21E4,1,1,1,,42083,Septum site-determining protein MinD
73,223,ETNP14_68,31.29,2,2,6.21E4,1,1,1,,42083,Septum site-determining protein MinD
73,224,ETNP_90,31.29,2,2,6.21E4,1,1,1,,42083,Septum site-determining protein MinD
73,230,ETNP14_120,31.29,11,11,6.21E4,1,1,1,,8610,hypothetical protein
73,231,ETNP_140,31.29,6,6,6.21E4,1,1,1,,14607,Lactate utilization protein B
73,232,ETNP_120,31.29,5,5,6.21E4,1,1,1,,18016,Lactate utilization protein B
73,233,ETNP_120,31.29,4,4,6.21E4,1,1,1,,23914,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
73,234,ETNP_180,31.29,4,4,6.21E4,1,1,1,,23914,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
73,235,ETNP_120,31.29,3,3,6.21E4,1,1,1,,26029,Lactate utilization protein B
73,236,ETNP14_68,31.29,3,3,6.21E4,1,1,1,,27222,glucosamine-6-phosphate deaminase-like protein
73,237,WP_005009834,31.29,3,3,6.21E4,1,1,1,,31537,metal-dependent phosphohydrolase Nitrospina gracilis
73,238,ETNP_160,31.29,2,2,6.21E4,1,1,1,,52482,Lactate utilization protein B
73,239,ETNP_120,31.29,2,2,6.21E4,1,1,1,,52451,Lactate utilization protein B
176,240,WP_052294820,31.09,8,8,8.58E4,1,1,1,,9892,hypothetical protein Acidobacterium capsulatum
176,242,WP_012562379,31.09,3,3,8.58E4,1,1,1,,29176,aminotransferase class IV Oligotropha carboxidovorans
176,248,WP_012185055.1,31.09,1,1,8.58E4,1,1,1,,53963,CCA tRNA nucleotidyltransferase [Salinispora arenicola]
32,300,NP_85,31.08,6,6,7.5E5,2,2,2,,36415,General L-amino acid-binding periplasmic protein AapJ precursor
177,243,NP_300,30.94,4,4,7.13E4,1,1,1,,20183,Beta-propeller repeat protein
177,244,ETNP_90,30.94,4,4,7.13E4,1,1,1,,20675,Beta-propeller repeat protein
177,245,NP_300,30.94,4,4,7.13E4,1,1,1,,20373,Beta-propeller repeat protein
177,247,ETNP_140,30.94,3,3,7.13E4,1,1,1,,27443,Beta-propeller repeat protein
177,249,ETNP14_68,30.94,2,2,7.13E4,1,1,1,,32634,Beta-propeller repeat protein
177,250,NP_100,30.94,2,2,7.13E4,1,1,1,,40282,Beta-propeller repeat protein
177,251,NP_85,30.94,2,2,7.13E4,1,1,1,,40231,Beta-propeller repeat protein
178,252,ETNP14_68,30.56,5,5,1.93E5,1,1,1,,19475,hypothetical protein
178,253,ETNP14_120,30.56,3,3,1.93E5,1,1,1,,27931,Aerobic cobaltochelatase subunit CobS
179,255,ETNP_120,29.82,5,5,2.79E4,1,1,1,,20180,hypothetical protein
98,228,ETNP_100,29.62,2,2,5.72E4,1,1,1,,42581,hypothetical protein
98,266,ETNP_100,29.62,1,1,5.72E4,1,1,1,,80136,MCM2/3/5 family protein
14,261,ETNP14_68,29.60,7,7,4.99E5,1,1,3,,11927,hypothetical protein
14,262,WP_011394006,29.60,4,4,4.99E5,1,1,3,,22319,membrane protein Hahella chejuensis
180,263,CBE69591,29.46,2,2,8.89E5,1,1,1,,58424,Indole-3-pyruvate decarboxylase Indolepyruvate decarboxylase Candidatus Methylomirabilis oxyfera
180,265,WP_015349883,29.46,0,0,8.89E5,1,1,1,,202176,polyketide synthase Myxococcus stipitatus
40,275,ETNP_100,29.00,9,9,1.71E4,1,1,2,,13208,Core histone H2A/H2B/H3/H4
181,277,WP_021778392.1,28.41,3,3,2.21E5,1,1,1,,27086,MULTISPECIES: hypothetical protein [Dokdonia]
181,278,WP_035334320.1,28.41,3,3,2.21E5,1,1,1,,27066,hypothetical protein [Dokdonia sp. PRO95]
29,321,XP_003057104,28.09,0,0,2.84E5,2,2,2,,484574,flagellar inner arm heavy dynein chain  Micromonas pusilla CCMP1545
183,280,ETNP_120,28.08,17,17,0E0,1,1,1,,5646,hypothetical protein
100,273,virus_CCADEAMM_49928,27.93,1,1,2.9E4,1,1,1,,62547,hypothetical protein
101,274,WP_012909638,27.84,1,1,3.38E4,1,1,1,,65180,hypothetical protein Pirellula staleyi
185,282,WP_044282192,27.66,1,1,6.6E4,1,1,1,Oxidation (M),167741,hypothetical protein Myxococcus stipitatus
18,297,WP_018048843,27.47,2,2,3.18E5,1,1,3,,30755,hypothetical protein Nitrospina sp AB-629-B18
76,293,ETNP_120,27.39,3,3,9.44E4,1,1,1,,28946,Lipoprotein-releasing system transmembrane protein LolE
76,304,ABQ67261.1,27.39,2,2,9.44E4,1,1,1,,35358,Glyoxalase/bleomycin resistance protein/dioxygenase [Sphingomonas wittichii RW1]
76,307,KJS06369,27.39,1,1,9.44E4,1,1,1,,122129,hypothetical protein VR77_05015 Flavobacteriales bacterium BRH_c54
103,290,ETNP_100,27.15,1,1,1.62E6,1,1,1,,68009,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
103,291,ETNP_120,27.15,1,1,1.62E6,1,1,1,,68009,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
103,302,ACL65389.1,27.15,10,10,1.62E6,1,1,1,,9705,ribosomal protein S16 [Anaeromyxobacter dehalogenans 2CP-1]
103,303,AAV95508.1,27.15,2,2,1.62E6,1,1,1,,44886,pyruvate dehydrogenase complex  E2 component  dihydrolipoamide acetyltransferase [Ruegeria pomeroyi DSS-3]
187,308,ETNP_120,26.45,24,24,2.47E4,1,1,1,,4355,hypothetical protein
188,309,ETNP_120,26.43,10,10,6.58E4,1,1,1,,9523,hypothetical protein
41,310,CAN91477.1,26.38,2,2,3.85E7,1,1,2,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
48,523,EDP97082.1,26.10,1,1,2.14E5,2,2,2,,130387,hypothetical protein KAOT1_18003 [Kordia algicida OT-1]
104,299,ACY13708.1,25.98,3,3,0E0,1,1,1,Carbamidomethylation,35848,hypothetical protein Hoch_1130 [Haliangium ochraceum DSM 14365]
192,319,WP_013751986.1,25.85,1,1,1.96E4,1,1,1,,92753,membrane protein [Dokdonia sp. 4H-3-7-5]
189,312,ETNP14_120,25.69,18,18,2.64E5,1,1,1,,4281,hypothetical protein
189,313,ETNP14_68,25.69,3,3,2.64E5,1,1,1,,29617,Pyruvate  phosphate dikinase
189,314,ETNP14_120,25.69,2,2,2.64E5,1,1,1,,35156,hypothetical protein
190,315,ABI75989.1,25.44,10,10,1.82E5,1,1,1,,10661,chaperonin  10 kDa [Hyphomonas neptunium ATCC 15444]
191,318,WP_014437359,25.41,2,2,1.87E5,1,1,1,,58721,molecular chaperone GroeL Phycisphaera mikurensis
12,380,WP_012183198.1,25.05,0,0,3E5,1,1,4,,229711,heavy metal transporter CzcA [Salinispora arenicola]
60,298,ETNP_100,25.00,1,1,8.62E4,1,1,1,,135502,hypothetical protein
60,324,BAJ28616.1,25.00,2,2,8.62E4,1,1,1,,44356,putative dehydrogenase [Kitasatospora setae KM-6054]
60,359,WP_010204860.1,25.00,2,2,8.62E4,1,1,1,,46587,nucleotide sugar dehydrogenase [Salinibacterium sp. PAMC 21357]
60,368,KHE90726,25.00,1,1,8.62E4,1,1,1,,98403,preprotein translocase subunit SecA Candidatus Scalindua brodae
60,372,ETNP14_68,25.00,1,1,8.62E4,1,1,1,,135330,hypothetical protein
111,358,WP_011785869,24.83,3,3,2.09E4,1,1,1,,43279,D-alanyl-D-alanine carboxypeptidase Marinobacter
193,361,WP_011398581,24.77,1,1,3.56E4,1,1,1,,69783,flagellin Hahella chejuensis
194,367,ETNP_120,24.67,6,6,8.98E5,1,1,1,,22357,hypothetical protein
195,375,ETNP14_120,24.38,1,1,1.69E4,1,1,1,,90019,Lon protease
106,328,WP_041860968,24.13,5,5,0E0,1,1,1,,20218,hypothetical protein Candidatus Puniceispirillum marinum
107,332,ETNP_120,24.09,2,2,8.71E4,1,1,1,,64640,Sensor protein ZraS
