Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,37,ETNP_100m_particle_PROKKA_144421,341.03,75,60,55,,17736,C-phycoerythrin class 2 subunit alpha
1,38,ETNP_120m_PROKKA_239026,341.03,75,60,55,,17736,C-phycoerythrin class 2 subunit alpha
1,39,ETNP_90m_PROKKA_15075,341.03,75,60,55,,17736,C-phycoerythrin class 2 subunit alpha
2,153,ETNP_90m_PROKKA_15076,266.16,55,40,29,,18407,C-phycoerythrin class 2 subunit beta
2,154,ETNP_120m_PROKKA_239025,266.16,55,40,29,,18407,C-phycoerythrin class 2 subunit beta
2,155,ETNP_120m_free_PROKKA_182310,266.16,55,40,29,,18407,C-phycoerythrin class 2 subunit beta
6,1279,ETNP_110m_PROKKA_04004,244.03,79,24,24,,7685,Photosystem I reaction center subunit IV
6,1280,ETNP_100m_particle_PROKKA_97369,244.03,79,24,24,,7671,Photosystem I reaction center subunit IV
6,1281,NP_100m_PROKKA_25090,244.03,79,24,24,,7685,Photosystem I reaction center subunit IV
6,1282,ETNP_140m_PROKKA_82407,244.03,79,24,24,,7685,Photosystem I reaction center subunit IV
6,1283,ETNP_100m_PROKKA_85480,244.03,79,24,24,,7671,Photosystem I reaction center subunit IV
6,1284,ETNP_120m_particle_PROKKA_46067,244.03,79,24,24,,7685,Photosystem I reaction center subunit IV
9,34,ETNP_90m_PROKKA_178606,224.68,66,24,8,,29123,Photosystem II manganese-stabilizing polypeptide precursor
19,202,ETNP_100m_particle_PROKKA_12435,222.24,70,25,15,,13019,Photosystem II 12 kDa extrinsic protein precursor
19,203,ETNP_120m_PROKKA_126325,222.24,70,25,15,,13019,Photosystem II 12 kDa extrinsic protein precursor
19,204,ETNP_90m_PROKKA_27133,222.24,70,25,15,,13019,Photosystem II 12 kDa extrinsic protein precursor
19,205,ETNP_100m_PROKKA_02317,222.24,70,25,15,,13019,Photosystem II 12 kDa extrinsic protein precursor
5,222,ETNP_90m_PROKKA_62874,211.68,71,29,3,,12780,hypothetical protein
5,223,ETNP_110m_PROKKA_10944,211.68,71,29,3,,12780,hypothetical protein
5,224,ETNP_140m_PROKKA_61974,211.68,71,29,3,,12780,hypothetical protein
5,225,ETNP_100m_particle_PROKKA_129096,211.68,71,29,3,,12780,hypothetical protein
12,48,ETNP_100m_PROKKA_57551,211.53,55,23,4,,29257,Photosystem II manganese-stabilizing polypeptide precursor
7,234,ETNP_140m_PROKKA_125786,209.30,69,27,1,,12752,hypothetical protein
7,235,ETNP_110m_PROKKA_26060,209.30,69,27,1,,12752,hypothetical protein
7,236,ETNP_100m_particle_PROKKA_13293,209.30,69,27,1,,12752,hypothetical protein
7,237,NP_85m_PROKKA_07695,209.30,69,27,1,,12752,hypothetical protein
7,238,ETNP14_68maa_PROKKA_115320,209.30,69,27,1,,12752,hypothetical protein
7,239,ETNP_90m_PROKKA_180048,209.30,69,27,1,,12752,hypothetical protein
4,101,ETNP14_68maa_PROKKA_166963,205.46,78,21,0,,15623,Photosystem I reaction center subunit II
3,102,ETNP_90m_PROKKA_24349,205.07,78,21,0,,15726,Photosystem I reaction center subunit II
16,399,ETNP_120m_free_PROKKA_147965,201.68,43,17,17,,17863,C-phycoerythrin class 1 subunit alpha
16,400,ETNP_140m_PROKKA_48972,201.68,43,17,17,,17863,C-phycoerythrin class 1 subunit alpha
16,401,ETNP_100m_particle_PROKKA_112482,201.68,43,17,17,,17863,C-phycoerythrin class 1 subunit alpha
16,402,ETNP_120m_PROKKA_239032,201.68,43,17,17,,17863,C-phycoerythrin class 1 subunit alpha
34,376,ETNP_90m_PROKKA_168214,200.79,76,18,0,,11111,Photosystem II 12 kDa extrinsic protein
34,377,ETNP_100m_PROKKA_52245,200.79,65,18,0,,13052,Photosystem II 12 kDa extrinsic protein precursor
34,378,ETNP_120m_PROKKA_24357,200.79,65,18,0,,13052,Photosystem II 12 kDa extrinsic protein precursor
34,379,ETNP_140m_PROKKA_164346,200.79,65,18,0,,13052,Photosystem II 12 kDa extrinsic protein precursor
74,279,ETNP_120m_PROKKA_239027,196.65,35,15,15,,31773,Phycoerythrin class 2 subunit gamma  linker polypeptide
74,280,ETNP_100m_particle_PROKKA_144422,196.65,35,15,15,,31773,Phycoerythrin class 2 subunit gamma  linker polypeptide
13,173,WP_036911259,195.21,72,17,1,,15782,photosystem I reaction center subunit II Prochlorococcus
13,174,WP_011131077,195.21,72,17,1,,15752,photosystem I protein PsaD Prochlorococcus marinus
13,175,ETNP_120m_free_PROKKA_147575,195.21,72,17,1,,15782,Photosystem I reaction center subunit II
8,1612,ETNP_100m_particle_PROKKA_00069,194.48,87,24,24,,5311,hypothetical protein
28,47,ETNP_100m_particle_PROKKA_120141,192.74,34,12,2,,51643,Glutamine synthetase
10,1,ETNP_90m_PROKKA_150918,186.82,50,26,1,,57387,60 kDa chaperonin 1
10,2,ETNP_120m_PROKKA_272804,186.82,50,26,1,,57387,60 kDa chaperonin 1
22,44,ETNP_160m_PROKKA_28050,185.75,39,17,5,,43606,Elongation factor Tu
22,45,NP_85m_PROKKA_06676,185.75,39,17,5,,43606,Elongation factor Tu
22,46,ETNP14_68maa_PROKKA_112391,185.75,39,17,5,,43606,Elongation factor Tu
15,296,ETNP_90m_PROKKA_30580,185.72,84,15,2,,10552,Major carboxysome shell protein 1A
15,297,ETNP_120m_PROKKA_20159,185.72,84,15,2,,10552,Major carboxysome shell protein 1A
15,298,ETNP_100m_PROKKA_47359,185.72,84,15,2,,10552,Major carboxysome shell protein 1A
15,299,ETNP_160m_PROKKA_02087,185.72,84,15,2,,10552,Major carboxysome shell protein 1A
15,300,ETNP14_68maa_PROKKA_134414,185.72,84,15,2,,10552,Major carboxysome shell protein 1A
15,303,ETNP_110m_PROKKA_33158,185.72,84,15,2,,10552,Major carboxysome shell protein 1A
11,3,ETNP_100m_PROKKA_21902,185.04,50,26,1,,57358,60 kDa chaperonin 1
11,4,ETNP_90m_PROKKA_165095,185.04,50,26,1,,57358,60 kDa chaperonin 1
58,655,ETNP_110m_PROKKA_45826,184.88,54,13,1,,13042,Photosystem II 12 kDa extrinsic protein precursor
58,656,ETNP_160m_PROKKA_83311,184.88,54,13,1,,13076,Photosystem II 12 kDa extrinsic protein precursor
31,27,ETNP_120m_PROKKA_108746,184.30,34,18,4,,53875,ATP synthase subunit alpha
17,301,ETNP_100m_particle_PROKKA_26451,183.94,84,15,2,,10550,Major carboxysome shell protein 1A
17,302,ETNP_90m_PROKKA_04314,183.94,84,15,2,,10550,Major carboxysome shell protein 1A
33,540,NP_85m_PROKKA_09264,182.91,7,10,7,,83226,Photosystem I P700 chlorophyll a apoprotein A2
33,484,WP_036912722,182.91,7,10,7,,83193,photosystem I P700 chlorophyll a apoprotein A2 Prochlorococcus
33,539,ETNP_100m_particle_PROKKA_06251,182.91,7,10,7,,81826,Photosystem I P700 chlorophyll a apoprotein A2
40,21,ETNP_90m_PROKKA_107184,181.30,57,15,1,,33742,ATP synthase subunit beta
35,31,ETNP_90m_PROKKA_94806,178.25,30,16,3,,50481,Photosystem II 44 kDa reaction center protein
35,32,ETNP_120m_PROKKA_123375,178.25,29,16,3,,52469,Photosystem II 44 kDa reaction center protein
43,569,WP_036913864,177.02,27,14,1,,29231,photosystem II manganese-stabilizing polypeptide Prochlorococcus
37,57,ETNP_100m_particle_PROKKA_87954,176.55,31,15,0,,44761,Photosystem II protein
23,304,WP_006169870,175.51,83,14,1,,10584,carbon dioxide-concentrating mechanism protein CcmK Cyanobacteria
24,305,WP_011825471,174.81,84,14,1,,10570,carbon dioxide-concentrating mechanism protein CcmK Prochlorococcus
39,85,WP_011129980,174.43,23,10,2,,52689,glutamine synthetase Prochlorococcus marinus
39,78,WP_036915357,174.43,23,10,2,,52679,glutamine synthetase Prochlorococcus sp MIT 0701
54,108,ETNP_90m_PROKKA_63045,174.16,32,14,1,,47219,Aliphatic amidase expression-regulating protein
54,109,ETNP_100m_particle_PROKKA_69298,174.16,32,14,1,,47252,Aliphatic amidase expression-regulating protein
54,110,ETNP_120m_PROKKA_51380,174.16,32,14,1,,47218,Aliphatic amidase expression-regulating protein
21,310,ETNP14_68maa_PROKKA_66725,172.92,84,15,2,,10527,Major carboxysome shell protein 1A
20,419,ETNP_90m_PROKKA_61191,172.87,54,20,5,,9826,DNA-binding protein HU
20,420,ETNP_160m_PROKKA_172610,172.87,54,20,5,,9826,DNA-binding protein HU
20,466,ETNP14_68mB_PROKKA_59190,172.87,54,20,5,,9841,DNA-binding protein HU
20,421,ETNP_90m_PROKKA_53889,172.87,54,20,5,,9826,DNA-binding protein HU
20,422,ETNP_140m_PROKKA_151089,172.87,54,20,5,,9826,DNA-binding protein HU
20,423,WP_011295240,172.87,54,20,5,,9752,DNA-binding protein Prochlorococcus
20,424,WP_011130763,172.87,54,20,5,,9826,DNA-binding protein Prochlorococcus
20,425,ETNP_100m_PROKKA_47820,172.87,54,20,5,,9826,DNA-binding protein HU
20,426,ETNP_110m_PROKKA_13715,172.87,54,20,5,,9826,DNA-binding protein HU
25,311,ETNP_100m_PROKKA_67591,171.30,84,14,1,,10641,Major carboxysome shell protein 1A
25,312,ETNP_120m_PROKKA_226248,171.30,84,14,1,,10641,Major carboxysome shell protein 1A
25,313,ETNP_140m_PROKKA_36751,171.30,84,14,1,,10641,Major carboxysome shell protein 1A
25,314,ETNP_120m_free_PROKKA_177405,171.30,84,14,1,,10641,Major carboxysome shell protein 1A
25,315,ETNP_90m_PROKKA_99720,171.30,84,14,1,,10641,Major carboxysome shell protein 1A
