Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 369,Area 369,#Peptides,#Unique,#Spec 369,PTM,Avg. Mass,Description
1,2,54036848,164.89,9,9,4.11E8,13,13,39,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,34,NP_300,134.48,35,35,2.71E6,21,2,24,Carbamidomethylation; Oxidation (M),39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,100,ETNP_100,132.69,33,33,8.27E5,20,1,23,Oxidation (M),39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,101,ETNP_120,132.69,33,33,8.27E5,20,1,23,Oxidation (M),39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,54,ETNP_120,124.29,30,30,,15,0,18,,31075,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,55,ETNP_140,124.29,27,27,,15,0,18,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,1,|#CONTAM#TRYP_PIG|,121.41,53,53,3.83E8,16,16,23,Carbamidomethylation,24409,sp|#CONTAM#TRYP_PIG|
6,499,ETNP_110,121.13,32,32,,15,0,18,Oxidation (M),32534,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,501,NP_125,121.13,26,26,,15,0,18,Oxidation (M),39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,500,NP_85,121.13,26,26,,15,0,18,Oxidation (M),39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,502,ETNP_100,121.13,26,26,,15,0,18,Oxidation (M),39291,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,325,ETNP14_120,120.05,27,27,,14,0,17,Oxidation (M),39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,311,ETNP14_68,116.89,29,29,,16,0,17,Carbamidomethylation; Oxidation (M),39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
