Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja14-20170531,Area etnp-ja14-20170531,#Peptides,#Unique,#Spec etnp-ja14-20170531,PTM,Avg. Mass,Description
1,276240,54036848,198.41,11,11,5.2E8,17,13,57,Carbamylation; Dehydration; Sodium adduct; Ethyl amino; Deamidation (NQ); 6 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,276241,|#CONTAM#TRYP_PIG|,162.50,43,43,5.08E8,12,12,35,Carbamidomethylation; Oxidation (M); Dehydration; Ethylation; Deamidation (NQ); 3 more,24409,sp|#CONTAM#TRYP_PIG|
3,290260,NP_85,127.22,34,34,1.78E7,31,31,33,Carbamidomethylation; Oxidation (M); Oxidation (HW),49419,Selenate reductase subunit beta
3,290259,ETNP14_68,127.22,34,34,1.78E7,31,31,33,Carbamidomethylation; Oxidation (M); Oxidation (HW),49437,Selenate reductase subunit beta
3,66225,WP_018047899,127.22,34,34,1.78E7,31,31,33,Carbamidomethylation; Oxidation (M); Oxidation (HW),49419,hypothetical protein Nitrospina sp AB-629-B18
5,276252,NP_85,117.18,33,33,1.16E6,22,2,24,,36415,General L-amino acid-binding periplasmic protein AapJ precursor
4,66245,XP_003062500,113.11,20,20,1.87E6,19,9,20,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
4,66246,XP_003058621,113.11,20,20,1.87E6,19,9,20,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
4,66247,XP_003080933,113.11,19,19,1.87E6,19,9,20,Oxidation (M),52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
4,66248,XP_003082284,113.11,20,20,1.87E6,19,9,20,Oxidation (M),50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
9,276524,ETNP_120,112.53,19,19,7.47E6,14,14,17,Deamidation (NQ),39122,Chlorate reductase subunit gamma precursor
6,276337,NP_100,111.41,27,27,,19,0,21,,35769,General L-amino acid-binding periplasmic protein AapJ precursor
6,317277,ETNP_120,111.41,26,26,2.16E4,19,1,21,,36943,General L-amino acid-binding periplasmic protein AapJ precursor
6,276345,SAR11,111.41,25,25,2.16E4,19,1,21,,38010,Putative amino-acid ABC transporter-binding protein YhdW
6,276346,SAR11,111.41,25,25,2.16E4,19,1,21,,38368,Putative amino-acid ABC transporter-binding protein YhdW
6,290208,ETNP14_120,111.41,42,42,2.16E4,19,1,21,,22868,General L-amino acid-binding periplasmic protein AapJ precursor
6,276342,SAR11,110.62,47,47,,18,0,20,,19721,Putative amino-acid ABC transporter-binding protein YhdW
6,340703,ETNP_150,111.41,42,42,2.16E4,19,1,21,,22939,General L-amino acid-binding periplasmic protein AapJ precursor
6,276339,ETNP14_120,110.38,24,24,,18,0,20,,37703,General L-amino acid-binding periplasmic protein AapJ precursor
