Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_2,Area RAL95_trypsin_MED_2,#Peptides,#Unique,#Spec RAL95_trypsin_MED_2,PTM,Avg. Mass,Description
1,9880,PMM1436,405.51,93,93,5.13E10,182,181,1307,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),57441,| groEL | chaperonin GroEL
3,10366,PMM0452,319.32,66,66,7.83E9,62,61,251,Carbamidomethylation; Oxidation (M); Deamidation (NQ),61441,| groEL | chaperonin GroEL
4,12773,PMM0228,310.65,82,82,4.22E9,49,49,171,Carbamidomethylation; Oxidation (M); Deamidation (NQ),28114,| psbO | photosystem II manganese-stabilizing protein
13,9877,PMM1485,307.01,56,56,1.14E9,54,53,110,Carbamidomethylation; Oxidation (M),122908,| rpoB | DNA-directed RNA polymerase subunit beta
7,12780,PMM0901,304.64,66,66,2.58E9,52,50,145,Carbamidomethylation; Oxidation (M); Deamidation (NQ),72552,| htpG | heat shock protein 90
5,9777,PMM1704,299.18,69,69,3.87E9,42,42,166,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68244,| dnaK | molecular chaperone DnaK
14,10439,PMM0710,298.99,67,67,2.15E9,59,59,101,Oxidation (M),33887,| PMM0710 | ABC transporter  substrate binding protein  phosphate
6,16009,PMM0642,291.96,85,85,5.5E9,37,37,164,Carbamidomethylation; Oxidation (M); Deamidation (NQ),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase
15,10413,PMM1483,290.07,53,53,1.12E9,57,57,107,Carbamidomethylation; Oxidation (M); Deamidation (NQ),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta'
11,16035,PMM0315,280.90,42,42,2.86E9,35,35,121,Deamidation (NQ),56091,| psbB | photosystem II PsbB protein (CP47)
27,16061,PMM0583,269.86,51,51,6.9E8,25,25,72,Oxidation (M),38974,| hemE | uroporphyrinogen decarboxylase
18,10505,PMM1309,268.25,72,72,2.2E9,25,25,91,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39151,| ftsZ | cell division protein FtsZ
9,10114,PMM1508,266.81,76,76,2.95E9,40,40,133,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),43622,| tuf | elongation factor Tu
21,12807,PMM1264,265.99,48,48,8.99E8,39,35,84,Carbamidomethylation; Oxidation (M),67227,| ftsH3 | cell division protein FtsH3
8,16023,PMM0407,264.81,81,81,2.3E9,28,28,143,Carbamidomethylation; Oxidation (M); Deamidation (NQ),34981,| cysK1 | O-acetylserine (thiol)-lyase A
