Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 2: 272 4-19_965m_top+p-plusBSA,Area Sample 2: 272 4-19_965m_top+p-plusBSA,#Peptides,#Unique,#Spec Sample 2: 272 4-19_965m_top+p-plusBSA,PTM,Avg. Mass,Description
1,2,CAA76847.1,495.75,95,95,2.25E10,1206,1204,2195,Carbamidomethylation; Oxidation (M),69324,bovine serum albumin [Bos taurus]
2,1,54036848,229.40,11,11,1.09E9,13,8,53,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
6,8265,ETNP_70,131.68,17,17,4.26E6,11,4,12,Oxidation (M),41848,Bacterial actin-related protein
3,4,XP_003061104,128.81,25,25,2.26E6,21,3,23,Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
4,5,WP_023559773,107.76,4,4,0E0,6,1,21,,95439,protein disaggregation chaperone Alteromonas mediterranea
19,17446,WP_012519826,101.57,15,15,5.34E5,7,1,7,Carbamidomethylation,43224,elongation factor Tu Alteromonas mediterranea
19,17447,ETNP14_120,101.57,15,15,5.34E5,7,1,7,Carbamidomethylation,43251,Elongation factor Tu
5,17445,ETNP_100,100.43,61,61,3.25E6,14,6,15,,14624,Tubulin/FtsZ family  GTPase domain
7,2746,XP_003062500,99.89,21,21,6.24E6,11,9,11,Carbamidomethylation,49730,alpha tubulin  Micromonas pusilla CCMP1545
7,2747,XP_003058621,99.89,21,21,6.24E6,11,9,11,Carbamidomethylation,49730,alpha tubulin  Micromonas pusilla CCMP1545
21,17449,ETNP_90,97.61,13,13,,6,0,6,Carbamidomethylation,43463,Elongation factor Tu
28,17497,NP_30,97.14,12,12,3.19E6,6,6,6,,24555,Malate dehydrogenase
28,17500,ETNP_180,97.14,21,21,3.19E6,6,6,6,,14750,Malate dehydrogenase
28,17501,ETNP_120,97.14,21,21,3.19E6,6,6,6,,14754,Malate dehydrogenase
28,17502,ETNP_100,97.14,14,14,3.19E6,6,6,6,,21500,Malate dehydrogenase
28,17503,NP_300,97.14,9,9,3.19E6,6,6,6,,31989,Malate dehydrogenase
28,17504,NP_100,97.14,9,9,3.19E6,6,6,6,,32060,Malate dehydrogenase
28,17505,ETNP14_120,97.14,9,9,3.19E6,6,6,6,,32064,Malate dehydrogenase
28,17506,ETNP14_120,97.14,9,9,3.19E6,6,6,6,,32162,Malate dehydrogenase
28,17507,ETNP14_120,97.14,9,9,3.19E6,6,6,6,,32168,Malate dehydrogenase
28,17508,Fosmid_PROKKA_00393,97.14,9,9,3.19E6,6,6,6,,32061,Malate dehydrogenase
28,17509,WP_011217182.1,97.14,9,9,3.19E6,6,6,6,,32293,malate dehydrogenase [Photobacterium profundum]
28,17510,ETNP14_120,97.14,9,9,3.19E6,6,6,6,,32612,Malate dehydrogenase
28,17511,ETNP14_120,97.14,26,26,3.19E6,6,6,6,,11698,Malate dehydrogenase
28,17512,NP_300,97.14,26,26,3.19E6,6,6,6,,11573,Malate dehydrogenase
28,17513,ETNP14_68,97.14,15,15,3.19E6,6,6,6,,21129,Malate dehydrogenase
28,17514,ETNP14_120,97.14,13,13,3.19E6,6,6,6,,24002,Malate dehydrogenase
28,17515,ETNP14_120,97.14,12,12,3.19E6,6,6,6,,24617,Malate dehydrogenase
28,17516,ETNP14_120,97.14,9,9,3.19E6,6,6,6,,32385,Malate dehydrogenase
28,17517,ETNP_100,97.14,9,9,3.19E6,6,6,6,,32399,Malate dehydrogenase
24,17455,WP_011219964.1,92.98,12,12,,6,0,6,Carbamidomethylation,43220,elongation factor Tu [Photobacterium profundum]
13,17579,WP_011784398,92.84,3,3,8.69E5,4,1,10,,95531,chaperone protein ClpB Marinobacter hydrocarbonoclasticus
26,17461,ETNP14_120,92.49,12,12,,6,0,6,Carbamidomethylation,43498,Elongation factor Tu
23,17450,WP_011467412.1,92.40,14,14,,6,0,6,Carbamidomethylation,44287,elongation factor Tu [Saccharophagus degradans]
8,17477,CAG21909.1,91.71,49,49,4.79E6,11,4,11,,8594,putative Cold shock-like protein [Photobacterium profundum SS9]
10,17481,XP_003074279,89.55,11,11,1.58E5,9,1,10,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
27,17448,NP_30,89.05,13,13,,6,0,6,Carbamidomethylation,42901,Elongation factor Tu
33,17459,ETNP14_68,87.56,12,12,6.25E4,5,1,5,Carbamidomethylation,43386,Elongation factor Tu
33,17460,ETNP14_120,87.56,12,12,6.25E4,5,1,5,Carbamidomethylation,43386,Elongation factor Tu
25,17492,ETNP_160,87.16,14,14,9.9E5,6,1,6,Carbamidomethylation,43564,Elongation factor Tu
25,17493,ETNP_120,87.16,14,14,9.9E5,6,1,6,Carbamidomethylation,43564,Elongation factor Tu
9,8289,ETNP14_120,84.32,3,3,4.37E6,5,2,11,,98294,Chaperone protein ClpB 1
17,17486,WP_006231982.1,83.68,36,36,2.23E5,8,1,8,,7426,cold-shock protein [Photobacterium profundum]
22,17451,ETNP_90,83.47,12,12,6.83E5,6,1,6,Carbamidomethylation,43421,Elongation factor Tu
22,17452,CAI87946.1,83.47,12,12,6.83E5,6,1,6,Carbamidomethylation,43281,protein chain elongation factor EF-Tu; possible GTP-binding factor (duplicate of tufA) [Pseudoalteromonas haloplanktis TAC125]
11,38,XP_002183424,82.33,14,14,2.91E6,9,1,10,Oxidation (M),41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
11,39,XP_002183295,82.33,14,14,2.91E6,9,1,10,Oxidation (M),41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
11,40,XP_002182221,82.33,14,14,2.91E6,9,1,10,Oxidation (M),41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
32,17464,ABA58784.1,82.05,10,10,,5,0,5,Carbamidomethylation,43674,Translation elongation factor Tu [Nitrosococcus oceani ATCC 19707]
32,17465,ABA58796.1,82.05,10,10,,5,0,5,Carbamidomethylation,43674,translation elongation factor 1A (EF-1A/EF-Tu) [Nitrosococcus oceani ATCC 19707]
32,17466,NP_85,82.05,10,10,,5,0,5,Carbamidomethylation,43465,Elongation factor Tu
32,17467,NP_125,82.05,10,10,,5,0,5,Carbamidomethylation,43465,Elongation factor Tu
32,17468,NP_300,82.05,10,10,,5,0,5,Carbamidomethylation,43409,Elongation factor Tu
15,37,ABS63370.1,81.43,2,2,0E0,4,1,10,,96684,ATPase AAA-2 domain protein [Parvibaculum lavamentivorans DS-1]
14,8271,WP_001210050,81.36,3,3,4.56E5,4,1,10,,95142,chaperone protein ClpB Acinetobacter baumannii
14,8272,ADI91587.1,81.36,3,3,4.56E5,4,1,10,,95233,ATP-dependent chaperone ClpB [Acinetobacter oleivorans DR1]
16,17648,ACS36887.1,81.27,2,2,5.05E5,4,1,10,,93723,ATP-dependent clp protease ATP-binding subunit (chloroplast) [Aureococcus anophagefferens]
12,2735,ETNP_90,81.04,17,17,2.88E5,9,1,10,,33070,Bacterial actin-related protein
35,17462,WP_007230939,75.44,11,11,,5,0,5,Carbamidomethylation,44639,elongation factor Tu gamma proteobacterium HTCC2207
37,17471,ETNP14_68,73.96,12,12,,5,0,5,Carbamidomethylation,42832,Elongation factor Tu
37,17472,ETNP_100,73.96,12,12,,5,0,5,Carbamidomethylation,42803,Elongation factor Tu
37,17473,ETNP14_68,73.96,12,12,,5,0,5,Carbamidomethylation,42803,Elongation factor Tu
34,17487,ADI92491.1,73.39,12,12,,5,0,5,Carbamidomethylation,42881,elongation factor Tu [Acinetobacter oleivorans DR1]
34,17488,ETNP_100,73.39,12,12,,5,0,5,Carbamidomethylation,42798,Elongation factor Tu
34,17489,ADI91961.1,73.39,12,12,,5,0,5,Carbamidomethylation,42881,elongation factor Tu [Acinetobacter oleivorans DR1]
34,17490,ETNP_120,73.39,12,12,,5,0,5,Carbamidomethylation,42798,Elongation factor Tu
36,17588,ETNP_150,71.04,67,67,,4,0,5,Carbamidomethylation,4626,Tubulin/FtsZ family  GTPase domain
29,17551,XP_002185730,68.27,6,6,9.12E5,4,2,5,Carbamidomethylation,49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
18,17542,XP_003056479,67.30,9,9,2.58E5,7,1,7,,49615,beta tubulin  Micromonas pusilla CCMP1545
77,17560,WP_011467413.1,65.69,3,3,4.88E5,2,2,2,,76678,elongation factor G [Saccharophagus degradans]
77,17561,WP_011217975.1,65.69,3,3,4.88E5,2,2,2,,75816,elongation factor G [Photobacterium profundum]
77,17564,ETNP_160,65.69,3,3,4.88E5,2,2,2,,77114,Elongation factor G 1
77,17577,ETNP_180,65.69,3,3,4.88E5,2,2,2,,75867,Elongation factor G 1
77,17578,ETNP_120,65.69,3,3,4.88E5,2,2,2,,75851,Elongation factor G 1
40,17543,XP_002180656,59.52,8,8,8.44E5,4,2,4,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
120,17622,WP_011219211.1,58.11,13,13,7.17E5,2,2,2,,18750,peptidoglycan-associated lipoprotein [Photobacterium profundum]
