Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,ph,par,scan,nbin,flag
66.0,2017-01-08 20:54:16,65.59899999999999,16.51282,-107.13868000000001,19.6612,19.6455,19.6492,34.5875,34.5981,1024.8243,24.5357,0.55176,35.958,227.53746,0.1512,96.2895,0.0345,0.0398,-2.533,13.129000000000001,4843.0,50.0,False
67.0,2017-01-08 20:54:16,66.593,16.51282,-107.13868000000001,19.4252,19.4197,19.4131,34.5995,34.6072,1024.8992,24.606,0.56506,24.351999999999997,228.49902000000003,0.1515,96.2833,0.0347,0.0396,-2.541,12.069,4893.0,50.0,False
68.0,2017-01-08 20:54:16,67.586,16.51282,-107.13868000000001,19.255,19.2527,19.2428,34.6073,34.6142,1024.9534,24.6558,0.5321899999999999,18.35,229.19806,0.1578,96.1303,0.0347,0.0398,-2.5469999999999997,11.164000000000001,4941.0,38.0,False
69.0,2017-01-08 20:54:16,68.58,16.51282,-107.13868000000001,19.2221,19.2225,19.2097,34.6048,34.6124,1024.9644,24.6623,0.5251899999999999,15.579,229.34024,0.1515,96.284,0.0346,0.0397,-2.548,10.341,4980.0,38.0,False
70.0,2017-01-08 20:54:16,69.574,16.51282,-107.13868000000001,19.1326,19.1349,19.1201,34.6118,34.6187,1024.9971,24.6906,0.5735399999999999,14.242,229.70552999999998,0.1557,96.1823,0.0345,0.0397,-2.551,9.4669,5029.0,67.0,False
71.0,2017-01-08 20:54:16,70.568,16.51282,-107.13868000000001,18.8448,18.8548,18.8323,34.6228,34.6271,1025.0834,24.7723,0.49973,12.254000000000001,230.90673999999999,0.1575,96.1385,0.0347,0.0398,-2.56,8.8135,5094.0,41.0,False
72.0,2017-01-08 20:54:16,71.561,16.51282,-107.13868000000001,18.4308,18.4328,18.4183,34.6477,34.6549,1025.2113,24.8954,0.42421000000000003,9.728,232.64191,0.1543,96.2155,0.0346,0.0397,-2.574,8.1568,5129.0,33.0,False
73.0,2017-01-08 20:54:16,72.555,16.51282,-107.13868000000001,18.0036,17.9979,17.9912,34.6787,34.6861,1025.3457,25.0251,0.40044,5.635,234.44957999999997,0.1579,96.1293,0.0346,0.0398,-2.588,7.4425,5166.0,45.0,False
74.0,2017-01-08 20:54:16,73.54899999999999,16.51282,-107.13868000000001,17.8015,17.8051,17.789,34.6836,34.6913,1025.4037,25.0784,0.40551,2.965,235.32878,0.1494,96.3334,0.0346,0.0396,-2.594,6.8027,5229.0,70.0,False
75.0,2017-01-08 20:54:16,74.543,16.51282,-107.13868000000001,17.7318,17.7301,17.7191,34.6831,34.6908,1025.4247,25.095,0.32239,3.089,235.63764,0.1399,96.5625,0.0345,0.0395,-2.597,6.2986,5284.0,43.0,False
76.0,2017-01-08 20:54:16,75.536,16.51282,-107.13868000000001,17.6717,17.6709,17.6589,34.685,34.6924,1025.4453,25.1111,0.30254000000000003,2.7319999999999998,235.90039,0.1366,96.6425,0.0344,0.0394,-2.5980000000000003,5.8469,5324.0,40.0,False
77.0,2017-01-08 20:54:16,76.53,16.51282,-107.13868000000001,17.5948,17.5943,17.5819,34.6878,34.6955,1025.4705,25.1319,0.273,2.391,236.23712,0.136,96.6574,0.0344,0.0394,-2.6010000000000004,5.4198,5365.0,43.0,False
78.0,2017-01-08 20:54:16,77.524,16.51282,-107.13868000000001,17.4673,17.4672,17.4542,34.6942,34.7026,1025.5108,25.1677,0.26924000000000003,1.985,236.79505,0.1311,96.7748,0.0343,0.0391,-2.605,5.0295,5413.0,54.0,False
79.0,2017-01-08 20:54:16,78.517,16.51282,-107.13868000000001,17.1643,17.1618,17.1512,34.7151,34.7229,1025.6044,25.2565,0.20935,1.807,238.12087999999997,0.1288,96.8316,0.0342,0.0392,-2.615,4.6811,5470.0,54.0,False
80.0,2017-01-08 20:54:16,79.51100000000001,16.51282,-107.13868000000001,17.0671,17.0659,17.0539,34.721,34.7291,1025.6366,25.2841,0.17404,1.751,238.5499,0.1231,96.9688,0.0343,0.0391,-2.6189999999999998,4.344,5521.0,48.0,False
81.0,2017-01-08 20:54:16,80.505,16.51282,-107.13868000000001,17.0257,17.0254,17.0124,34.7224,34.7304,1025.652,25.2951,0.1457,1.6569999999999998,238.735,0.1233,96.9646,0.0344,0.0391,-2.62,4.059,5568.0,46.0,False
82.0,2017-01-08 20:54:16,81.499,16.51282,-107.13868000000001,16.9447,16.9434,16.9313,34.7279,34.7359,1025.6798,25.3185,0.11977,1.655,239.09396,0.1206,97.0294,0.0343,0.0391,-2.623,3.7838,5610.0,42.0,False
83.0,2017-01-08 20:54:16,82.492,16.51282,-107.13868000000001,16.8047,16.8007,16.7912,34.7334,34.7423,1025.7217,25.3558,0.13685,1.626,239.72312000000002,0.1202,97.0391,0.0342,0.0388,-2.627,3.5322,5654.0,44.0,False
84.0,2017-01-08 20:54:16,83.486,16.51282,-107.13868000000001,16.6616,16.6578,16.648,34.7402,34.7494,1025.7652,25.3946,0.14429,1.46,240.36746000000002,0.1196,97.0534,0.0342,0.0386,-2.6319999999999997,3.3068,5704.0,56.0,False
85.0,2017-01-08 20:54:16,84.48,16.51282,-107.13868000000001,16.4777,16.4743,16.464,34.7452,34.7538,1025.8166,25.4414,0.15270999999999998,1.358,241.20707000000002,0.1208,97.0247,0.0342,0.0386,-2.638,3.0841,5764.0,57.0,False
