Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,par,scan,nbin,flag
76.0,2017-01-10 14:03:42,75.536,16.54058,-107.06558000000001,19.6727,19.6745,19.6589,34.5692,34.5761,1024.851,24.5188,0.42653,26.453000000000003,227.51689,0.147,96.392,0.52194,5399.0,36.0,False
77.0,2017-01-10 14:03:42,76.53,16.54058,-107.06558000000001,19.5827,19.5834,19.5688,34.5699,34.5771,1024.8793,24.5427,0.44343999999999995,24.473000000000003,227.88889,0.1474,96.3824,0.47725,5439.0,45.0,False
78.0,2017-01-10 14:03:42,77.524,16.54058,-107.06558000000001,19.2874,19.286,19.2734,34.589,34.5945,1024.9749,24.6335,0.42962,23.38,229.09125,0.1462,96.4106,0.43759,5485.0,46.0,False
79.0,2017-01-10 14:03:42,78.517,16.54058,-107.06558000000001,19.0812,19.0777,19.0672,34.6008,34.6132,1025.0412,24.6953,0.42418,17.984,229.93927000000002,0.1455,96.4289,0.40374,5535.0,55.0,False
80.0,2017-01-10 14:03:42,79.51100000000001,16.54058,-107.06558000000001,18.8419,18.8479,18.8278,34.6208,34.652,1025.122,24.7715,0.41655,14.339,230.9217,0.144,96.4651,0.37181,5603.0,71.0,False
81.0,2017-01-10 14:03:42,80.505,16.54058,-107.06558000000001,18.7754,18.7748,18.7611,34.6028,34.6097,1025.1296,24.7746,0.37079,12.671,231.2329,0.143,96.4877,0.34626999999999997,5657.0,36.0,False
82.0,2017-01-10 14:03:42,81.498,16.54058,-107.06558000000001,18.6202,18.6183,18.6058,34.6168,34.6263,1025.1839,24.8244,0.36246,12.171,231.87482000000003,0.1474,96.3824,0.32368,5687.0,29.0,False
83.0,2017-01-10 14:03:42,82.492,16.54058,-107.06558000000001,18.4298,18.4286,18.4154,34.6358,34.6446,1025.2507,24.8866,0.37259000000000003,10.911,232.66428,0.1482,96.3636,0.30219,5717.0,33.0,False
84.0,2017-01-10 14:03:42,83.486,16.54058,-107.06558000000001,18.3557,18.3789,18.3412,34.6449,34.6522,1025.2805,24.9119,0.46936000000000005,5.584,232.97082999999998,0.1453,96.4323,0.28095,5777.0,87.0,False
85.0,2017-01-10 14:03:42,84.48,16.54058,-107.06558000000001,17.9139,17.9366,17.8995,34.6713,34.67,1025.4149,25.0414,0.33843,7.191,234.85387000000003,0.1426,96.4976,0.26321,5849.0,41.0,False
86.0,2017-01-10 14:03:42,85.473,16.54058,-107.06558000000001,17.6033,17.6011,17.5888,34.6822,34.6916,1025.5038,25.1256,0.27808,4.458,236.20855,0.1392,96.58,0.24506999999999998,5879.0,26.0,False
87.0,2017-01-10 14:03:42,86.46700000000001,16.54058,-107.06558000000001,17.5509,17.5516,17.5363,34.6839,34.6921,1025.5223,25.1396,0.29143,2.656,236.43833999999998,0.1366,96.6433,0.2276,5906.0,29.0,False
88.0,2017-01-10 14:03:42,87.461,16.54058,-107.06558000000001,17.6168,17.6238,17.602,34.6747,34.6831,1025.5035,25.1165,0.37622,2.6239999999999997,236.16067999999999,0.1385,96.5965,0.2086,5983.0,123.0,False
89.0,2017-01-10 14:03:42,88.454,16.54058,-107.06558000000001,17.4746,17.459,17.4597,34.6795,34.6895,1025.5462,25.1547,0.28292,2.614,236.78596000000002,0.1391,96.5829,0.19795,6060.0,29.0,False
90.0,2017-01-10 14:03:42,89.448,16.54058,-107.06558000000001,17.2865,17.281,17.2715,34.7036,34.7128,1025.6146,25.2184,0.17994000000000002,2.903,237.58932000000001,0.1364,96.6477,0.18614,6085.0,24.0,False
91.0,2017-01-10 14:03:42,90.441,16.54058,-107.06558000000001,16.9537,16.95,16.9388,34.7277,34.7362,1025.7171,25.3161,0.14078,2.657,239.05424,0.1371,96.631,0.17415,6109.0,25.0,False
92.0,2017-01-10 14:03:42,91.435,16.54058,-107.06558000000001,16.7447,16.7448,16.7298,34.742,34.7498,1025.7822,25.3765,0.14775,1.903,239.9836,0.1257,96.9075,0.162,6139.0,36.0,False
93.0,2017-01-10 14:03:42,92.429,16.54058,-107.06558000000001,16.8357,16.7999,16.8206,34.7354,34.7385,1025.7598,25.3499,0.24656999999999998,1.426,239.57996,0.1265,96.888,0.15119000000000002,6205.0,98.0,False
94.0,2017-01-10 14:03:42,93.42200000000001,16.54058,-107.06558000000001,16.6361,16.5415,16.6209,34.7354,34.7552,1025.8115,25.3969,0.1936,1.524,240.49407000000002,0.1292,96.8224,0.14317,6298.0,64.0,False
95.0,2017-01-10 14:03:42,94.416,16.54058,-107.06558000000001,16.3893,16.3913,16.374,34.7537,34.7609,1025.8879,25.4685,0.13804,1.3230000000000002,241.60154,0.1247,96.931,0.13579000000000002,6339.0,33.0,False
96.0,2017-01-10 14:03:42,95.40899999999999,16.54058,-107.06558000000001,16.2742,16.272,16.2589,34.7529,34.7604,1025.9184,25.4945,0.16516,1.288,242.13808999999998,0.1265,96.8868,0.12813,6364.0,22.0,False
97.0,2017-01-10 14:03:42,96.40299999999999,16.54058,-107.06558000000001,16.1663,16.1654,16.1509,34.7516,34.7594,1025.9469,25.5184,0.21636999999999998,1.264,242.64372000000003,0.1295,96.8135,0.12074000000000001,6386.0,24.0,False
98.0,2017-01-10 14:03:42,97.397,16.54058,-107.06558000000001,16.1746,16.1708,16.1591,34.7508,34.7593,1025.9488,25.5159,0.21994,1.14,242.60594,0.1322,96.749,0.11319000000000001,6436.0,103.0,False
99.0,2017-01-10 14:03:42,98.39,16.54058,-107.06558000000001,16.1759,16.1736,16.1602,34.7433,34.7522,1025.9471,25.5098,0.20451,0.937,242.6126,0.128,96.8494,0.10669000000000001,6557.0,59.0,False
100.0,2017-01-10 14:03:42,99.384,16.54058,-107.06558000000001,15.9663,15.9655,15.9506,34.7512,34.7595,1026.0059,25.5639,0.24155,0.912,243.58256,0.1329,96.7327,0.10128999999999999,6583.0,30.0,False
101.0,2017-01-10 14:03:42,100.37799999999999,16.54058,-107.06558000000001,15.9222,15.9225,15.9064,34.7522,34.7603,1026.0212,25.5747,0.27131,1.014,243.78876,0.1319,96.7563,0.095523,6610.0,24.0,False
102.0,2017-01-10 14:03:42,101.37100000000001,16.54058,-107.06558000000001,15.8871,15.8879,15.8711,34.7542,34.7626,1026.0352,25.5843,0.26626,0.894,243.95121,0.1319,96.7568,0.090416,6635.0,25.0,False
103.0,2017-01-10 14:03:42,102.365,16.54058,-107.06558000000001,15.824,15.823,15.8079,34.7612,34.7697,1026.0594,25.6039,0.27041,0.904,244.23802999999998,0.1314,96.7684,0.08457200000000001,6662.0,33.0,False
104.0,2017-01-10 14:03:42,103.35799999999999,16.54058,-107.06558000000001,15.8791,15.8731,15.8628,34.7543,34.7625,1026.0459,25.5861,0.28976999999999997,0.804,243.98875,0.1314,96.7699,0.078769,6756.0,125.0,False
105.0,2017-01-10 14:03:42,104.352,16.54058,-107.06558000000001,15.7418,15.6798,15.7255,34.7513,34.7638,1026.0794,25.6149,0.27963000000000005,0.8009999999999999,244.64468,0.1309,96.7814,0.075533,6822.0,25.0,False
106.0,2017-01-10 14:03:42,105.346,16.54058,-107.06558000000001,15.5636,15.5635,15.5472,34.7547,34.7624,1026.1269,25.6577,0.32768,0.797,245.48737000000003,0.1333,96.7219,0.071139,6842.0,22.0,False
107.0,2017-01-10 14:03:42,106.339,16.54058,-107.06558000000001,15.4766,15.4741,15.4601,34.7578,34.7649,1026.1533,25.6796,0.32291,0.8079999999999999,245.89876,0.1356,96.6659,0.067468,6862.0,20.0,False
108.0,2017-01-10 14:03:42,107.333,16.54058,-107.06558000000001,15.3561,15.3491,15.3395,34.7427,34.7488,1026.1733,25.6949,0.42488000000000004,0.848,246.50365,0.1386,96.5951,0.063684,6882.0,19.0,False
109.0,2017-01-10 14:03:42,108.32600000000001,16.54058,-107.06558000000001,15.2774,15.274,15.2608,34.7325,34.7403,1026.1874,25.7045,0.47813,0.915,246.90041000000002,0.1437,96.4719,0.059792,6902.0,21.0,False
110.0,2017-01-10 14:03:42,109.32,16.54058,-107.06558000000001,15.1399,15.1388,15.1233,34.7279,34.7374,1026.2189,25.7313,0.5272600000000001,0.914,247.5745,0.1468,96.3959,0.056266,6925.0,26.0,False
111.0,2017-01-10 14:03:42,110.31299999999999,16.54058,-107.06558000000001,14.9752,14.9719,14.9585,34.7435,34.7531,1026.2719,25.7796,0.59343,0.977,248.35022,0.149,96.3445,0.052579999999999995,6958.0,42.0,False
112.0,2017-01-10 14:03:42,111.307,16.54058,-107.06558000000001,14.9558,14.9075,14.939,34.7408,34.7691,1026.2784,25.7817,0.67255,0.828,248.45042,0.1494,96.3333,0.049149,7011.0,56.0,False
113.0,2017-01-10 14:03:42,112.3,16.54058,-107.06558000000001,14.8199,14.8205,14.803,34.7483,34.7558,1026.3186,25.8172,0.57781,0.774,249.10279,0.1502,96.3138,0.046589,7054.0,31.0,False
114.0,2017-01-10 14:03:42,113.294,16.54058,-107.06558000000001,14.751,14.7489,14.734,34.7518,34.7601,1026.3409,25.8349,0.54462,0.7859999999999999,249.43554,0.1506,96.3062,0.043855,7078.0,20.0,False
115.0,2017-01-10 14:03:42,114.287,16.54058,-107.06558000000001,14.688,14.6865,14.6709,34.7555,34.7637,1026.3619,25.8514,0.52627,0.8140000000000001,249.7402,0.1501,96.3166,0.041207,7096.0,17.0,False
116.0,2017-01-10 14:03:42,115.281,16.54058,-107.06558000000001,14.645,14.6443,14.6278,34.7589,34.7668,1026.3784,25.8633,0.50941,0.812,249.94673999999998,0.1497,96.327,0.038916,7112.0,16.0,False
117.0,2017-01-10 14:03:42,116.274,16.54058,-107.06558000000001,14.6394,14.6391,14.6221,34.7593,34.7672,1026.3843,25.8649,0.49235,0.804,249.9736,0.1503,96.3127,0.036811,7127.0,14.0,False
118.0,2017-01-10 14:03:42,117.26799999999999,16.54058,-107.06558000000001,14.6287,14.6286,14.6113,34.7594,34.7673,1026.3911,25.8672,0.49751999999999996,0.809,250.0262,0.151,96.2951,0.034474,7142.0,14.0,False
119.0,2017-01-10 14:03:42,118.262,16.54058,-107.06558000000001,14.6259,14.6261,14.6083,34.7613,34.7695,1026.3977,25.8693,0.5040399999999999,0.812,250.03673999999998,0.1487,96.3502,0.032271,7158.0,15.0,False
120.0,2017-01-10 14:03:42,119.255,16.54058,-107.06558000000001,14.6089,14.6084,14.5911,34.762,34.77,1026.4063,25.8735,0.51344,0.8009999999999999,250.12001,0.1484,96.3585,0.030669,7177.0,24.0,False
121.0,2017-01-10 14:03:42,120.249,16.54058,-107.06558000000001,14.5835,14.5633,14.5656,34.7627,34.7716,1026.4168,25.8795,0.61385,0.785,250.24472000000003,0.1485,96.3565,0.028857,7210.0,43.0,False
