Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,par,scan,nbin,flag
68.0,2017-01-10 23:11:26,67.587,16.5406,-107.0655,19.5241,19.5162,19.5118,34.5712,34.5817,1024.8561,24.5587,0.47922,22.381,228.13336,0.0993,97.5476,2.6402,4237.0,37.0,False
69.0,2017-01-10 23:11:26,68.58,16.5406,-107.0655,19.0716,19.07,19.0593,34.5978,34.6062,1024.9976,24.6955,0.45292,20.194000000000003,229.98498999999998,0.0981,97.5774,2.4203,4271.0,34.0,False
70.0,2017-01-10 23:11:26,69.574,16.5406,-107.0655,19.0008,19.001,18.9884,34.5977,34.6073,1025.0201,24.7135,0.49793000000000004,15.321,230.28374,0.0947,97.6595,2.217,4318.0,58.0,False
71.0,2017-01-10 23:11:26,70.568,16.5406,-107.0655,18.8727,18.8708,18.8602,34.5998,34.6083,1025.0587,24.7476,0.43553000000000003,13.885,230.82372,0.0944,97.6663,2.0585,4372.0,42.0,False
72.0,2017-01-10 23:11:26,71.561,16.5406,-107.0655,18.6222,18.6222,18.6096,34.6143,34.6225,1025.1376,24.8219,0.41566000000000003,12.872,231.87036,0.1297,96.8102,1.905,4410.0,40.0,False
73.0,2017-01-10 23:11:26,72.555,16.5406,-107.0655,18.3525,18.3535,18.3398,34.6295,34.6409,1025.2214,24.901,0.44485,9.343,233.00852000000003,0.1536,96.2321,1.7328,4463.0,67.0,False
74.0,2017-01-10 23:11:26,73.54899999999999,16.5406,-107.0655,18.2049,18.2063,18.1921,34.6397,34.6472,1025.2704,24.9456,0.38238,7.385,233.63211,0.1512,96.2907,1.5623,4523.0,47.0,False
75.0,2017-01-10 23:11:26,74.542,16.5406,-107.0655,18.1773,18.1776,18.1644,34.6419,34.6499,1025.2833,24.954,0.36985999999999997,6.952000000000001,233.74845,0.1482,96.3634,1.4351,4564.0,39.0,False
76.0,2017-01-10 23:11:26,75.536,16.5406,-107.0655,18.1453,18.1436,18.1322,34.6468,34.6554,1025.2994,24.9657,0.37056999999999995,6.234,233.8804,0.1465,96.4031,1.3299,4608.0,48.0,False
77.0,2017-01-10 23:11:26,76.53,16.5406,-107.0655,17.7915,17.7938,17.7784,34.6722,34.6784,1025.4105,25.072,0.36677,5.091,235.39226000000002,0.1437,96.4721,1.2351,4661.0,52.0,False
78.0,2017-01-10 23:11:26,77.524,16.5406,-107.0655,17.5899,17.5932,17.5768,34.6686,34.6748,1025.4614,25.1184,0.32643,3.306,236.2897,0.1405,96.5475,1.1493,4710.0,48.0,False
79.0,2017-01-10 23:11:26,78.517,16.5406,-107.0655,17.4225,17.4252,17.4093,34.664,34.6703,1025.503,25.1553,0.30633,3.5410000000000004,237.04367000000002,0.138,96.6079,1.0618,4761.0,54.0,False
80.0,2017-01-10 23:11:26,79.51100000000001,16.5406,-107.0655,17.3581,17.359,17.3447,34.6785,34.686,1025.5341,25.1819,0.2967,3.321,237.30842,0.1378,96.6136,0.98065,4814.0,47.0,False
81.0,2017-01-10 23:11:26,80.505,16.5406,-107.0655,17.3184,17.3168,17.305,34.6846,34.6929,1025.5527,25.1961,0.28076,2.8369999999999997,237.4764,0.1358,96.6618,0.91859,4856.0,40.0,False
82.0,2017-01-10 23:11:26,81.499,16.5406,-107.0655,17.222,17.2163,17.2084,34.6955,34.7044,1025.5887,25.2276,0.21875,2.5580000000000003,237.89238999999998,0.1361,96.6553,0.8636799999999999,4896.0,36.0,False
83.0,2017-01-10 23:11:26,82.492,16.5406,-107.0655,17.1229,17.1218,17.1091,34.7084,34.7159,1025.6268,25.2612,0.19025,2.0869999999999997,238.31837000000002,0.1303,96.7962,0.80955,4930.0,33.0,False
84.0,2017-01-10 23:11:26,83.486,16.5406,-107.0655,17.1001,17.1012,17.0863,34.7104,34.7183,1025.6381,25.2682,0.23959,1.5330000000000001,238.41772000000003,0.1316,96.7644,0.74941,4967.0,44.0,False
85.0,2017-01-10 23:11:26,84.48,16.54058,-107.0655,17.1386,17.1584,17.1246,34.7036,34.7109,1025.6281,25.2538,0.2883,1.131,238.25482000000002,0.1332,96.7264,0.6843,5063.0,128.0,False
86.0,2017-01-10 23:11:26,85.473,16.5406,-107.0655,16.967,16.9624,16.9529,34.7125,34.7218,1025.6804,25.3014,0.20083,1.381,239.01798,0.133,96.7304,0.65582,5135.0,28.0,False
87.0,2017-01-10 23:11:26,86.46700000000001,16.5406,-107.0655,16.7711,16.7679,16.757,34.7312,34.7401,1025.7456,25.3621,0.14956,1.3259999999999998,239.88005,0.1294,96.8156,0.62103,5158.0,21.0,False
88.0,2017-01-10 23:11:26,87.46,16.5406,-107.0655,16.6415,16.6382,16.6273,34.74,34.7483,1025.7873,25.3991,0.13041,1.219,240.46025,0.1266,96.8847,0.5855199999999999,5179.0,22.0,False
89.0,2017-01-10 23:11:26,88.454,16.5406,-107.0655,16.495,16.4932,16.4807,34.7521,34.7603,1025.8355,25.4427,0.11907999999999999,1.18,241.11531000000002,0.1263,96.8912,0.5493,5203.0,27.0,False
90.0,2017-01-10 23:11:26,89.448,16.5406,-107.0655,16.6001,16.598,16.5855,34.7469,34.7531,1025.8112,25.4142,0.18378,1.037,240.64019,0.1289,96.8281,0.5090899999999999,5276.0,113.0,False
91.0,2017-01-10 23:11:26,90.441,16.5406,-107.0655,16.3227,16.343,16.3081,34.7484,34.7588,1025.8817,25.4799,0.16432,0.955,241.92045,0.1288,96.8313,0.47272,5358.0,45.0,False
92.0,2017-01-10 23:11:26,91.435,16.5406,-107.0655,16.1811,16.1805,16.1665,34.7466,34.7555,1025.9176,25.5112,0.21436,0.9790000000000001,242.58229,0.1316,96.7642,0.44101,5395.0,34.0,False
93.0,2017-01-10 23:11:26,92.429,16.540589999999998,-107.0655,16.1187,16.1178,16.104,34.7455,34.7538,1025.9356,25.5246,0.24736,0.905,242.87652999999997,0.1331,96.7266,0.41423999999999994,5425.0,28.0,False
94.0,2017-01-10 23:11:26,93.42200000000001,16.54058,-107.0655,16.0647,16.0645,16.0499,34.7429,34.7516,1025.9504,25.535,0.28315,0.9129999999999999,243.13365,0.1351,96.6793,0.38947,5454.0,32.0,False
95.0,2017-01-10 23:11:26,94.416,16.5406,-107.0655,16.1237,16.14,16.1087,34.7408,34.7494,1025.9396,25.5198,0.31287,0.809,242.86076,0.1366,96.6438,0.36551,5536.0,121.0,False
96.0,2017-01-10 23:11:26,95.41,16.5406,-107.0655,16.0223,16.0372,16.0072,34.7355,34.7437,1025.9633,25.539,0.31469,0.8,243.34562999999997,0.1366,96.6414,0.34424,5612.0,32.0,False
97.0,2017-01-10 23:11:26,96.40299999999999,16.5406,-107.0655,15.9286,15.928,15.9133,34.7419,34.7505,1025.9942,25.5653,0.31298000000000004,0.802,243.77611000000002,0.139,96.5842,0.32155,5639.0,29.0,False
98.0,2017-01-10 23:11:26,97.397,16.5406,-107.0655,15.9057,15.9053,15.8903,34.7419,34.7503,1026.0039,25.5706,0.3232,0.8029999999999999,243.88392000000002,0.1385,96.5974,0.29962,5668.0,27.0,False
99.0,2017-01-10 23:11:26,98.39,16.5406,-107.0655,15.8441,15.8436,15.8287,34.7516,34.7603,1026.0298,25.5921,0.322,0.804,244.15855,0.1374,96.6244,0.27873000000000003,5700.0,39.0,False
100.0,2017-01-10 23:11:26,99.384,16.5406,-107.0655,15.8342,15.839,15.8185,34.7523,34.7617,1026.037,25.5948,0.38301,0.7709999999999999,244.20456000000001,0.1368,96.6384,0.25909,5754.0,77.0,False
101.0,2017-01-10 23:11:26,100.37799999999999,16.5406,-107.0655,15.7972,15.8188,15.7814,34.7473,34.7514,1026.046,25.5993,0.36933,0.619,244.38827,0.1362,96.6522,0.24040999999999998,5833.0,56.0,False
102.0,2017-01-10 23:11:26,101.37100000000001,16.5406,-107.0655,15.4246,15.4194,15.409,34.7196,34.7288,1026.1135,25.6618,0.48027,0.718,246.21232999999998,0.1433,96.4815,0.22373,5872.0,28.0,False
103.0,2017-01-10 23:11:26,102.365,16.5406,-107.0655,15.3499,15.3495,15.3341,34.7253,34.7339,1026.1391,25.6828,0.53888,0.843,246.56292000000002,0.1497,96.3269,0.20743000000000003,5906.0,46.0,False
104.0,2017-01-10 23:11:26,103.35799999999999,16.5406,-107.0655,15.3855,15.4137,15.3695,34.7251,34.7357,1026.1354,25.6748,0.6510600000000001,0.6759999999999999,246.39235,0.1499,96.322,0.19255,5974.0,77.0,False
105.0,2017-01-10 23:11:26,104.352,16.5406,-107.0655,14.8752,14.8738,14.8595,34.748,34.7555,1026.2708,25.805,0.53799,0.7170000000000001,248.83162000000002,0.1501,96.3182,0.18075,6029.0,38.0,False
106.0,2017-01-10 23:11:26,105.346,16.5406,-107.0655,14.7792,14.7783,14.7634,34.75,34.7579,1026.2978,25.8274,0.5431,0.8909999999999999,249.29987999999997,0.1514,96.2853,0.16762,6062.0,30.0,False
