,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,31,2017-01-08 01:08:51,742920.0478125,44.329554,20011.168599999997,238.79200000000006
1,[31],2017-01-08 01:08:51,742920.0478125,44.329554,20011.168599999997,238.79200000000006
2,[32],2017-01-08 20:54:16,742920.8710185185,37.069277,17706.084199999998,243.92499999999995
3,[33],2017-01-09 03:09:31,742922.1316087963,38.484382,12966.0535,191.678
4,[34],2017-01-09 12:22:53,742922.5158912037,42.046411,18467.2366,334.335
5,[35],2017-01-10 08:32:45,742924.3560763889,38.158725,18071.360399999998,267.697
6,[36],2017-01-10 14:03:42,742924.5859027777,40.532639999999994,17418.0628,259.71299999999997
7,[37],2017-01-10 23:11:26,742924.9662731482,35.213208,16337.760699999999,207.64000000000004
8,[38],2017-01-11 04:05:00,742926.1701388889,43.63477,17823.673600000002,274.493
9,[39],2017-01-11 14:03:16,742926.5856018518,34.918006,17924.387499999997,207.077
10,[40],2017-01-12 05:05:22,742928.2120601851,43.297948,19757.7249,161.785
11,[41],2017-01-12 14:04:48,742928.5866666667,41.498963,16628.968200000003,209.16299999999998
12,[42],2017-01-12 19:11:38,742928.7997453704,40.200501,18565.6829,295.21700000000004
13,[43],2017-01-13 12:18:03,742930.5125347222,38.980594,17695.785800000005,170.112
