Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
10,27446,ETNP14_120maa_PROKKA_96867,36.04,5,2,1,,29303,Beta-lactamase
9,27437,ETNP_70m_PROKKA_85163,35.51,4,1,1,,36469,hypothetical protein
41,80596,ETNP14_120mac_PROKKA_09936,35.01,14,1,1,,6573,hypothetical protein
41,80597,NP_30m_PROKKA_06674,35.01,7,1,1,,12520,hypothetical protein
41,80598,ETNP_120m_free_PROKKA_53194,35.01,6,1,1,,15434,Peptidoglycan-associated lipoprotein precursor
41,80599,ETNP_120m_PROKKA_323254,35.01,3,1,1,,32139,Choline-sulfatase
41,80600,ETNP_160m_PROKKA_74205,35.01,2,1,1,,47306,Choline-sulfatase
41,80601,ETNP_120m_PROKKA_183313,35.01,2,1,1,,48461,Choline-sulfatase
42,80602,ETNP14_68maa_PROKKA_183498,34.87,3,1,1,,25755,Peptidase family M28
42,80603,ETNP_180m_PROKKA_28823,34.87,2,1,1,,49380,Agmatine deiminase
42,80604,ETNP_160m_PROKKA_138638,34.87,2,1,1,,49411,Agmatine deiminase
42,80605,ETNP_120m_PROKKA_60099,34.87,1,1,1,,54981,Putative agmatine deiminase
42,80606,ETNP_120m_free_PROKKA_45428,34.87,1,1,1,,55040,Putative agmatine deiminase
43,80608,ETNP_100m_particle_PROKKA_09517,32.19,3,1,1,,34261,hypothetical protein
43,80609,ETNP_120m_particle_PROKKA_155442,32.19,3,1,1,,34261,hypothetical protein
44,27410,ETNP14_120mab_PROKKA_11938,32.08,6,1,1,,15171,hypothetical protein
45,80610,ETNP_100m_PROKKA_03582,31.89,4,1,1,,19471,hypothetical protein
45,27461,ETNP_160m_PROKKA_79707,31.89,3,1,1,,21445,hypothetical protein
7,80607,KHE91642,30.84,1,1,1,,96657,leucyl-tRNA synthase Candidatus Scalindua brodae
46,80611,ETNP_120m_PROKKA_126266,30.38,7,1,1,,14592,Zinc ribbon domain protein
46,80612,ETNP14_120maa_PROKKA_158401,30.38,6,1,1,,15112,Zinc ribbon domain protein
46,80613,ETNP_120m_PROKKA_280633,30.38,6,1,1,,15112,Zinc ribbon domain protein
46,80614,ETNP_160m_PROKKA_140673,30.38,6,1,1,,15102,Zinc ribbon domain protein
11,80615,ETNP_120m_free_PROKKA_144196,30.21,9,1,1,,10551,hypothetical protein
3,80617,ETNP_120m_free_PROKKA_196484,29.56,5,1,1,,17857,hypothetical protein
48,474,ETNP_100m_particle_PROKKA_82300,28.92,9,1,1,,14624,Tubulin/FtsZ family  GTPase domain
49,80618,ETNP_120m_PROKKA_15043,28.34,1,1,1,,112878,Planctomycete cytochrome C
50,80619,ETNP_90m_PROKKA_54821,28.20,5,1,1,,16208,hypothetical protein
51,80620,ETNP14_68maa_PROKKA_38416,27.98,5,1,1,,16453,hypothetical protein
4,80621,ETNP14_68maa_PROKKA_167940,27.67,3,1,1,,35324,hypothetical protein
52,80622,ETNP_60m_PROKKA_25129,27.03,5,1,1,,20896,hypothetical protein
2,80624,ETNP_120m_free_PROKKA_62714,25.96,7,1,1,,12846,D-threonine aldolase
2,80628,ETNP_140m_PROKKA_14114,25.96,3,1,1,,24713,D-threonine aldolase
2,80629,ETNP_180m_PROKKA_120955,25.96,2,1,1,,39230,D-threonine aldolase
2,80630,ETNP_300m_PROKKA_05899,25.96,2,1,1,,39288,D-threonine aldolase
2,80631,ETNP_140m_PROKKA_82660,25.96,2,1,1,,39230,D-threonine aldolase
2,80632,ETNP_160m_PROKKA_54702,25.96,2,1,1,,39258,D-threonine aldolase
2,80633,ETNP_180m_PROKKA_00563,25.96,2,1,1,,38951,D-threonine aldolase
2,80634,ETNP_300m_PROKKA_83708,25.96,2,1,1,,38963,D-threonine aldolase
54,80625,ETNP_100m_particle_PROKKA_129450,25.88,6,1,1,,16543,hypothetical protein
54,80626,ETNP_120m_PROKKA_90943,25.88,5,1,1,,19510,hypothetical protein
54,80627,ETNP_180m_PROKKA_74118,25.88,5,1,1,,19510,hypothetical protein
55,27474,ETNP_120m_free_PROKKA_296942,25.42,11,1,1,,7484,hypothetical protein
55,27475,ETNP_120m_PROKKA_54134,25.42,7,1,1,,11742,hypothetical protein
55,27476,ETNP_160m_PROKKA_111048,25.42,7,1,1,,11742,hypothetical protein
55,27477,ETNP_180m_PROKKA_188549,25.42,7,1,1,,11742,hypothetical protein
55,27478,ETNP_140m_PROKKA_93364,25.42,7,1,1,,11742,hypothetical protein
55,27479,ETNP_300m_PROKKA_127442,25.42,7,1,1,,11742,hypothetical protein
55,27480,ETNP_120m_free_PROKKA_113323,25.42,7,1,1,,11742,hypothetical protein
55,27481,ETNP_120m_free_PROKKA_213930,25.42,3,1,1,,22699,hypothetical protein
55,27484,EJK49742,25.42,3,1,1,,25128,hypothetical protein THAOC_31347 partial  Thalassiosira oceanica
55,27485,ETNP_120m_free_PROKKA_136514,25.42,3,1,1,,26103,Transcriptional regulatory protein OmpR
55,27486,ETNP_120m_PROKKA_98001,25.42,2,1,1,,36056,Levanase precursor
55,27500,WP_014436912,25.42,1,1,1,,93491,hypothetical protein Phycisphaera mikurensis
59,80639,WP_002650816,25.38,1,1,1,,118008,hypothetical protein  Blastopirellula marina
57,80637,ETNP_100m_particle_PROKKA_83749,25.27,4,1,1,,20608,2 3-dimethylmalate dehydratase small subunit
56,80636,XP_003057468,25.24,12,1,1,,11062,predicted protein  Micromonas pusilla CCMP1545
58,80638,WP_053230180,25.14,2,1,1,,68452,hypothetical protein Phycisphaera mikurensis
60,80640,ETNP_300m_PROKKA_168323,25.01,4,1,1,,18618,hypothetical protein
60,80641,WP_005999012,25.01,2,1,1,,35831,3-beta hydroxysteroid dehydrogenase Desulfuromonas acetoxidans
61,80642,ETNP_120m_PROKKA_45185,25.00,4,1,1,,18618,hypothetical protein
61,80643,ETNP_120m_free_PROKKA_288274,25.00,4,1,1,,19015,hypothetical protein
20,80648,EJK59153,24.49,1,1,1,,124424,hypothetical protein THAOC_20654  Thalassiosira oceanica
62,27466,ETNP_300m_PROKKA_59645,24.44,3,1,1,,30687,Prophage CP4-57 integrase
24,80646,ETNP_70m_PROKKA_102022,24.36,1,1,1,,68393,hypothetical protein
24,80647,ETNP_90m_PROKKA_202920,24.36,1,1,1,,69747,hypothetical protein
63,80651,ETNP_90m_PROKKA_29257,23.95,11,1,1,,6825,hypothetical protein
63,80653,ETNP14_120maa_PROKKA_128194,23.95,5,1,1,,14242,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
63,80654,ETNP_120m_particle_PROKKA_54857,23.95,4,1,1,,22422,hypothetical protein
27,80650,WP_014705525,23.62,1,1,1,,58844,Sodium-dependent phosphate transporter Methylophaga nitratireducenticrescens
64,80660,NP_85m_PROKKA_21725,23.15,6,1,1,,12437,hypothetical protein
64,80661,ETNP_160m_PROKKA_116620,23.15,2,1,1,,42275,Acyl-CoA dehydrogenase
64,80662,ETNP_120m_free_PROKKA_307496,23.15,2,1,1,,43043,Acyl-CoA dehydrogenase
64,80663,ETNP_180m_PROKKA_81353,23.15,2,1,1,,43083,Acyl-CoA dehydrogenase
64,80664,ETNP_300m_PROKKA_112151,23.15,2,1,1,,43043,Acyl-CoA dehydrogenase
64,80665,ETNP_160m_PROKKA_93122,23.15,2,1,1,,43043,Acyl-CoA dehydrogenase
64,80666,ETNP14_120maa_PROKKA_24379,23.15,2,1,1,,43121,Acyl-CoA dehydrogenase
64,80667,ETNP_120m_PROKKA_86146,23.15,2,1,1,,43093,Acyl-CoA dehydrogenase
64,80668,ETNP_120m_PROKKA_08455,23.15,2,1,1,,43043,Acyl-CoA dehydrogenase
64,80669,ETNP_180m_PROKKA_92907,23.15,2,1,1,,43043,Acyl-CoA dehydrogenase
64,80670,ETNP_300m_PROKKA_118023,23.15,2,1,1,,43083,Acyl-CoA dehydrogenase
65,27509,ETNP_120m_free_PROKKA_22907,22.78,7,1,1,,11448,hypothetical protein
65,27510,ETNP_120m_free_PROKKA_46965,22.78,7,1,1,,12387,hypothetical protein
65,27519,ETNP_300m_PROKKA_79398,22.78,1,1,1,,52979,Long-chain-fatty-acid--CoA ligase
65,27520,ETNP_120m_free_PROKKA_205383,22.78,1,1,1,,57878,Long-chain-fatty-acid--CoA ligase
65,27521,ETNP_160m_PROKKA_85961,22.78,1,1,1,,57878,Long-chain-fatty-acid--CoA ligase
65,27522,ETNP_140m_PROKKA_69214,22.78,1,1,1,,57834,Long-chain-fatty-acid--CoA ligase
65,27523,ETNP_120m_PROKKA_140621,22.78,1,1,1,,57878,Long-chain-fatty-acid--CoA ligase
65,27524,ETNP_180m_PROKKA_52106,22.78,1,1,1,,57894,Long-chain-fatty-acid--CoA ligase
66,80671,EJK66125,22.69,2,1,1,,71769,hypothetical protein THAOC_12969 partial  Thalassiosira oceanica
68,80675,WP_048498835,22.47,1,1,1,,136762,phosphoribosylformylglycinamidine synthase Chryseobacterium koreense
17,80842,ETNP14_120maa_PROKKA_61518,22.18,1,1,1,,54566,Type II secretion system protein E
69,80677,ETNP_120m_PROKKA_41956,22.12,3,1,1,,33514,Glucose-1-phosphate adenylyltransferase
69,80680,ETNP_120m_particle_PROKKA_245860,22.12,2,1,1,,48744,Glucose-1-phosphate adenylyltransferase
14,80678,ETNP_150m_particle_PROKKA_35242,22.07,10,1,1,,12401,Fibronectin type III domain protein
14,80679,ETNP_120m_particle_PROKKA_251235,22.07,2,1,1,,50106,Fibronectin type III domain protein
70,27602,ETNP_160m_PROKKA_209718,21.92,2,1,1,,64879,Recombinase
