Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_ambic_1,Coverage (%) RAL95_trypsin_ambic_2,Coverage (%) RAL95_trypsin_MED_1,Coverage (%) RAL95_trypsin_MED_2,Area RAL95_trypsin_ambic_1,Area RAL95_trypsin_ambic_2,Area RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_2,#Peptides,#Unique,#Spec RAL95_trypsin_ambic_1,#Spec RAL95_trypsin_ambic_2,#Spec RAL95_trypsin_MED_1,#Spec RAL95_trypsin_MED_2,PTM,Avg. Mass,Description
1,1,sp|Q7TU44|CH602_PROMP,513.87,96,7,16,96,95,3.54E4,4.76E5,5.97E10,6.36E10,399,395,2,11,2018,2130,Carbamidomethylation; Oxidation (M); Formylation; Phosphorylation (STY); 2-amino-3-oxo-butanoic_acid; 63 more,57441,60 kDa chaperonin 2 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=groL2 PE=3 SV=1
3,5,sp|Q7V2M3|CH601_PROMP,399.34,73,0,0,70,71,,,8.16E9,8.57E9,109,105,0,0,349,358,Carbamidomethylation; Oxidation (M); Formylation; Phosphorylation (STY); 2-amino-3-oxo-butanoic_acid; 16 more,61441,60 kDa chaperonin 1 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=groL1 PE=3 SV=1
5,181,tr|Q7V360|Q7V360_PROMP,394.08,85,0,11,85,83,,8.92E4,4.51E9,4.58E9,80,80,0,2,224,232,Carbamidomethylation; Oxidation (M); Formylation; 2-amino-3-oxo-butanoic_acid; Dehydration; 14 more,28114,Photosystem II manganese-stabilizing protein OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=psbO PE=4 SV=1
4,3,sp|Q7UZG3|DNAK2_PROMP,374.96,76,0,4,70,74,,8.54E4,3.98E9,4.18E9,76,76,0,3,223,238,Carbamidomethylation; Oxidation (M); Formylation; Methylation(KR); Dehydration; 16 more,68244,Chaperone protein dnaK2 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=dnaK2 PE=3 SV=1
6,2,tr|Q7TUC3|Q7TUC3_PROMP,373.74,92,0,0,92,90,,,5.56E9,5.72E9,65,65,0,0,211,229,Carbamidomethylation; Oxidation (M); Formylation; Acetylation (K); Dihydroxy; 20 more,48059,Putative O-Acetyl homoserine sulfhydrylase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=cysD PE=3 SV=1
13,6,sp|Q7V006|RPOB_PROMP,368.99,62,2,1,58,57,2.1E5,0E0,1.17E9,1.3E9,72,71,3,2,132,142,Carbamidomethylation; Oxidation (M); Dehydration; Replacement of 2 protons by iron; Acetylation (N-term); 9 more,122908,DNA-directed RNA polymerase subunit beta OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=rpoB PE=3 SV=1
8,8,tr|Q7V1H1|Q7V1H1_PROMP,360.22,74,0,2,73,66,,2.03E4,2.66E9,2.76E9,75,72,0,1,204,193,Carbamidomethylation; Oxidation (M); Formylation; Phosphorylation (STY); Methylation(KR); 13 more,72552,Heat shock protein HtpG OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=htpG PE=4 SV=1
16,120,tr|Q7V1Y5|Q7V1Y5_PROMP,357.89,76,0,0,76,74,,,2.38E9,2.5E9,87,87,0,0,134,141,Carbamidomethylation; Oxidation (M); Formylation; Dihydroxy; Replacement of 2 protons by iron; 11 more,33887,Phosphate-binding protein OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=PMM0710 PE=3 SV=1
17,7,sp|Q7V008|RPOC2_PROMP,348.37,65,0,0,61,58,,,1.05E9,1.22E9,81,81,0,0,129,137,Carbamidomethylation; Oxidation (M); Methylation(KR); Dehydration; Replacement of 2 protons by iron; 10 more,149637,DNA-directed RNA polymerase subunit beta' OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=rpoC2 PE=3 SV=1
12,105,tr|Q7V2Y4|Q7V2Y4_PROMP,346.73,45,0,0,41,45,,,2.87E9,3.04E9,46,46,0,0,139,164,Oxidation (M); Methylation(KR); Dehydration; Replacement of 2 protons by iron; Carbamylation; 8 more,56091,Photosystem II CP47 reaction center protein OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=psbB PE=3 SV=1
