,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,59,2018-04-21 15:39:15,743856.6522569444,0.0,0.0,0.0
1,[59],2018-04-21 15:39:15,743856.6522569444,0.0,0.0,0.0
2,[60],2018-04-22 10:12:45,743858.4255208333,13.591000000000001,43.1305,1916.1639999999998
3,[61],2018-04-22 14:04:25,743858.586400463,34.9435,76.215,3480.805
4,[62],2018-04-22 22:00:31,743858.917025463,20.381899999999998,41.7564,1928.755
5,[63],2018-04-23 14:00:59,743860.5840162036,15.83736,47.4445,2159.6789999999996
6,[64],2018-04-24 14:03:01,743862.5854282407,18.954890000000002,100.66230000000002,4508.089999999999
7,[65],2018-04-24 21:04:47,743862.8783217593,17.39061,83.02,3700.612
8,[66],2018-04-25 15:02:53,743864.6270023148,12.39225,101.81920000000001,4523.965
9,[67],2018-04-26 00:07:04,743866.0049074074,13.219180000000001,83.3297,3771.701
10,[68],2018-04-26 06:06:44,743866.254675926,19.402829999999998,92.56700000000001,4126.806
11,[69],2018-04-26 12:04:27,743866.5030902778,11.817599999999999,79.5293,3513.0489999999995
12,[70],2018-04-26 18:56:09,743866.7889930556,15.198129999999999,96.91890000000001,4351.2519999999995
13,[71],2018-04-27 00:01:50,743868.0012731481,12.89634,74.30730000000001,3370.414
14,[72],2018-04-27 09:44:07,743868.405636574,12.06379,93.6515,4055.4559999999997
