# MetaGOmics GO report					
# MetaGOmics version: 0.1.1					
# Run date: Thu Jun 28 20:14:18 PDT 2018					
GO acc	GO aspect	GO name	count	total count	ratio
unknownprc	biological_process	unknown biological process	470	551	0.852994555
unknownfun	molecular_function	unknown molecular function	461	551	0.836660617
GO:0009733	biological_process	response to auxin	6	551	0.010889292
unknowncmp	cellular_component	unknown cellular component	476	551	0.863883848
GO:0009735	biological_process	response to cytokinin	27	551	0.049001815
GO:0032403	molecular_function	protein complex binding	1	551	0.001814882
GO:0051591	biological_process	response to cAMP	11	551	0.019963702
GO:0051592	biological_process	response to calcium ion	6	551	0.010889292
GO:0051602	biological_process	response to electrical stimulus	6	551	0.010889292
GO:0051604	biological_process	protein maturation	21	551	0.038112523
GO:0000001	biological_process	mitochondrion inheritance	6	551	0.010889292
GO:0051607	biological_process	defense response to virus	1	551	0.001814882
GO:0070968	molecular_function	pyrroloquinoline quinone binding	1	551	0.001814882
GO:0000002	biological_process	mitochondrial genome maintenance	21	551	0.038112523
GO:0038093	biological_process	Fc receptor signaling pathway	6	551	0.010889292
GO:0038094	biological_process	Fc-gamma receptor signaling pathway	6	551	0.010889292
GO:0038096	biological_process	Fc-gamma receptor signaling pathway involved in phagocytosis	6	551	0.010889292
GO:0044183	molecular_function	protein binding involved in protein folding	21	551	0.038112523
GO:0046112	biological_process	nucleobase biosynthetic process	1	551	0.001814882
GO:0051082	molecular_function	unfolded protein binding	21	551	0.038112523
GO:0032432	cellular_component	actin filament bundle	6	551	0.010889292
GO:0098796	cellular_component	membrane protein complex	22	551	0.039927405
GO:0015036	molecular_function	disulfide oxidoreductase activity	1	551	0.001814882
GO:0098798	cellular_component	mitochondrial protein complex	1	551	0.001814882
GO:0098800	cellular_component	inner mitochondrial membrane protein complex	1	551	0.001814882
GO:0000011	biological_process	vacuole inheritance	6	551	0.010889292
GO:0098805	cellular_component	whole membrane	3	551	0.005444646
GO:0046128	biological_process	purine ribonucleoside metabolic process	2	551	0.003629764
GO:0046129	biological_process	purine ribonucleoside biosynthetic process	1	551	0.001814882
GO:0046131	biological_process	pyrimidine ribonucleoside metabolic process	1	551	0.001814882
GO:0009791	biological_process	post-embryonic development	1	551	0.001814882
GO:0009792	biological_process	embryo development ending in birth or egg hatching	6	551	0.010889292
GO:0046132	biological_process	pyrimidine ribonucleoside biosynthetic process	1	551	0.001814882
GO:0046134	biological_process	pyrimidine nucleoside biosynthetic process	1	551	0.001814882
GO:0051640	biological_process	organelle localization	6	551	0.010889292
GO:0051641	biological_process	cellular localization	27	551	0.049001815
GO:0051646	biological_process	mitochondrion localization	6	551	0.010889292
GO:1904029	biological_process	regulation of cyclin-dependent protein kinase activity	6	551	0.010889292
GO:0051648	biological_process	vesicle localization	6	551	0.010889292
GO:1904030	biological_process	negative regulation of cyclin-dependent protein kinase activity	6	551	0.010889292
GO:0051649	biological_process	establishment of localization in cell	29	551	0.052631579
GO:0051650	biological_process	establishment of vesicle localization	6	551	0.010889292
GO:0051651	biological_process	maintenance of location in cell	6	551	0.010889292
GO:0051653	biological_process	spindle localization	6	551	0.010889292
GO:0005886	cellular_component	plasma membrane	41	551	0.074410163
GO:0051656	biological_process	establishment of organelle localization	6	551	0.010889292
GO:0007165	biological_process	signal transduction	6	551	0.010889292
GO:0009055	molecular_function	electron carrier activity	2	551	0.003629764
GO:0009826	biological_process	unidimensional cell growth	6	551	0.010889292
GO:0000050	biological_process	urea cycle	1	551	0.001814882
GO:0000052	biological_process	citrulline metabolic process	1	551	0.001814882
GO:0051673	biological_process	membrane disruption in other organism	1	551	0.001814882
GO:0006260	biological_process	DNA replication	2	551	0.003629764
GO:0098857	cellular_component	membrane microdomain	7	551	0.012704174
GO:0098858	cellular_component	actin-based cell projection	6	551	0.010889292
GO:0051276	biological_process	chromosome organization	2	551	0.003629764
GO:0032496	biological_process	response to lipopolysaccharide	1	551	0.001814882
GO:0007017	biological_process	microtubule-based process	6	551	0.010889292
GO:0009845	biological_process	seed germination	6	551	0.010889292
GO:0032501	biological_process	multicellular organismal process	9	551	0.016333938
GO:0032502	biological_process	developmental process	15	551	0.02722323
GO:0032506	biological_process	cytokinetic process	6	551	0.010889292
GO:0032507	biological_process	maintenance of protein location in cell	6	551	0.010889292
GO:0005783	cellular_component	endoplasmic reticulum	3	551	0.005444646
GO:0051704	biological_process	multi-organism process	30	551	0.054446461
GO:0051705	biological_process	multi-organism behavior	6	551	0.010889292
GO:0007169	biological_process	transmembrane receptor protein tyrosine kinase signaling pathway	6	551	0.010889292
GO:0000096	biological_process	sulfur amino acid metabolic process	2	551	0.003629764
GO:0051715	biological_process	cytolysis in other organism	19	551	0.034482759
GO:0000097	biological_process	sulfur amino acid biosynthetic process	1	551	0.001814882
GO:0051716	biological_process	cellular response to stimulus	31	551	0.056261343
GO:0046209	biological_process	nitric oxide metabolic process	1	551	0.001814882
GO:0008104	biological_process	protein localization	28	551	0.050816697
GO:0009889	biological_process	regulation of biosynthetic process	29	551	0.052631579
GO:0009890	biological_process	negative regulation of biosynthetic process	3	551	0.005444646
GO:0009891	biological_process	positive regulation of biosynthetic process	21	551	0.038112523
GO:0009892	biological_process	negative regulation of metabolic process	10	551	0.01814882
GO:0009893	biological_process	positive regulation of metabolic process	29	551	0.052631579
GO:0032549	molecular_function	ribonucleoside binding	43	551	0.078039927
GO:0032550	molecular_function	purine ribonucleoside binding	40	551	0.072595281
GO:0032551	molecular_function	pyrimidine ribonucleoside binding	1	551	0.001814882
GO:0032553	molecular_function	ribonucleotide binding	40	551	0.072595281
GO:0000123	cellular_component	histone acetyltransferase complex	6	551	0.010889292
GO:0032555	molecular_function	purine ribonucleotide binding	40	551	0.072595281
GO:0032557	molecular_function	pyrimidine ribonucleotide binding	1	551	0.001814882
GO:0032559	molecular_function	adenyl ribonucleotide binding	39	551	0.070780399
GO:0000132	biological_process	establishment of mitotic spindle orientation	6	551	0.010889292
GO:0032561	molecular_function	guanyl ribonucleotide binding	1	551	0.001814882
GO:0000142	cellular_component	cellular bud neck contractile ring	6	551	0.010889292
GO:0000154	biological_process	rRNA modification	2	551	0.003629764
GO:0009932	biological_process	cell tip growth	6	551	0.010889292
GO:0000166	molecular_function	nucleotide binding	42	551	0.076225045
GO:0009941	cellular_component	chloroplast envelope	27	551	0.049001815
GO:0051788	biological_process	response to misfolded protein	20	551	0.036297641
GO:0070848	biological_process	response to growth factor	1	551	0.001814882
GO:0000183	biological_process	chromatin silencing at rDNA	2	551	0.003629764
GO:0009966	biological_process	regulation of signal transduction	7	551	0.012704174
GO:0009967	biological_process	positive regulation of signal transduction	7	551	0.012704174
GO:0019001	molecular_function	guanyl nucleotide binding	1	551	0.001814882
GO:0009982	molecular_function	pseudouridine synthase activity	2	551	0.003629764
GO:0005515	molecular_function	protein binding	49	551	0.08892922
GO:0009987	biological_process	cellular process	72	551	0.130671506
GO:0009991	biological_process	response to extracellular stimulus	28	551	0.050816697
GO:0016469	cellular_component	proton-transporting two-sector ATPase complex	1	551	0.001814882
GO:0000226	biological_process	microtubule cytoskeleton organization	6	551	0.010889292
GO:0005198	molecular_function	structural molecule activity	10	551	0.01814882
GO:0000228	cellular_component	nuclear chromosome	2	551	0.003629764
GO:0005200	molecular_function	structural constituent of cytoskeleton	10	551	0.01814882
GO:0071214	biological_process	cellular response to abiotic stimulus	6	551	0.010889292
GO:0071218	biological_process	cellular response to misfolded protein	20	551	0.036297641
GO:0005215	molecular_function	transporter activity	4	551	0.007259528
GO:0010033	biological_process	response to organic substance	32	551	0.058076225
GO:0010035	biological_process	response to inorganic substance	31	551	0.056261343
GO:0071229	biological_process	cellular response to acid chemical	1	551	0.001814882
GO:0010043	biological_process	response to zinc ion	1	551	0.001814882
GO:0005622	cellular_component	intracellular	1	551	0.001814882
GO:0071242	biological_process	cellular response to ammonium ion	1	551	0.001814882
GO:0010053	biological_process	root epidermal cell differentiation	6	551	0.010889292
GO:0003924	molecular_function	GTPase activity	1	551	0.001814882
GO:0005575	cellular_component	cellular_component	551	551	1
GO:0000271	biological_process	polysaccharide biosynthetic process	4	551	0.007259528
GO:0071257	biological_process	cellular response to electrical stimulus	6	551	0.010889292
GO:0000275	cellular_component	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)"	1	551	0.001814882
GO:0046390	biological_process	ribose phosphate biosynthetic process	2	551	0.003629764
GO:0019103	molecular_function	pyrimidine nucleotide binding	1	551	0.001814882
GO:0046394	biological_process	carboxylic acid biosynthetic process	10	551	0.01814882
GO:0000281	biological_process	mitotic cytokinesis	10	551	0.01814882
GO:0000287	molecular_function	magnesium ion binding	7	551	0.012704174
GO:0022857	molecular_function	transmembrane transporter activity	4	551	0.007259528
GO:0016021	cellular_component	integral component of membrane	11	551	0.019963702
GO:0046417	biological_process	chorismate metabolic process	3	551	0.005444646
GO:0000302	biological_process	response to reactive oxygen species	21	551	0.038112523
GO:0010114	biological_process	response to red light	6	551	0.010889292
GO:0000323	cellular_component	lytic vacuole	10	551	0.01814882
GO:0071310	biological_process	cellular response to organic substance	27	551	0.049001815
GO:0005342	molecular_function	organic acid transmembrane transporter activity	2	551	0.003629764
GO:0032774	biological_process	RNA biosynthetic process	32	551	0.058076225
GO:0071320	biological_process	cellular response to cAMP	1	551	0.001814882
GO:0040001	biological_process	establishment of mitotic spindle localization	6	551	0.010889292
GO:0032781	biological_process	positive regulation of ATPase activity	6	551	0.010889292
GO:0032787	biological_process	monocarboxylic acid metabolic process	2	551	0.003629764
GO:0040011	biological_process	locomotion	10	551	0.01814882
GO:0046461	biological_process	neutral lipid catabolic process	1	551	0.001814882
GO:0040012	biological_process	regulation of locomotion	1	551	0.001814882
GO:0046464	biological_process	acylglycerol catabolic process	1	551	0.001814882
GO:0040017	biological_process	positive regulation of locomotion	1	551	0.001814882
GO:0046467	biological_process	membrane lipid biosynthetic process	4	551	0.007259528
GO:0015291	molecular_function	secondary active transmembrane transporter activity	2	551	0.003629764
GO:0071345	biological_process	cellular response to cytokine stimulus	6	551	0.010889292
GO:0071346	biological_process	cellular response to interferon-gamma	6	551	0.010889292
GO:0040029	biological_process	"regulation of gene expression, epigenetic"	9	551	0.016333938
GO:0046483	biological_process	heterocycle metabolic process	51	551	0.092558984
GO:0046486	biological_process	glycerolipid metabolic process	1	551	0.001814882
GO:0046493	biological_process	lipid A metabolic process	4	551	0.007259528
GO:0019219	biological_process	regulation of nucleobase-containing compound metabolic process	30	551	0.054446461
GO:0019220	biological_process	regulation of phosphate metabolic process	6	551	0.010889292
GO:0046496	biological_process	nicotinamide nucleotide metabolic process	5	551	0.00907441
GO:0071363	biological_process	cellular response to growth factor stimulus	1	551	0.001814882
GO:0019222	biological_process	regulation of metabolic process	37	551	0.067150635
GO:0071364	biological_process	cellular response to epidermal growth factor stimulus	1	551	0.001814882
GO:0046503	biological_process	glycerolipid catabolic process	1	551	0.001814882
GO:0007033	biological_process	vacuole organization	6	551	0.010889292
GO:0071375	biological_process	cellular response to peptide hormone stimulus	1	551	0.001814882
GO:0071377	biological_process	cellular response to glucagon stimulus	1	551	0.001814882
GO:0019240	biological_process	citrulline biosynthetic process	1	551	0.001814882
GO:0005488	molecular_function	binding	69	551	0.12522686
GO:0032868	biological_process	response to insulin	1	551	0.001814882
GO:0000428	cellular_component	DNA-directed RNA polymerase complex	3	551	0.005444646
GO:0032870	biological_process	cellular response to hormone stimulus	1	551	0.001814882
GO:0071396	biological_process	cellular response to lipid	1	551	0.001814882
GO:0071398	biological_process	cellular response to fatty acid	1	551	0.001814882
GO:0046872	molecular_function	metal ion binding	21	551	0.038112523
GO:0071400	biological_process	cellular response to oleic acid	1	551	0.001814882
GO:0005507	molecular_function	copper ion binding	6	551	0.010889292
GO:0032879	biological_process	regulation of localization	2	551	0.003629764
GO:0032880	biological_process	regulation of protein localization	1	551	0.001814882
GO:0071407	biological_process	cellular response to organic cyclic compound	1	551	0.001814882
GO:0005522	molecular_function	profilin binding	6	551	0.010889292
GO:0005523	molecular_function	tropomyosin binding	6	551	0.010889292
GO:0005524	molecular_function	ATP binding	39	551	0.070780399
GO:0010218	biological_process	response to far red light	6	551	0.010889292
GO:0005525	molecular_function	GTP binding	1	551	0.001814882
GO:0071417	biological_process	cellular response to organonitrogen compound	7	551	0.012704174
GO:0000455	biological_process	enzyme-directed rRNA pseudouridine synthesis	2	551	0.003629764
GO:0010226	biological_process	response to lithium ion	6	551	0.010889292
GO:0005543	molecular_function	phospholipid binding	1	551	0.001814882
GO:0010243	biological_process	response to organonitrogen compound	11	551	0.019963702
GO:0042110	biological_process	T cell activation	1	551	0.001814882
GO:0032940	biological_process	secretion by cell	6	551	0.010889292
GO:0032941	biological_process	secretion by tissue	1	551	0.001814882
GO:0042127	biological_process	regulation of cell proliferation	1	551	0.001814882
GO:0019344	biological_process	cysteine biosynthetic process	1	551	0.001814882
GO:0010286	biological_process	heat acclimation	20	551	0.036297641
GO:0000723	biological_process	telomere maintenance	2	551	0.003629764
GO:0019359	biological_process	nicotinamide nucleotide biosynthetic process	2	551	0.003629764
GO:0046631	biological_process	alpha-beta T cell activation	1	551	0.001814882
GO:0046632	biological_process	alpha-beta T cell differentiation	1	551	0.001814882
GO:0000726	biological_process	non-recombinational repair	2	551	0.003629764
GO:0019362	biological_process	pyridine nucleotide metabolic process	5	551	0.00907441
