Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja03-20170410,Area etnp-ja03-20170410,#Peptides,#Unique,#Spec etnp-ja03-20170410,PTM,Avg. Mass,Description
2,24964,ETNP_90m_PROKKA_168214,254.04,89,89,,46,0,88,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct; Phosphorylation (STY); 3 more,11111,Photosystem II 12 kDa extrinsic protein
2,24967,ETNP_140m_PROKKA_164346,254.04,76,76,,46,0,88,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct; Phosphorylation (STY); 3 more,13052,Photosystem II 12 kDa extrinsic protein precursor
2,24966,ETNP_120m_PROKKA_24357,254.04,76,76,,46,0,88,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct; Phosphorylation (STY); 3 more,13052,Photosystem II 12 kDa extrinsic protein precursor
2,24965,ETNP_100m_PROKKA_52245,254.04,76,76,,46,0,88,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct; Phosphorylation (STY); 3 more,13052,Photosystem II 12 kDa extrinsic protein precursor
1,64,gi|54036848,248.56,12,12,1.05E9,22,19,127,Deamidation (NQ); Dehydration; Sodium adduct; Acetylation (N-term); Methylation(KR); 11 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,24963,ETNP_100m_particle_PROKKA_12435,248.48,76,76,4.9E7,43,22,81,Oxidation (M); Sodium adduct; Formylation; Deamidation (R); Methylation(others),13019,Photosystem II 12 kDa extrinsic protein precursor
3,24962,ETNP_100m_PROKKA_02317,248.48,76,76,4.9E7,43,22,81,Oxidation (M); Sodium adduct; Formylation; Deamidation (R); Methylation(others),13019,Photosystem II 12 kDa extrinsic protein precursor
3,24961,ETNP_90m_PROKKA_27133,248.48,76,76,4.9E7,43,22,81,Oxidation (M); Sodium adduct; Formylation; Deamidation (R); Methylation(others),13019,Photosystem II 12 kDa extrinsic protein precursor
3,24960,ETNP_120m_PROKKA_126325,248.48,76,76,4.9E7,43,22,81,Oxidation (M); Sodium adduct; Formylation; Deamidation (R); Methylation(others),13019,Photosystem II 12 kDa extrinsic protein precursor
5,24969,ETNP_110m_PROKKA_45826,244.58,76,76,2.37E6,41,5,78,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct; Phosphorylation (STY); 3 more,13042,Photosystem II 12 kDa extrinsic protein precursor
5,24968,ETNP_160m_PROKKA_83311,244.58,76,76,2.37E6,41,5,78,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct; Phosphorylation (STY); 3 more,13076,Photosystem II 12 kDa extrinsic protein precursor
8,25129,ETNP_100m_particle_PROKKA_97369,200.35,63,63,2.67E7,35,35,54,Deamidation (NQ); Hexose (NSY),7671,Photosystem I reaction center subunit IV
8,25128,ETNP_120m_particle_PROKKA_46067,200.35,63,63,2.67E7,35,35,54,Deamidation (NQ); Hexose (NSY),7685,Photosystem I reaction center subunit IV
8,25127,ETNP_100m_PROKKA_85480,200.35,63,63,2.67E7,35,35,54,Deamidation (NQ); Hexose (NSY),7671,Photosystem I reaction center subunit IV
8,25126,ETNP_110m_PROKKA_04004,200.35,63,63,2.67E7,35,35,54,Deamidation (NQ); Hexose (NSY),7685,Photosystem I reaction center subunit IV
8,25125,ETNP_140m_PROKKA_82407,200.35,63,63,2.67E7,35,35,54,Deamidation (NQ); Hexose (NSY),7685,Photosystem I reaction center subunit IV
8,25124,NP_100m_PROKKA_25090,200.35,63,63,2.67E7,35,35,54,Deamidation (NQ); Hexose (NSY),7685,Photosystem I reaction center subunit IV
16,25413,ETNP14_68maa_PROKKA_58668,191.68,41,41,,33,0,40,Carbamidomethylation; Oxidation (M); Dethiomethyl,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
