Location,Date,Station_No,Time,DO,Temperature,DO_Saturation,Average_DO_saturation,delta_DO,delta_time,rate_of_change_DO,K,rate_of_change_DO_corrected
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,6:27,5.4,27.3,83.1,,,,,,
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,7:08,5.2,27.2,80.8,82.0,-0.1,0.7,-0.20,3.47,-0.8
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,8:09,5.5,21.2,84.1,82.5,0.2,1.0,0.23,3.47,-0.4
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,9:09,5.2,27.5,80.3,82.2,-0.3,1.0,-0.28,3.47,-0.9
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,10:08,5.5,27.7,86.5,83.4,0.3,1.0,0.35,3.47,-0.2
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,11:10,6.0,28.2,93.6,90.1,0.4,1.0,0.43,3.47,0.1
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,13:09,5.3,28.3,83.7,88.7,-0.6,2.0,-0.31,3.47,-0.7
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,14:07,5.9,28.3,92.5,88.1,0.6,1.0,0.57,3.47,0.2
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,15:09,6.3,28.3,98.2,95.4,0.4,1.0,0.37,3.47,0.2
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,16:10,6.7,28.6,106.2,102.2,0.5,1.0,0.46,3.47,0.5
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,17:09,6.9,28.6,109.0,107.6,0.2,1.0,0.17,3.47,0.4
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,18:14,6.5,28.5,101.8,105.4,-0.5,1.1,-0.42,3.47,-0.2
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129950,19:02,6.1,28.4,96.2,99.0,-0.3,0.8,-0.39,3.47,-0.4
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,6:39,5.4,27.3,84.3,,,,,,
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,7:19,5.4,27.2,83.5,83.9,0.0,0.7,-0.03,1.68,-0.3
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,8:18,5.7,27.2,87.4,85.5,0.2,1.0,0.24,1.68,0.0
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,9:18,5.7,27.6,88.8,88.1,0.1,1.0,0.08,1.68,-0.1
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,10:17,6.3,27.4,98.9,93.9,0.6,1.0,0.60,1.68,0.5
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,11:20,6.5,28.3,101.3,100.1,0.2,1.1,0.14,1.68,0.1
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,13:20,6.9,28.5,107.7,104.5,0.4,2.0,0.20,1.68,0.3
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,14:18,7.5,28.7,116.9,112.3,0.6,1.0,0.60,1.68,0.8
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,15:20,7.2,28.8,112.7,114.8,-0.3,1.0,-0.29,1.68,0.0
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,16:23,7.5,29.0,117.9,115.3,0.3,1.1,0.30,1.68,0.6
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,17:18,7.4,29.0,116.3,117.1,-0.1,0.9,-0.11,1.68,0.2
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129945,18:53,7.0,28.6,110.0,113.2,-0.4,1.6,-0.22,1.68,0.0
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,6:44,4.7,27.6,71.0,,,,,,
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,7:25,4.4,27.6,68.3,69.7,-0.3,0.7,-0.48,2.04,-1.1
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,8:25,4.5,27.6,69.8,69.1,0.1,1.0,0.10,2.04,-0.5
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,9:23,4.5,27.8,68.3,69.1,0.0,1.0,0.00,2.04,-0.6
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,10:23,4.9,28.0,75.5,71.9,0.4,1.0,0.36,2.04,-0.2
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,11:25,5.0,28.3,78.2,76.9,0.1,1.0,0.12,2.04,-0.4
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,13:25,6.4,28.7,100.6,89.4,1.4,2.0,0.72,2.04,0.5
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,14:23,7.3,28.9,114.4,107.5,0.9,1.0,0.89,2.04,1.0
