Sample Name,Depth,Net or Cone,Tracer,Mass_Flux_(mg/day/m2) ,Station
2-2_50m,50,cone,NH4,145.51,P1
3-3_150m,150,net,n/a,63.15,P1
1-5_100m,100,cone,NO2,66.56,P1
1-5_150m,150,cone,NO2,96.07,P1
3-7_90m,90,cone,NO2,31.45,P1
3-7_355m,355,net,NO2,28.19,P1
2-6_110m,110,cone,NO2,67.55,P1
2-6_132m,132,net,NO2,14.83,P1
4-4_700m,700,net,n/a,24.69,P1
1-8_73m_,73,cone,Fe 57/58,46.45,P1
1-8_120m,120,cone,Fe 57/58,38.91,P1
2-9_74m,74,cone,n/a,8.8,P1
3-10_68m,68,cone,n/a,38.75,P1
3-10_168m,168,net,n/a,26.53,P1
1-12_73m,73,cone,n/a,13.55,P2
1-12_148m,148,cone,n/a,27.1,P2
2-14_100m,100,cone,NO2,64.36,P2
2-14_150m,150,net,NO2,37.45,P2
3-15_120m,120,cone,NO2,45.21,P2
3-15_179m,179,net,NO2,29.61,P2
1-16_113m,113,cone,NO2,47.76,P2
1-16_140m,140,cone,NO2,59.79,P2
2-17_100m,100,cone,NO2,43.98,P2
2-17_150m,150,net,NO2,23.63,P2
3-18_120m,120,cone,NO2,65.2,P2
3-18_180m,180,net,NO2,5.03,P2
4-13_265m,265,net,n/a,4.03,P2
4-13_965m,965,net,n/a,1.86,P2
1-19_119m,119,cone,Fe,29.89,P2
2-20_312m,312,net,n/a,18.52,P2
3-21_365m,365,net,n/a,11.43,P2
3-21_452m,452,net,n/a,30.22,P2
4-22_59m,59,cone,n/a,32.96,P2
4-22_69m,69,cone,n/a,75.72,P2
