Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 366,Coverage (%) 367,Coverage (%) 368,Coverage (%) 369,Coverage (%) 370,Coverage (%) 371,Coverage (%) 372,Coverage (%) 373,Coverage (%) 374,Coverage (%) 376,Coverage (%) 377,Coverage (%) 379,Coverage (%) 388,Coverage (%) 380,Coverage (%) 375,Area 366,Area 367,Area 368,Area 369,Area 370,Area 371,Area 372,Area 373,Area 374,Area 376,Area 377,Area 379,Area 388,Area 380,Area 375,#Peptides,#Unique,#Spec 366,#Spec 367,#Spec 368,#Spec 369,#Spec 370,#Spec 371,#Spec 372,#Spec 373,#Spec 374,#Spec 376,#Spec 377,#Spec 379,#Spec 388,#Spec 380,#Spec 375,PTM,Avg. Mass,Description
3,4,ETNP_100,263.68,100,26,0,0,0,0,0,98,89,51,0,96,26,0,70,0,1.32E5,,,,,,2.12E8,7.47E7,3.07E6,,6.44E6,6.1E5,,2.49E7,,80,79,1,0,0,0,0,0,119,41,5,0,12,1,0,26,0,Oxidation (M),5311,hypothetical protein
7,3,ETNP_100,258.99,49,15,0,0,0,0,0,45,37,26,13,35,13,0,27,0,7.59E4,,,,,,2.25E8,7.86E7,2.64E6,1.12E5,5.84E6,1.3E6,,2.44E7,,62,44,2,0,0,0,0,0,84,40,7,1,7,2,0,12,0,,9588,hypothetical protein
1,2,54036848,235.81,12,11,9,9,9,9,9,11,9,12,9,9,11,11,11,0,4.12E8,2.29E8,9.19E7,3.06E8,1.63E8,2.43E8,3.05E8,3.92E8,3.8E8,2.71E8,2.32E8,3.63E8,1.57E8,2.36E8,,23,16,50,33,29,39,33,42,38,39,44,36,30,41,34,35,0,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,1,|#CONTAM#TRYP_PIG|,230.71,75,52,56,24,53,47,39,24,31,46,23,16,31,38,45,0,5.3E8,4.5E8,2.19E8,3.83E8,5.9E8,4.64E8,1.01E8,9.81E7,1.38E8,2.39E8,2.19E8,6.68E8,2.66E8,4.31E8,,49,45,32,23,13,23,20,16,32,17,32,20,11,28,11,22,0,Carbamidomethylation; Oxidation (M),24409,sp|#CONTAM#TRYP_PIG|
8,42,ETNP_100,217.16,67,49,13,10,0,0,0,67,64,42,61,42,52,24,37,0,2.4E4,,,,,,9.51E6,2.32E6,5.75E4,1.35E6,,1.53E6,,5.37E5,,41,14,9,2,1,0,0,0,44,18,9,7,4,7,2,5,0,Oxidation (M),7412,Core histone H2A/H2B/H3/H4
5,5,XP_003062500,193.38,44,27,28,8,11,0,0,32,27,24,13,11,6,8,4,0,,,,,,,4.23E5,3.99E5,,,,,,,,64,3,24,21,5,5,0,0,38,21,24,11,12,4,4,2,0,Carbamidomethylation; Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
5,6,XP_003058621,193.38,44,27,28,8,11,0,0,32,27,24,13,11,6,8,4,0,,,,,,,4.23E5,3.99E5,,,,,,,,64,3,24,21,5,5,0,0,38,21,24,11,12,4,4,2,0,Carbamidomethylation; Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
36,9,XP_003062035,189.32,52,42,22,6,0,0,0,47,38,33,34,24,16,21,21,0,2.55E6,3.07E5,,,,,3.6E5,3.47E5,5.19E5,,,,,,,32,3,13,4,1,0,0,0,31,16,12,5,4,2,3,4,0,,12701,predicted protein  Micromonas pusilla CCMP1545
36,10,XP_003058519,189.32,52,42,22,6,0,0,0,47,38,33,34,24,16,21,21,0,2.55E6,3.07E5,,,,,3.6E5,3.47E5,5.19E5,,,,,,,32,3,13,4,1,0,0,0,31,16,12,5,4,2,3,4,0,,12701,predicted protein  Micromonas pusilla CCMP1545
36,11,XP_003055512,189.32,52,42,22,6,0,0,0,47,38,33,34,24,16,21,21,0,2.55E6,3.07E5,,,,,3.6E5,3.47E5,5.19E5,,,,,,,32,3,13,4,1,0,0,0,31,16,12,5,4,2,3,4,0,,12701,histone H2B  Micromonas pusilla CCMP1545
36,12,XP_003080759,189.32,48,39,20,6,0,0,0,43,35,30,31,22,15,19,19,0,2.55E6,3.07E5,,,,,3.6E5,3.47E5,5.19E5,,,,,,,32,3,13,4,1,0,0,0,31,16,12,5,4,2,3,4,0,,13731,histone H2B ISS  Ostreococcus tauri
36,13,ETNP_70,189.32,49,40,20,6,0,0,0,44,36,31,32,23,16,20,20,0,2.55E6,3.07E5,,,,,3.6E5,3.47E5,5.19E5,,,,,,,32,3,13,4,1,0,0,0,31,16,12,5,4,2,3,4,0,,13742,Core histone H2A/H2B/H3/H4
36,14,XP_003082252,189.32,43,36,18,5,0,0,0,39,32,28,28,20,14,17,17,0,2.55E6,3.07E5,,,,,3.6E5,3.47E5,5.19E5,,,,,,,32,3,13,4,1,0,0,0,31,16,12,5,4,2,3,4,0,,15314,histone H2B ISS  Ostreococcus tauri
36,15,ETNP_70,189.32,39,32,16,5,0,0,0,35,29,25,25,18,12,16,16,0,2.55E6,3.07E5,,,,,3.6E5,3.47E5,5.19E5,,,,,,,32,3,13,4,1,0,0,0,31,16,12,5,4,2,3,4,0,,16840,Core histone H2A/H2B/H3/H4
43,294,ETNP_90,189.21,39,22,8,0,0,0,0,33,29,18,18,18,20,8,8,0,1.28E5,,,,,,4.71E5,2.48E5,,,,,,,,27,6,8,2,0,0,0,0,25,13,7,3,3,3,1,2,0,,12542,Core histone H2A/H2B/H3/H4
6,17,XP_003080933,188.54,35,24,22,7,8,0,0,23,24,23,10,10,6,10,3,0,,,,,,,,,,,,,7.78E4,,,58,1,23,19,5,4,0,0,35,20,24,10,12,4,5,2,0,Carbamidomethylation; Oxidation (M),52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
38,74,ETNP_90,185.05,34,32,20,6,0,0,0,32,33,32,27,18,16,14,14,0,1.84E6,1.05E6,1.12E5,,,,,1.93E6,3.46E5,,,,,,,28,2,11,4,1,0,0,0,27,16,12,4,3,2,2,3,0,,13120,Core histone H2A/H2B/H3/H4
38,75,ETNP_70,185.05,34,32,20,6,0,0,0,32,33,32,27,18,16,14,14,0,1.84E6,1.05E6,1.12E5,,,,,1.93E6,3.46E5,,,,,,,28,2,11,4,1,0,0,0,27,16,12,4,3,2,2,3,0,,13147,Core histone H2A/H2B/H3/H4
65,702,ETNP_120,184.44,16,6,0,0,0,0,0,12,13,10,6,6,10,0,0,0,,,,,,,1.78E5,,,,,,,,,23,1,4,0,0,0,0,0,20,9,5,1,2,3,0,0,0,,23591,Core histone H2A/H2B/H3/H4
65,703,ETNP_120,184.44,16,6,0,0,0,0,0,12,13,10,6,6,10,0,0,0,,,,,,,1.78E5,,,,,,,,,23,1,4,0,0,0,0,0,20,9,5,1,2,3,0,0,0,,23591,Core histone H2A/H2B/H3/H4
65,704,ETNP_120,184.44,16,6,0,0,0,0,0,12,13,10,6,6,10,0,0,0,,,,,,,1.78E5,,,,,,,,,23,1,4,0,0,0,0,0,20,9,5,1,2,3,0,0,0,,23591,Core histone H2A/H2B/H3/H4
61,327,EJK69581,180.08,44,23,0,6,0,0,0,31,25,13,22,16,8,6,6,0,,,,,,,4.66E5,,,,,,,,,22,1,6,0,1,0,0,0,17,9,4,3,3,1,1,1,0,,12922,hypothetical protein THAOC_09149  Thalassiosira oceanica
61,328,EJK60528,180.08,44,23,0,6,0,0,0,31,25,13,22,16,8,6,6,0,,,,,,,4.66E5,,,,,,,,,22,1,6,0,1,0,0,0,17,9,4,3,3,1,1,1,0,,12922,hypothetical protein THAOC_19091  Thalassiosira oceanica
