Station,Type,Date,Longitude,Latitude,Pr [db],Depth [m],Temp [C],Sal [PSU],Sigma-0,Fluor [ug/L],Attn [1/m],Trans [%],Par,O2 [umol/kg],O2 [%],Bottle
P2(27),B,10/03/19,-106.8886,16.796,3037.782,2998.151,1.691,34.715,27.784,0.0237,0,100.0003,0,116.51,34.89,1
P2(27),B,10/03/19,-106.88866,16.796,2783.772,2749.067,1.71,34.713,27.779,0.027,0.0004,99.9912,0,113.68,34.06,2
P2(27),B,10/03/19,-106.8887,16.796,2530.006,2499.936,1.789,34.707,27.767,0.0267,0.0009,99.9762,0,106.66,32.02,3
P2(27),B,10/03/19,-106.8887,16.796,2276.254,2250.529,1.947,34.698,27.746,0.0315,0.0031,99.9221,0,96.75,29.16,4
P2(27),B,10/03/19,-106.88882,16.796,2023.28,2001.597,2.144,34.687,27.721,0.0382,0.0043,99.8931,0,85.6,25.92,5
P2(27),B,10/04/19,-106.88892,16.796,1765.814,1747.948,2.591,34.662,27.663,0.0512,0.0073,99.8171,0,63.74,19.51,6
P2(27),B,10/04/19,-106.889,16.796,1514.218,1499.788,3.014,34.642,27.608,0.0632,0.0081,99.7972,0,47.37,14.65,7
P2(27),B,10/04/19,-106.88926,16.796,1262.183,1250.901,3.789,34.612,27.509,0.0632,0.0115,99.7125,0,23.35,7.36,8
P2(27),B,10/04/19,-106.88906,16.796,1007.314,998.915,4.461,34.592,27.421,0.0634,0.0115,99.7115,0,9.44,3.02,9
P2(27),B,10/04/19,-106.88884,16.796,857.052,850.211,5.215,34.577,27.323,0.0637,0.0085,99.7887,0,2.61,0.85,10
P2(27),B,10/04/19,-106.8887,16.796,707.743,702.345,6.003,34.571,27.221,0.0627,0.008,99.801,0,1.15,0.38,11
P2(27),B,10/04/19,-106.8886,16.796,505.959,502.343,7.712,34.599,27.009,0.0637,0.0105,99.7378,0,1.19,0.41,12
P2(27),B,10/04/19,-106.8886,16.796,305.173,303.139,10.906,34.745,26.601,0.0637,0.021,99.4758,0,0.89,0.33,13
P2(27),B,10/04/19,-106.88858,16.796,305.543,303.506,10.907,34.745,26.601,0.0639,0.022,99.4511,0,0.9,0.33,14
P2(27),B,10/04/19,-106.88858,16.796,254.525,252.859,11.455,34.784,26.53,0.0517,0.0242,99.397,0,0.85,0.32,15
P2(27),B,10/04/19,-106.8886,16.796,204.276,202.964,11.909,34.801,26.457,0.0579,0.0291,99.2754,0,0.91,0.34,16
P2(27),B,10/04/19,-106.8886,16.796,183.922,182.75,12.144,34.811,26.419,0.0579,0.0298,99.2577,0,0.87,0.33,17
P2(27),B,10/04/19,-106.88864,16.796,154.031,153.06,12.867,34.822,26.286,0.101,0.0362,99.0976,0,0.85,0.33,18
P2(27),B,10/04/19,-106.88865,16.796,124.964,124.185,13.648,34.793,26.104,0.3318,0.0326,99.1891,0,0.81,0.32,19
P2(27),B,10/04/19,-106.88864,16.796,123.597,122.827,13.669,34.791,26.098,0.3868,0.0319,99.2069,0,0.81,0.32,20
P2(27),B,10/04/19,-106.88864,16.796,123.512,122.743,13.671,34.79,26.097,0.3691,0.0323,99.1961,0,0.8,0.32,21
P2(27),B,10/04/19,-106.88864,16.796,123.522,122.753,13.67,34.791,26.098,0.3806,0.032,99.2047,0,0.79,0.31,22
P2(27),B,10/04/19,-106.88864,16.796,122.326,121.564,13.674,34.791,26.097,0.3507,0.0324,99.1934,0,0.8,0.31,23
P2(27),B,10/04/19,-106.88864,16.796,123.701,122.931,13.667,34.791,26.099,0.3315,0.0317,99.2106,0,0.77,0.3,24
P2 (28),B,10/04/19,-106.89444,16.79592,320.796,318.646,10.795,34.738,26.615,0.0632,0.018,99.555,1.00E-12,0.84,0.31,1
