sample id,Station,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day),d15N vs Air N2 (permil),d13C vs VPDB (permil)
1-1_60m_+p,P1,60,60,cone,88.65132562,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2-2_50m_+p,P1,50,50,cone,190.8767912,NaN,NaN,329.466918726015,329.466918726015,NaN,NaN,NaN
2-2_50m_top,P1,50,50,cone,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3-3_150m_+p,P1,150,150,net,159.3757707,6.80101053224957,53.60557055,1380.74796747967,1380.74796747967,,,
3-3_150m_top,P1,150,150,net,,6.33046700778707,,,,,,
1-5_100m_+p,P1,100,100,cone,127.9433857,,,240.000000011294,240.000000011294,,,
1-5_100m_top,P1,100,100,cone,,25.7141237285309,45.62906039,952.869565217391,952.869565217391,,,
1-5_150m_+p,P1,150,150,cone,132.0557482,,,,,,,
1-5_150m_top,P1,150,150,cone,,37.4768756857119,82.12926293,,,,,
3-7_90m_+p,P1,90,90,cone,103.7328318,,,,,,,
3-7_90m_top,P1,90,90,cone,,18.2032700523594,55.80971782,,,,,
3-7_355m_+p,P1,355,355,net,52.10180487,,,601.724877856229,601.724877856229,,,
3-7_355m_top,P1,355,355,net,,8.48014138257403,169.7946237,1286.93766937669,1286.93766937669,,,
2-6_110m_+p,P1,110,110,cone,109.2859583,,,303.109565120396,303.109565120396,,,
2-6_110m_top,P1,110,110,cone,,18.7927593107571,69.76744055,277.874396135266,277.874396135266,,,
2-6_132m_+p,P1,132,132,net,40.74176943,,,183.133658477983,183.133658477983,,,
2-6_132m_top,P1,132,132,net,,46.395484431212,45.19916753,1682.96296296296,1682.96296296296,,,
4-4_700m_+p,P1,700,700,net,32.16404374,,,46.3317073217063,46.3317073217063,,,
4-4_700m_top,P1,700,700,net,,7.9589104323405,39.43923292,1225.07678410117,1225.07678410117,,,
1-8_73m_+p,P1,73,73,cone,68.1893743,,,,,,,
1-8_73m_top,P1,73,73,cone,,,,,,,,
1-8_120m_+p,P1,120,120,cone,60.64650195,,,340.043478260869,340.043478260869,,,
1-8_120m_top,P1,120,120,cone,,5.0796973239683,140.8612533,3484.17391304348,3484.17391304348,,,
2-9_74m_+p_top,P1,74,74,cone,38.13104837,22.2771308148611,52.62885675,,,,,
2-9_94m_+p,P1,94,94,net,17.18357041,,,,,,,
3-10_68m_+p,P1,68,68,cone,92.05884388,12.9614693862591,44.18219015,255.065217455071,255.065217455071,,,
3-10_68m_top,P1,68,68,cone,,15.8670241369244,447.2271782,1786.95652173913,1786.95652173913,,,
3-10_168m_+p,P1,168,168,net,48.55500417,5.9652201118816,185.4257014,661.073170561108,661.073170561108,,,
1-12_73m_+p,P2,73,73,cone,81.78751095,18.1786971830986,103.0642534,,,,21.7209,-22.9725
1-12_148m_+p,P2,148,148,cone,90.82039063,19.7702717332467,66.99777467,,,24,51.2103,-25.9195
2-14_100m_+p,P2,100,100,cone,138.4426437,,,314.713043550195,314.713043550195,15,,
2-14_100m_top,P2,100,100,cone,,10.6130959436713,37.5761124,,,,36.8276,-26.0099
2-14_150m_+p,P2,150,150,net,70.65449111,,,1920.24529660616,1920.24529660616,16,,
2-14_150m_top,P2,150,150,net,,,,,,,,
3-15_120m_+p,P2,120,120,cone,129.1017662,,,,,,,
3-15_120m_top,P2,120,120,cone,,13.4542583537082,136.9401816,,,,37.3267,-23.3694
3-15_179m_+p,P2,179,179,net,62.81986415,,,,,31,,
3-15_179m_top,P2,179,179,net,,,,,,,,
1-16_113m_+p,P2,113,113,cone,92.04438506,,,,,34,,
1-16_113m_top,P2,113,113,cone,,,,,,,,
1-16_140m_+p,P2,140,140,cone,119.9515607,,,314.713043550195,314.713043550195,10,,
1-16_140m_top,P2,140,140,cone,,,,,,,,
2-17_100m_+p,P2,100,100,cone,111.1657614,,,,,29,,
2-17_100m_top,P2,100,100,cone,,7.59295847115031,115.678228,,,,19.4703,-24.284
2-17_150m_+p,P2,150,150,net,56.4248001,,,,,30,35.27,-26.7068
2-17_150m_top,P2,150,150,net,,13.0064207070594,22.80088017,,,,39.2771,-22.4823
2-17_150m_top1of2,P2,150,150,net,,,,,,,,
2-17_150m_top2of2,P2,150,150,net,,,,,,21,,
3-18_120m_+p,P2,120,120,cone,139.1207513,,,,,39,,
3-18_120m_top,P2,120,120,cone,,9.60336494452785,165.7955664,,,,32.0272,-22.8841
