,Station,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day),d15N vs Air N2 (permil),d13C vs VPDB (permil),depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,par
0,P2,73,73,cone,81.78751095,18.1786971830986,103.0642534,NULL,NULL,NULL,21.7209,-22.9725,72.555,16.58962,-106.92288,18.1483,18.1464,18.1357,34.6423,34.6487,1025.282,24.9614,0.3813,8.217,233.87545,0.149,96.343,1e-12
1,P2,148,148,cone,90.82039063,19.7702717332467,66.99777467,NULL,NULL,24.0,51.2103,-25.9195,147.071,16.58962,-106.92288,12.7955,12.7955,12.7755,34.8053,34.8129,1026.9442,26.2828,0.10563,0.405,259.33631,0.1404,96.551,1e-12
2,P2,100,100,cone,138.4426437,NULL,NULL,314.713043550195,314.713043550195,15.0,NULL,NULL,99.384,16.58962,-106.92288,14.8701,14.8696,14.8551,34.7595,34.7669,1026.2586,25.8149,0.51413,0.8140000000000001,248.8369,0.15,96.3194,1e-12
3,P2,100,100,cone,NULL,10.6130959436713,37.5761124,NULL,NULL,NULL,36.8276,-26.0099,99.384,16.58962,-106.92288,14.8701,14.8696,14.8551,34.7595,34.7669,1026.2586,25.8149,0.51413,0.8140000000000001,248.8369,0.15,96.3194,1e-12
4,P2,100,100,cone,111.1657614,NULL,NULL,NULL,NULL,29.0,NULL,NULL,99.384,16.58962,-106.92288,14.8701,14.8696,14.8551,34.7595,34.7669,1026.2586,25.8149,0.51413,0.8140000000000001,248.8369,0.15,96.3194,1e-12
5,P2,100,100,cone,NULL,7.59295847115031,115.678228,NULL,NULL,NULL,19.4703,-24.284,99.384,16.58962,-106.92288,14.8701,14.8696,14.8551,34.7595,34.7669,1026.2586,25.8149,0.51413,0.8140000000000001,248.8369,0.15,96.3194,1e-12
6,P2,150,150,net,70.65449111,NULL,NULL,1920.24529660616,1920.24529660616,16.0,NULL,NULL,149.058,16.58962,-106.92288,12.7936,12.7936,12.7733,34.8048,34.8124,1026.9531,26.2829,0.10517,0.423,259.34706,0.142,96.5132,1e-12
7,P2,150,150,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,149.058,16.58962,-106.92288,12.7936,12.7936,12.7733,34.8048,34.8124,1026.9531,26.2829,0.10517,0.423,259.34706,0.142,96.5132,1e-12
8,P2,150,150,net,56.4248001,NULL,NULL,NULL,NULL,30.0,35.27,-26.7068,149.058,16.58962,-106.92288,12.7936,12.7936,12.7733,34.8048,34.8124,1026.9531,26.2829,0.10517,0.423,259.34706,0.142,96.5132,1e-12
9,P2,150,150,net,NULL,13.0064207070594,22.80088017,NULL,NULL,NULL,39.2771,-22.4823,149.058,16.58962,-106.92288,12.7936,12.7936,12.7733,34.8048,34.8124,1026.9531,26.2829,0.10517,0.423,259.34706,0.142,96.5132,1e-12
