sample id,Year,"Station: P1 is onshore, P2 is offshore",depth [m],Flux (mg/m2/day),proportion of sample that is flux material (not filter),Mass (mg) sent for C/N analysis (Isolab@UW) natural (includes GF75 filter in mass),Amount N total  (ug),Amount C total (ug),C:N total,Mass (mg) sent for C/N analysis (Isolab@UW) acidified,Amount N acidified (ug),Amount C acidified (ug),C:N organic,Portion of sample filter extracted for protein (likely 1/4 filter for most samples),Lowry Protein Conc (ug/mL)
1-1_60m_+p,2017,P1,60,88.65132562,0.2476859906,,,,,,,,,,34.93
2-2_50m_ctl,2017,P1,50,,,,,,,,,,,,
2-2_50m_+p,2017,P1,50,190.8767912,0.2221838208,31.4,38.49,397.1659,10.3186775785918,19.8,23.9557,224.7257,9.38088638612105,,36.31
2-2_50m_top,2017,P1,50,,0.194892025,,,,,,,,,,54.79
2-2_320m_netwash,2017,P1,320,,0.3349108033,,,,,,,,,,
3-3_150m_ctl,2017,P1,150,,0.194892025,,,,,,,,,,0
3-3_150m_+p,2017,P1,150,83.15257603,0.2476859906,31.5,29.1405,222.8915,7.64885640260119,25.3,24.1259,164.0805,6.80101053224957,,212.29
3-3_150m_top,2017,P1,150,,0.2351474238,32.2,33.1379,259.9648,7.8449388766337,25.2,27.7126,175.4337,6.33046700778707,,17.12
3-3_150m_abvtop1,2017,P1,150,,0.2829507098,,,,,,,,,,
3-3_150m_abvtop2,2017,P1,150,,0.271568975,,,,,,,,,,
3-3_150m_abvtop3,2017,P1,150,,0.2598200875,,,,,,,,,,
3-3_150m_abvtop4,2017,P1,150,,0.2476859906,,,,,,,,,,
1-5_100m_+p,2017,P1,100,127.9433857,0.271568975,29.3,2.9915,71.9714,24.0586327929133,30,2.9985,77.1038,25.7141237285309,,19.55
1-5_100m_top,2017,P1,100,,0.063445825,,,,,,,,,,54.79
1-5_150m_+p,2017,P1,150,132.0557482,0.2221838208,27.4,2.7275,104.8122,38.4279376718607,23.9,2.3698,88.8127,37.4768756857119,,
1-5_150m_top,2017,P1,150,,0.2476859906,,,,,,,,,,
3-7_90m_ctl,2017,P1,90,,0.2351474238,,,,,,,,,,
3-7_90m_+p,2017,P1,90,103.7328318,0.208773197,17,3.4433,59.7165,17.3428106758052,23.3,3.1131,56.6686,18.2032700523594,,
3-7_90m_top,2017,P1,90,,0.194892025,,,,,,,,,,
3-7_355m_ctl,2017,P1,355,,0.208773197,,,,#DIV/0!,,,,,,62.33
3-7_355m_+p,2017,P1,355,52.10180487,0.2221838208,38.2,73.4874,677.7437,9.22258373544308,25.6,49.3413,418.4212,8.48014138257403,,192.74
3-7_355m_top,2017,P1,355,,0.3349108033,,,,,,,,,,178.08
3-7_355m_netwash,2017,P1,355,,0.2221838208,11.7,18.5208,188.1767,10.1602900522656,31.6,13.2628,167.2245,12.6085366589257,,79.45
2-6_110m_+p,2017,P1,110,109.2859583,0.208773197,25.2,4.7931,82.6589,17.2453944211471,24.2,3.8477,72.3089,18.7927593107571,,36.31
2-6_110m_top,2017,P1,110,,0.208773197,,,,,,,,,,14.38
2-6_132m_ctl,2017,P1,132,,0.208773197,,,,#DIV/0!,,,,#DIV/0!,,38.36
2-6_132m_+p,2017,P1,132,40.74176943,0.208773197,25.6,3.1972,141.4773,44.2503753284124,29.4,3.2244,149.5976,46.395484431212,,58.66
2-6_132m_top,2017,P1,132,,0.2221838208,,,,,,,,,,232.88
2-6_132m_netwash1,2017,P1,132,,0.3046794761,,,,#DIV/0!,,,,#DIV/0!,,144.52
2-6_132m_netwash2,2017,P1,132,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
2-6_132m_netwash3,2017,P1,132,,0.2939822373,18.3,17.1089,157.2463,9.19090648726686,15.6,13.2036,118.5457,8.97828622496895,,
4-4_700m_ctl,2017,P1,700,,0.208773197,29,1.7335,87.2978,50.3592731468128,26,1.4362,71.9624,50.106113354686,,79.45
4-4_700m_+p,2017,P1,700,32.16404374,0.2939822373,30.2,32.2203,307.7909,9.55270124735027,26.1,28.1653,224.1651,7.9589104323405,,47.49
4-4_700m_top,2017,P1,700,,0.2476859906,,,,,,,,,,339.04
4-4_700m_netwash1,2017,P1,700,,0.3046794761,,,,#DIV/0!,,,,#DIV/0!,,
4-4_700m_netwash2,2017,P1,700,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_ctl,2017,P1,265,,0.2351474237,26.2,1.7629,65.9229,37.39457711725,26.9,1.8685,60.5147,32.3867808402462,,17.81
4-11_265m_topnw1,2017,P1,265,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_topnw2,2017,P1,265,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_topnw3,2017,P1,265,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_topnw4,2017,P1,265,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_topnw5,2017,P1,265,,0.2351474237,29.7,12.2335,176.0052,14.3871500388278,25.6,11.3498,141.9816,12.5096125041851,,
4-11_265m_topnw6,2017,P1,265,,0.2939822373,,,,#DIV/0!,,,,#DIV/0!,,
1-8_73m_+p,2017,P1,73,68.1893743,0.2351474237,,,,#DIV/0!,,,,#DIV/0!,,
1-8_73m_top,2017,P1,73,,0.2598200875,,,,#DIV/0!,,,,#DIV/0!,,
1-8_120m_ctl,2017,P1,120,,0.2221838208,,,,#DIV/0!,,,,#DIV/0!,,10.96
1-8_120m_+p,2017,P1,120,60.64650195,0.1174777966,37.3,96.6056,509.0335,5.26919246917363,22,54.3155,275.9063,5.0796973239683,,78.21
1-8_120m_top,2017,P1,120,,0.2598200875,,,,,,,,,,400.68
2-9_74m_ctl,2017,P1,74,,0.134129159,25.6,2.1478,101.4033,47.2126361858646,25,1.9417,111.2036,57.2712571458001,,
2-9_74m_+p_top,2017,P1,74,38.13104837,0.194892025,25.9,5.976,118.6981,19.8624665327979,21,6.406,142.7073,22.2771308148611,,
2-9_94m_ctl,2017,P1,94,,0.194892025,,,,#DIV/0!,,,,#DIV/0!,,
2-9_94m_+p,2017,P1,94,17.18357041,0.2351474238,,,,#DIV/0!,,,,#DIV/0!,,
2-9_94m_topnw1,2017,P1,94,,0.2598200875,,,,#DIV/0!,,,,#DIV/0!,,
