,Station,Year,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),timeS,longitude,latitude,depSMlignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS
0,P2,2018,151,151,cone,59.93179319,12.312751677852399,114.48176640000001,NULL,NULL,397.723,-106.97898,16.984379999999998,151,13.0664,13.0654,4.0884730000000005,4.088405000000001,0.13707,12.3522,4.5591,0.0501,0,4.5591,0.0457,0.5103,0.0,4.5715,0,0.0,0,0.5094,34.7981,34.7984,26.2273,26.2277,0.0424,1.2919999999999998,0.501
1,P2,2018,151,151,cone,NULL,58.149572649572704,NULL,NULL,NULL,397.723,-106.97898,16.984379999999998,151,13.0664,13.0654,4.0884730000000005,4.088405000000001,0.13707,12.3522,4.5591,0.0501,0,4.5591,0.0457,0.5103,0.0,4.5715,0,0.0,0,0.5094,34.7981,34.7984,26.2273,26.2277,0.0424,1.2919999999999998,0.501
2,P2,2018,121,121,cone,140.2346446,25.7815533980582,142.19195259999998,NULL,NULL,367.569,-106.97898,16.984379999999998,121,13.7658,13.7679,4.153685,4.153891000000001,0.38976,12.3583,4.5522,0.0501,0,4.5522,0.1299,0.5118,0.0,4.6154,0,0.0,0,0.5109,34.7878,34.7878,26.0757,26.0752,0.0469,1.429,0.562
3,P2,2018,121,121,cone,NULL,76.40094339622641,NULL,NULL,NULL,367.569,-106.97898,16.984379999999998,121,13.7658,13.7679,4.153685,4.153891000000001,0.38976,12.3583,4.5522,0.0501,0,4.5522,0.1299,0.5118,0.0,4.6154,0,0.0,0,0.5109,34.7878,34.7878,26.0757,26.0752,0.0469,1.429,0.562
4,P2,2018,147,147,net,NULL,NULL,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
5,P2,2018,147,147,net,135.56910569999997,NULL,6.088336976,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
6,P2,2018,147,147,net,NULL,NULL,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
7,P2,2018,147,147,net,NULL,20.062937062937102,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
8,P2,2018,147,147,net,NULL,9.29615547106041,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
9,P2,2018,147,147,net,NULL,NULL,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
