sample id,Station,Year,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day)
1-30_151m_+P,P2,2018,151,151,cone,59.93179319,12.3127516778524,114.4817664,,,10
1-30_151m_ctl,P2,2018,151,151,cone,58.1495726495727,,,,,
4-31_121m_+P,P2,2018,121,121,cone,140.2346446,25.7815533980582,142.1919526,,,
4-31_121m_ctl,P2,2018,121,121,cone,76.4009433962264,,,,,
3-32_147m_top_remainder,P2,2018,147,147,net,,,,,,
3-32_147m_top,P2,2018,147,147,net,135.5691057,6.088336976,,,,
3-32_147m_+P_remainder,P2,2018,147,147,net,,,,,,
3-32_147m_ctl,P2,2018,147,147,net,20.0629370629371,,,,,
3-32_147m_nw1,P2,2018,147,147,net,9.29615547106041,,,,,
3-32_147m_nw2,P2,2018,147,147,net,,,,,,
3-32_147m_nw3,P2,2018,147,147,net,,,,,,
3-32_147m_nw4,P2,2018,147,147,net,,,,,,
2-33_368m_top,P2,2018,368,368,net,5.577733349,6.00653518496908,36.77803059,,,
2-33_368m_+P,P2,2018,368,368,net,7.78433862433862,,,,,375
2-33_368m_ctl,P2,2018,368,368,net,31.2538461538462,,,,,
2-33_368m_nw1 (does this exist?),P2,2018,368,368,net,,,,,,
2-33_368m_nw2,P2,2018,368,368,net,,,,,,
2-33_368m_nw3,P2,2018,368,368,net,7.1683748169839,,,,,
2-33_586m_top,P2,2018,586,586,net,8.164440297,8.00515093435553,49.69913676,,,
2-33_586m_+P,P2,2018,586,586,net,7.24497117232543,,,,,
2-33_586m_ctl,P2,2018,586,586,net,,,,,,
2-33_586m_nw,P2,2018,586,586,net,10.5844394527262,,,,,
4-34_87m_top,P2,2018,87,87,cone,24.18012422,4.72782874617737,54.81517583,,,
4-34_87m_+P,P2,2018,87,87,cone,4.95272525027809,,,,,38.5
4-34_87m_ctl,P2,2018,87,87,cone,10.8071895424837,,,,,
4-34_221m_top,P2,2018,221,221,cone,11.6933911159263,,,,,
4-34_221m_+P,P2,2018,221,221,cone,2.63057324840764,,,,,13
4-34_221m_ctl,P2,2018,221,221,cone,5.58258642765685,,,,,
3-36_85m_top,P2,2018,85,85,net,26.58868425,6.12341352528888,115.1818194,,,
3-36_85m_+P,P2,2018,85,85,net,5.66409124356144,,,,,530
3-36_85m_ctl,P2,2018,85,85,net,13.2683760683761,,,,,
3-36_85m_nw1,P2,2018,85,85,net,,,,,,
3-36_85m_nw2,P2,2018,85,85,net,8.43557336621455,,,,,
3-36_85m_nw3,P2,2018,85,85,net,,,,,,
3-36_147m_nw1,P2,2018,147,147,net,6.97915798249271,,,,,
3-36_147m_nw2,P2,2018,147,147,net,,,,,,
1-37_50m_+P1/top1,P1,2018,50,50,net,6.7035458711908,244.4055742,,,,
1-37_50m_+P/top2,P1,2018,50,50,net,,,,,,
1-37_50m_nw1,P1,2018,50,50,net,,,,,,
1-37_50m_nw2,P1,2018,50,50,net,7.96274373259053,,,,,
1-37_120m_+P/top,P1,2018,120,120,net,6.35134728285413,,,,,
1-37_120m_nw1,P1,2018,120,120,net,,,,,,
1-37_120m_nw2,P1,2018,120,120,net,,,,,,
1-37_120m_nw3,P1,2018,120,120,net,7.10068803490519,,,,,
1-37_120m_nw4,P1,2018,120,120,net,,,,,,
2-38_122m_top,P1,2018,122,122,cone,32.66219522,6.43644805571677,48.90482028,,,
