,Station,Year,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day),Adjusted N prod (nM N/day),Ctl bottle N2 production (nM/day),Babbin N production rates  (nM N/day),timeS,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS
0,P1,2018,50,50,net,NULL,6.7035458711908,244.4055742,NULL,NULL,NULL,NULL,NULL,NULL,158.576,-106.07343999999999,20.2636,50,16.0376,16.0381,4.363251999999999,4.363232,0.5442,12.3951,4.5105,0.62605,0,4.5105,0.1814,0.5201,0,4.5772,0,1.0935,0,0.5197,34.7046,34.7041,25.5136,25.5131,0.0743,2.262,0.93
1,P1,2018,50,50,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158.576,-106.07343999999999,20.2636,50,16.0376,16.0381,4.363251999999999,4.363232,0.5442,12.3951,4.5105,0.62605,0,4.5105,0.1814,0.5201,0,4.5772,0,1.0935,0,0.5197,34.7046,34.7041,25.5136,25.5131,0.0743,2.262,0.93
2,P1,2018,50,50,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158.576,-106.07343999999999,20.2636,50,16.0376,16.0381,4.363251999999999,4.363232,0.5442,12.3951,4.5105,0.62605,0,4.5105,0.1814,0.5201,0,4.5772,0,1.0935,0,0.5197,34.7046,34.7041,25.5136,25.5131,0.0743,2.262,0.93
3,P1,2018,50,50,net,NULL,7.96274373259053,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158.576,-106.07343999999999,20.2636,50,16.0376,16.0381,4.363251999999999,4.363232,0.5442,12.3951,4.5105,0.62605,0,4.5105,0.1814,0.5201,0,4.5772,0,1.0935,0,0.5197,34.7046,34.7041,25.5136,25.5131,0.0743,2.262,0.93
4,P1,2018,60,60,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.2,178.535,-106.07343999999999,20.2636,60,15.6035,15.6079,4.320025,4.320338,0.70957,12.3852,4.5216,0.22521,0,4.5216,0.2365,0.5228,0,4.5836,0,0.6501,0,0.5224,34.6952,34.6942,25.605,25.6033,0.0906,2.759,1.124
5,P1,2018,100,100,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42.8,259.374,-106.07343999999999,20.2636,100,13.6127,13.6124,4.141406,4.141566,0.23217,12.3665,4.5429,0.050671,0,4.5429,0.0774,0.5103,0,4.598,0,0.0049,0,0.5099,34.8206,34.8224,26.1321,26.1335,0.0431,1.311,0.514
6,P1,2018,120,120,net,NULL,6.35134728285413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,293.009,-106.07343999999999,20.263579999999997,120,13.2891,13.2894,4.111383999999999,4.1115900000000005,0.11709000000000001,12.3611,4.5489999999999995,0.050671,0,4.5489999999999995,0.0391,0.5094,0,4.6018,0,0.0049,0,0.509,34.8246,34.8262,26.201999999999998,26.2032,0.0395,1.202,0.46799999999999997
7,P1,2018,120,120,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,293.009,-106.07343999999999,20.263579999999997,120,13.2891,13.2894,4.111383999999999,4.1115900000000005,0.11709000000000001,12.3611,4.5489999999999995,0.050671,0,4.5489999999999995,0.0391,0.5094,0,4.6018,0,0.0049,0,0.509,34.8246,34.8262,26.201999999999998,26.2032,0.0395,1.202,0.46799999999999997
8,P1,2018,120,120,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,293.009,-106.07343999999999,20.263579999999997,120,13.2891,13.2894,4.111383999999999,4.1115900000000005,0.11709000000000001,12.3611,4.5489999999999995,0.050671,0,4.5489999999999995,0.0391,0.5094,0,4.6018,0,0.0049,0,0.509,34.8246,34.8262,26.201999999999998,26.2032,0.0395,1.202,0.46799999999999997
9,P1,2018,120,120,net,NULL,7.10068803490519,NULL,NULL,NULL,NULL,NULL,NULL,NULL,293.009,-106.07343999999999,20.263579999999997,120,13.2891,13.2894,4.111383999999999,4.1115900000000005,0.11709000000000001,12.3611,4.5489999999999995,0.050671,0,4.5489999999999995,0.0391,0.5094,0,4.6018,0,0.0049,0,0.509,34.8246,34.8262,26.201999999999998,26.2032,0.0395,1.202,0.46799999999999997
