sample id,Year,Station,Pressure [dbar],Flux (mg/m2/day),C flux organic,Trap type,CN total,CN organic,Protein flux  (ug/m2/day),Protein/org C of flux (ug protein/umol C)
1-1_60m_+p,2017,P1,60.0,88.65132562,cone,,,,,
2-2_50m_ctl,2017,P1,50.0,cone,,,,,,
2-2_50m_+p,2017,P1,50.0,190.8767912,cone,329.4669187,,,,
2-2_50m_top,2017,P1,50.0,cone,,,,,,
2-2_320m_netwash,2017,P1,320.0,net,10.31867758,9.380886386,,,,
3-3_150m_ctl,2017,P1,150.0,net,,,,,,
3-3_150m_+p,2017,P1,150.0,159.3757707,53.60557055,net,7.648856403,6.801010532,1380.747967,25.75754634
3-3_150m_top,2017,P1,150.0,net,7.844938877,6.330467008,,,,
3-3_150m_abvtop1,2017,P1,150.0,net,,,,,,
3-3_150m_abvtop2,2017,P1,150.0,net,,,,,,
3-3_150m_abvtop3,2017,P1,150.0,net,,,,,,
3-3_150m_abvtop4,2017,P1,150.0,net,,,,,,
1-5_100m_+p,2017,P1,100.0,127.9433857,cone,24.05863279,25.71412373,240,,
1-5_100m_top,2017,P1,100.0,45.62906039,cone,24.05863279,25.71412373,952.8695652,20.88295391,
1-5_150m_+p,2017,P1,150.0,132.0557482,cone,,,,,
1-5_150m_top,2017,P1,150.0,82.12926293,cone,38.42793767,37.47687569,,,
3-7_90m_ctl,2017,P1,90.0,cone,,,,,,
3-7_90m_+p,2017,P1,90.0,103.7328318,cone,,,,,
3-7_90m_top,2017,P1,90.0,55.80971782,cone,17.34281068,18.20327005,,,
3-7_355m_ctl,2017,P1,355.0,net,,,,,,
3-7_355m_+p,2017,P1,355.0,52.10180487,net,9.222583735,8.480141383,601.724878,,
3-7_355m_top,2017,P1,355.0,169.7946237,net,9.222583735,8.480141383,1286.937669,7.5793782,
3-7_355m_netwash,2017,P1,355.0,net,10.16029005,12.60853666,,,,
2-6_110m_+p,2017,P1,110.0,109.2859583,cone,17.24539442,18.79275931,303.1095652,,
