sample id,Station,Year,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),Protein/org C of flux (ug protein/umol C)
1-58_170m_NO2_ctl,P3,2019,170,170,Hybrid,7.75319567354966,,,,,
1-58_170m_NO2_+P,P3,2019,170,170,Hybrid,14.62984724,13.1826666666667,100.3934843,202.5483083,2.017544363,
1-58_570m_NO2_ctl,P3,2019,570,570,Hybrid,3.6622641509434,,,,,
1_58_570m_NO2_+P,P3,2019,570,570,Hybrid,41.66411217,7.29879518072289,15.92666572,52.53922915,3.298821617,
1-58_570m_NO2_top,P3,2019,570,570,Hybrid,9.72617743702081,,,,,
1-58_370m_ctl,P3,2019,370,370,Hybrid,1.85815047021944,,,,,
1-58_370m_+P,P3,2019,370,370,Hybrid,19.66438915,5.4967585089141,14.76380988,14.70959842,0.9963280845,
1-58_370m_NO2_top,P3,2019,370,370,Hybrid,6.57961447055717,,,,,
1-58_102m_ctl,P3,2019,102,102,Hybrid,24.9704142011834,,,,,
1-58_102m_+P,P3,2019,102,102,Hybrid,31.44875954,5.73174108688127,38.90881844,120.2948594,3.091711962,
1-58_102m_top,P3,2019,102,102,Hybrid,9.5391061452514,,,,,
1-58_770m_net_+P,P3,2019,770,770,Net,20.11954101,8.39540816326531,18.77829274,41.23605442,2.195942677,
1-58_770m_net_top,P3,2019,770,770,Net,11.0183881064163,,,,,
1-58_770m_net_nw,P3,2019,770,770,Net,7.13300230537329,,,,,
4-59_130m_NO2_+P,P3,2019,130,130,Hybrid,54.59667624,16.8604651162791,36.64505423,83.36974729,2.27506137,
4-59_130m_NO2_ctl,P3,2019,130,130,Hybrid,10.0321931589537,,,,,
4-59_130m_NO2_top,P3,2019,130,130,Hybrid,25.396694214876,,,,,
4-59_300m_Fe_top_split,P3,2019,300,300,Hybrid,82.77252678,8.90150250417362,25.61694486,43.50938879,1.698461273,
4-59_700m_NO2_+P,P3,2019,700,700,Hybrid,61.24302838,10.3601496725912,29.98676977,86.57859897,2.887226589,
4-59_700m_NO2_top,P3,2019,700,700,Hybrid,11.1135940409683,,,,,
4-59_700m_NO2_ctl,P3,2019,700,700,Hybrid,12.3389830508475,,,,,
4-59_965m_top,P3,2019,965,965,Hybrid,51.08955421,20.230985915493,16.79816516,129.3490879,7.700191459,
4-59_965m_+P,P3,2019,965,965,Hybrid,12.3266761768902,,,,,
4-59_965m_ctl,P3,2019,965,965,Hybrid,35.8697318007663,,,,,
4-52_173m_+P,P2,2019,173,173,Hybrid,53.1000796,15.0151691948658,30.541058,154.782931,5.0680278,
4-52_173m_ctl,P2,2019,173,173,Hybrid,29.8271604938272,,,,,
4-52_173m_top,P2,2019,173,173,Hybrid,14.1515151515152,,,,,
4-52_965m_top/+P,P2,2019,965,965,Hybrid,21.16318464,11.2737520128825,18.53206428,186.4108454,10.05882791,
3-54_402m_ctl,P2,2019,402,402,Hybrid,30.1541353383459,,,,,
3-54_402m_top,P2,2019,402,402,Hybrid,39.80676329,16.4568965517241,34.43275128,398.5595814,11.57501409,
3-54_171m_+P,P2,2019,171,171,Hybrid,49.79986197,15.7154989384289,45.06542609,96.27078959,2.136244965,
3-54_200m_ctl,P2,2019,200,200,Hybrid,28.9488188976378,,,,,
