,Station,Year,Depth (m),Pressure [dbar],Trap type,Chamber,Incubation,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Org C flux sus POC correction (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day),Adjusted N prod (nM N/day),Ctl bottle N2 production (nM/day),d15N,d13C,Babbin N production rates  (nM N/day),N/C,zoop C (umol C/m2/day),depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,ph,par
0,P1,2017,60,60,cone,particles,none,88.65132562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.2,NULL,NULL,59.623999999999995,20.30536,-106.21946000000001,16.7162,16.716,16.7065,34.5642,34.5722,1025.5114,25.2467,0.4054,28.237,240.40528999999998,0.1338,96.7096,3.0942,1.6025,-2.332,1e-12
1,P1,2017,50,50,cone,particles,NH4,190.8767912,NULL,NULL,NULL,329.466918726015,329.466918726015,13.75,2.12205443079987,7.25,NULL,NULL,NULL,NULL,NULL,49.688,20.30536,-106.21946000000001,18.2405,18.2398,18.2319,34.5438,34.5515,1025.0828,24.8633,0.61164,56.284,233.6286,0.1557,96.1819,2.622,1.7336,-2.281,1e-12
2,P1,2017,50,50,cone,top,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49.688,20.30536,-106.21946000000001,18.2405,18.2398,18.2319,34.5438,34.5515,1025.0828,24.8633,0.61164,56.284,233.6286,0.1557,96.1819,2.622,1.7336,-2.281,1e-12
3,P1,2017,150,150,net,particles,none,159.3757707,6.80101053224957,53.60557055,NULL,1380.74796747967,1380.74796747967,NULL,NULL,NULL,NULL,NULL,NULL,0.147036972705471,NULL,149.02700000000002,20.30536,-106.21943999999999,12.8446,12.8441,12.8242,34.8082,34.8165,1026.9455,26.2753,0.083842,0.44799999999999995,259.07136,0.1306,96.787,3.695,1.2908,-2.459,1e-12
4,P1,2017,150,150,net,top,none,NULL,6.33046700778707,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.157966228837447,NULL,149.02700000000002,20.30536,-106.21943999999999,12.8446,12.8441,12.8242,34.8082,34.8165,1026.9455,26.2753,0.083842,0.44799999999999995,259.07136,0.1306,96.787,3.695,1.2908,-2.459,1e-12
5,P1,2017,150,150,cone,particles,NO2,132.0557482,NULL,NULL,NULL,NULL,NULL,17.25,5.32442748060598,NULL,NULL,NULL,NULL,NULL,NULL,149.02700000000002,20.30536,-106.21943999999999,12.8446,12.8441,12.8242,34.8082,34.8165,1026.9455,26.2753,0.083842,0.44799999999999995,259.07136,0.1306,96.787,3.695,1.2908,-2.459,1e-12
6,P1,2017,150,150,cone,top,none,NULL,NULL,82.12926293,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,149.02700000000002,20.30536,-106.21943999999999,12.8446,12.8441,12.8242,34.8082,34.8165,1026.9455,26.2753,0.083842,0.44799999999999995,259.07136,0.1306,96.787,3.695,1.2908,-2.459,1e-12
7,P1,2017,100,100,cone,particles,NO2,127.9433857,NULL,NULL,NULL,240.000000011294,240.000000011294,26.5,8.17955525900485,NULL,NULL,NULL,42.8,NULL,NULL,99.363,20.30536,-106.21943999999999,13.9041,13.9037,13.8898,34.8047,34.8126,1026.5015,26.0562,0.39893,0.6629999999999999,253.58203999999998,0.1407,96.5422,3.6907,1.3787,-2.423,1e-12
8,P1,2017,100,100,cone,top,none,NULL,NULL,45.62906039,NULL,952.869565217391,952.869565217391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99.363,20.30536,-106.21943999999999,13.9041,13.9037,13.8898,34.8047,34.8126,1026.5015,26.0562,0.39893,0.6629999999999999,253.58203999999998,0.1407,96.5422,3.6907,1.3787,-2.423,1e-12
9,P1,2017,90,90,cone,particles,NO2,103.7328318,NULL,NULL,NULL,NULL,NULL,12.0,4.11549950111472,1.25,NULL,NULL,NULL,NULL,NULL,89.429,20.30536,-106.21943999999999,14.458,14.4585,14.4448,34.7842,34.7911,1026.323,25.9231,0.55004,0.838,250.83088999999998,0.149,96.343,3.6862,1.4313,-2.404,1e-12
