,Station,Year,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),Protein/org C of flux (ug protein/umol C),N production rate (nM N/day),d15N vs Air N2 (permil),d13C vs VPDB (permil),timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS
0,P2,2019.0,173.0,173.0,Hybrid,53.1000796,NULL,30.541058,154.782931,5.0680278,NULL,NULL,NULL,NULL,412.718,-106.85836,16.855420000000002,173,12.5147,12.4831,40341,4.039706,0.084,0.0635,98.4252,0.0010630000000000001,0,0.5055,0.5174,0.0594,0.1149,4.5788,0,0.0135,0,0.5043,0.5158,34.7769,34.8598,26.3208,26.3913,1.102,1.3559999999999999,0.41200000000000003,0.506
1,P2,2019.0,173.0,173.0,Hybrid,29.8271604938272,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,412.718,-106.85836,16.855420000000002,173,12.5147,12.4831,40341,4.039706,0.084,0.0635,98.4252,0.0010630000000000001,0,0.5055,0.5174,0.0594,0.1149,4.5788,0,0.0135,0,0.5043,0.5158,34.7769,34.8598,26.3208,26.3913,1.102,1.3559999999999999,0.41200000000000003,0.506
2,P2,2019.0,173.0,173.0,Hybrid,14.1515151515152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,412.718,-106.85836,16.855420000000002,173,12.5147,12.4831,40341,4.039706,0.084,0.0635,98.4252,0.0010630000000000001,0,0.5055,0.5174,0.0594,0.1149,4.5788,0,0.0135,0,0.5043,0.5158,34.7769,34.8598,26.3208,26.3913,1.102,1.3559999999999999,0.41200000000000003,0.506
3,P2,2019.0,965.0,965.0,Hybrid,21.16318464,11.2737520128825,18.53206428,186.4108454,10.05882791,NULL,NULL,NULL,NULL,1586.365,-106.8584,16.8556,965,4.5903,4.5655,33133,3.3178629999999996,0.0667,0.0408,98.9851,4.6772e-05,0,0.5325,0.541,0.0577,0.1191,4.6048,0,0.0088,0,0.5332,0.5417,34.5498,34.629,27.3733,27.4389,7.651,7.2989999999999995,2.391,2.281
4,P2,2019.0,402.0,402.0,Hybrid,30.1541353383459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,823.0880000000001,-106.85836,16.85548,402,9.2164,9.1852,37160,3.721278,0.0639,0.0424,98.9455,0.00020334,0,0.5031,0.5133,0.0574,0.1151,4.603,0,0.0098,0,0.5024,0.5131,34.6132,34.6983,26.7876,26.8593,0.924,1.087,0.322,0.37799999999999995
5,P2,2019.0,402.0,402.0,Hybrid,39.80676329,NULL,34.43275128,398.5595814,11.57501409,NULL,NULL,NULL,NULL,823.0880000000001,-106.85836,16.85548,402,9.2164,9.1852,37160,3.721278,0.0639,0.0424,98.9455,0.00020334,0,0.5031,0.5133,0.0574,0.1151,4.603,0,0.0098,0,0.5024,0.5131,34.6132,34.6983,26.7876,26.8593,0.924,1.087,0.322,0.37799999999999995
6,P2,2019.0,171.0,171.0,Hybrid,49.79986197,NULL,45.06542609,96.27078959,2.136244965,NULL,NULL,NULL,NULL,408.626,-106.85835,16.855420000000002,171,12.5329,12.4903,40357,4.040113,0.0811,0.064,98.4118,0.0010564,0,0.5055,0.5172,0.0591,0.1149,4.5781,0,0.0135,0,0.5039,0.5155,34.7759,34.8579,26.3164,26.3883,0.8859999999999999,1.244,0.331,0.46399999999999997
7,P2,2019.0,200.0,200.0,Hybrid,28.9488188976378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,473.531,-106.85836,16.855439999999998,200,12.3284,12.2978,40168,4.022616,0.0747,0.0624,98.4518,0.00076216,0,0.5043,0.516,0.0585,0.1147,4.58,0,0.0122,0,0.5034,0.5148,34.7709,34.8551,26.3531,26.4244,0.982,1.143,0.365,0.425
8,P2,2019.0,200.0,200.0,Hybrid,82.99516908,10.7176470588235,22.29103516,187.1856453,8.397350951,NULL,NULL,NULL,NULL,473.531,-106.85836,16.855439999999998,200,12.3284,12.2978,40168,4.022616,0.0747,0.0624,98.4518,0.00076216,0,0.5043,0.516,0.0585,0.1147,4.58,0,0.0122,0,0.5034,0.5148,34.7709,34.8551,26.3531,26.4244,0.982,1.143,0.365,0.425
9,P2,2019.0,100.0,100.0,Hybrid,25.2390243902439,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,264.156,-106.85833999999998,16.85538,100,16.2388,16.1823,43635,4.367824,0.3016,0.055,98.6354,0.72451,0,0.8809999999999999,0.9037,0.0811,0.1125,4.5885,0,0.9295,0,0.8661,0.8736,34.5118,34.5994,25.320999999999998,25.4013,49.425,51.22,19.859,20.570999999999998
10,P2,2019.0,100.0,100.0,Hybrid,113.0123138,NULL,24.79294243,451.5821744,18.21414201,NULL,NULL,NULL,NULL,264.156,-106.85833999999998,16.85538,100,16.2388,16.1823,43635,4.367824,0.3016,0.055,98.6354,0.72451,0,0.8809999999999999,0.9037,0.0811,0.1125,4.5885,0,0.9295,0,0.8661,0.8736,34.5118,34.5994,25.320999999999998,25.4013,49.425,51.22,19.859,20.570999999999998
11,P2,2019.0,100.0,100.0,Hybrid,11.0821467688938,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,264.156,-106.85833999999998,16.85538,100,16.2388,16.1823,43635,4.367824,0.3016,0.055,98.6354,0.72451,0,0.8809999999999999,0.9037,0.0811,0.1125,4.5885,0,0.9295,0,0.8661,0.8736,34.5118,34.5994,25.320999999999998,25.4013,49.425,51.22,19.859,20.570999999999998
12,P2,2019.0,300.0,300.0,Hybrid,107.1438958,NULL,21.5044534,363.0646116,16.88322902,NULL,NULL,NULL,NULL,666.304,-106.85838000000001,16.855420000000002,300,10.8561,10.8269,38741,3.879406,0.0634,0.0492,98.7765,0.00040514,0,0.5039,0.5144,0.0574,0.1148,4.595,0,0.0107,0,0.5027,0.5136,34.7018,34.7829,26.5759,26.6443,0.9309999999999999,1.046,0.336,0.377
13,P2,2019.0,300.0,300.0,Hybrid,23.4532374100719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,666.304,-106.85838000000001,16.855420000000002,300,10.8561,10.8269,38741,3.879406,0.0634,0.0492,98.7765,0.00040514,0,0.5039,0.5144,0.0574,0.1148,4.595,0,0.0107,0,0.5027,0.5136,34.7018,34.7829,26.5759,26.6443,0.9309999999999999,1.046,0.336,0.377
14,P2,2019.0,300.0,300.0,Hybrid,34.1347517730496,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,666.304,-106.85838000000001,16.855420000000002,300,10.8561,10.8269,38741,3.879406,0.0634,0.0492,98.7765,0.00040514,0,0.5039,0.5144,0.0574,0.1148,4.595,0,0.0107,0,0.5027,0.5136,34.7018,34.7829,26.5759,26.6443,0.9309999999999999,1.046,0.336,0.377
15,P2,2019.0,490.0,490.0,Hybrid,7.636546026,NULL,20.67419312,245.6279172,11.88089498,NULL,NULL,NULL,NULL,933.4760000000001,-106.8584,16.8555,490,8.0405,8.013,36067,3.611679,0.0627,0.04,99.0046,0.00014254,0,0.5031,0.5127,0.0573,0.1148,4.6057,0,0.0094,0,0.5024,0.5125,34.5679,34.648,26.936,27.003,0.968,0.893,0.327,0.302
16,P2,2019.0,490.0,490.0,Hybrid,38.5986842105263,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,933.4760000000001,-106.8584,16.8555,490,8.0405,8.013,36067,3.611679,0.0627,0.04,99.0046,0.00014254,0,0.5031,0.5127,0.0573,0.1148,4.6057,0,0.0094,0,0.5024,0.5125,34.5679,34.648,26.936,27.003,0.968,0.893,0.327,0.302
