,Station,Year,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),Protein/org C of flux (ug protein/umol C),N production rate (nM N/day),d15N vs Air N2 (permil),d13C vs VPDB (permil),timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS
0,P3,2019.0,170.0,170.0,Hybrid,7.75319567354966,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,291.077,-109.9001,21.99014,170,12.4228,12.3903,40188,4.0246949999999995,0.0618,0.0686,98.2989,0.00039618,0,0.5128,0.5247,0.0572,0.1125,4.5728,0,0.01,0,0.5171,0.5279,34.7153,34.8023,26.2908,26.3647,3.5780000000000003,3.6519999999999997,1.3330000000000002,1.361
1,P3,2019.0,170.0,170.0,Hybrid,14.62984724,13.1826666666667,100.3934843,202.5483083,2.017544363,NULL,NULL,NULL,NULL,291.077,-109.9001,21.99014,170,12.4228,12.3903,40188,4.0246949999999995,0.0618,0.0686,98.2989,0.00039618,0,0.5128,0.5247,0.0572,0.1125,4.5728,0,0.01,0,0.5171,0.5279,34.7153,34.8023,26.2908,26.3647,3.5780000000000003,3.6519999999999997,1.3330000000000002,1.361
2,P3,2019.0,570.0,570.0,Hybrid,3.6622641509434,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,725.893,-109.9001,21.99012,570,7.1562,7.1293,35260,3.5308379999999997,0.0639,0.0595,98.5226,1e-12,0,0.5032,0.5132,0.0574,0.1145,4.5832,0,0.0085,0,0.5024,0.5126,34.5332,34.6131,27.0371,27.1038,1.069,1.1340000000000001,0.355,0.376
3,P3,2019.0,570.0,570.0,Hybrid,41.66411217,7.29879518072289,15.92666572,52.53922915,3.298821617,NULL,NULL,NULL,NULL,725.893,-109.9001,21.99012,570,7.1562,7.1293,35260,3.5308379999999997,0.0639,0.0595,98.5226,1e-12,0,0.5032,0.5132,0.0574,0.1145,4.5832,0,0.0085,0,0.5024,0.5126,34.5332,34.6131,27.0371,27.1038,1.069,1.1340000000000001,0.355,0.376
4,P3,2019.0,570.0,570.0,Hybrid,9.72617743702081,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,725.893,-109.9001,21.99012,570,7.1562,7.1293,35260,3.5308379999999997,0.0639,0.0595,98.5226,1e-12,0,0.5032,0.5132,0.0574,0.1145,4.5832,0,0.0085,0,0.5024,0.5126,34.5332,34.6131,27.0371,27.1038,1.069,1.1340000000000001,0.355,0.376
5,P3,2019.0,370.0,370.0,Hybrid,1.85815047021944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,504.11199999999997,-109.9001,21.99014,370,9.398,9.3685,37298,3.7350449999999995,0.0706,0.0645,98.3985,1e-12,0,0.504,0.5142,0.0581,0.1124,4.5775,0,0.0085,0,0.5034,0.5138,34.5959,34.6783,26.744,26.8133,0.968,1.131,0.33799999999999997,0.395
6,P3,2019.0,370.0,370.0,Hybrid,19.66438915,5.4967585089141,14.76380988,14.70959842,0.9963280845,NULL,NULL,NULL,NULL,504.11199999999997,-109.9001,21.99014,370,9.398,9.3685,37298,3.7350449999999995,0.0706,0.0645,98.3985,1e-12,0,0.504,0.5142,0.0581,0.1124,4.5775,0,0.0085,0,0.5034,0.5138,34.5959,34.6783,26.744,26.8133,0.968,1.131,0.33799999999999997,0.395
7,P3,2019.0,370.0,370.0,Hybrid,6.57961447055717,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,504.11199999999997,-109.9001,21.99014,370,9.398,9.3685,37298,3.7350449999999995,0.0706,0.0645,98.3985,1e-12,0,0.504,0.5142,0.0581,0.1124,4.5775,0,0.0085,0,0.5034,0.5138,34.5959,34.6783,26.744,26.8133,0.968,1.131,0.33799999999999997,0.395
8,P3,2019.0,102.0,102.0,Hybrid,24.9704142011834,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,217.804,-109.90012,21.99016,102,14.3884,14.3551,41872,4.193179,0.2673,0.0706,98.2491,0.8314799999999999,0,0.6355,0.6524,0.0777,0.1123,4.5705,0,0.9823,0,0.6178,0.6367,34.5464,34.6315,25.7576,25.8304,14.636,17.709,5.671,6.861000000000001
9,P3,2019.0,102.0,102.0,Hybrid,31.44875954,5.73174108688127,38.90881844,120.2948594,3.091711962,NULL,NULL,NULL,NULL,217.804,-109.90012,21.99016,102,14.3884,14.3551,41872,4.193179,0.2673,0.0706,98.2491,0.8314799999999999,0,0.6355,0.6524,0.0777,0.1123,4.5705,0,0.9823,0,0.6178,0.6367,34.5464,34.6315,25.7576,25.8304,14.636,17.709,5.671,6.861000000000001
