Peptides,GO term,Name
225,GO:0005524,ATP binding
124,GO:0046872,metal ion binding
55,GO:0003677,DNA binding
44,GO:0003735,structural constituent of ribosome
38,GO:0000287,magnesium ion binding
36,GO:0019843,rRNA binding
32,GO:0051082,unfolded protein binding
29,GO:0016740,transferase activity
27,GO:0008270,zinc ion binding
25,GO:0003676,nucleic acid binding
23,GO:0051287,NAD binding
22,GO:0016887,ATPase activity
22,GO:0030170,pyridoxal phosphate binding
20,GO:0000049,tRNA binding
19,GO:0051539,"4 iron, 4 sulfur cluster binding"
19,GO:0005525,GTP binding
19,GO:0016787,hydrolase activity
18,GO:0016491,oxidoreductase activity
18,GO:0050661,NADP binding
17,GO:0003924,GTPase activity
17,GO:0003824,catalytic activity
16,GO:0003723,RNA binding
16,GO:0008483,transaminase activity
14,GO:0050660,flavin adenine dinucleotide binding
12,GO:0003899,DNA-directed 5'-3' RNA polymerase activity
12,GO:0016829,lyase activity
9,GO:0004177,aminopeptidase activity
9,GO:0009055,electron transfer activity
9,GO:0008233,peptidase activity
9,GO:0048038,quinone binding
9,GO:0008168,methyltransferase activity
9,GO:0016301,kinase activity
9,GO:0016168,chlorophyll binding
8,GO:0003918,DNA topoisomerase type II (ATP-hydrolyzing) activity
8,GO:0008408,3'-5' exonuclease activity
8,GO:0045156,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity"
8,GO:0042626,"ATPase activity, coupled to transmembrane movement of substances"
8,GO:0031419,cobalamin binding
8,GO:0002161,aminoacyl-tRNA editing activity
7,GO:0004222,metalloendopeptidase activity
7,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
7,GO:0020037,heme binding
7,GO:0004497,monooxygenase activity
7,GO:0004519,endonuclease activity
7,GO:0004642,phosphoribosylformylglycinamidine synthase activity
7,GO:0000166,nucleotide binding
6,GO:0016151,nickel cation binding
6,GO:0030145,manganese ion binding
6,GO:0050311,sulfite reductase (ferredoxin) activity
6,GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor"
6,GO:0102067,geranylgeranyl diphosphate reductase activity
6,GO:0071949,FAD binding
6,GO:0003755,peptidyl-prolyl cis-trans isomerase activity
6,GO:0016851,magnesium chelatase activity
6,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism"
6,GO:0050662,coenzyme binding
6,GO:0003887,DNA-directed DNA polymerase activity
6,GO:0046983,protein dimerization activity
5,GO:0008137,NADH dehydrogenase (ubiquinone) activity
5,GO:0045550,geranylgeranyl reductase activity
5,GO:0003700,DNA-binding transcription factor activity
5,GO:0050567,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
5,GO:0003743,translation initiation factor activity
5,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
5,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
5,GO:0004826,phenylalanine-tRNA ligase activity
5,GO:0004324,ferredoxin-NADP+ reductase activity
5,GO:0003984,acetolactate synthase activity
5,GO:0102752,"1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)"
5,GO:0003844,"1,4-alpha-glucan branching enzyme activity"
5,GO:0004525,ribonuclease III activity
4,GO:0003746,translation elongation factor activity
4,GO:0008271,secondary active sulfate transmembrane transporter activity
4,GO:0010181,FMN binding
4,GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"
4,GO:0016462,pyrophosphatase activity
