crosskingdom,superkingdom,kingdom,subkingdom,phylum,class,order,family,genus,species,subspecies,species+sub,# crosskingdom,# superkingdom,# kingdom,# subkingdom,# phylum,# class,# order,# family,# genus,# species,# subspecies,# total
7,15,7,8,8,8,9,8,8,8,7,8,1340,316,4,1,45,14,82,11,52,582,1220,3667
15,8,7,,8,7,7,8,9,8,8,8,,,,,,,,,,,,
7,8,8,,16,9,8,8,8,8,10,8,,,,,,,,,,,,
7,13,8,,8,8,12,9,8,8,10,8,,,,,,,,,,,,
8,9,,,8,8,9,7,7,7,11,7,,,,,,,,,,,,
6,10,,,8,9,7,8,8,8,10,8,,,,,,,,,,,,
7,8,,,8,8,8,8,8,9,10,9,,,,,,,,,,,,
8,9,,,8,8,7,8,9,8,9,8,,,,,,,,,,,,
8,10,,,8,7,9,7,7,7,11,7,,,,,,,,,,,,
7,7,,,12,12,8,7,9,9,12,9,,,,,,,,,,,,
8,8,,,9,9,8,8,10,8,11,8,,,,,,,,,,,,
7,7,,,9,10,9,,8,8,8,8,,,,,,,,,,,,
7,8,,,12,7,8,,8,8,9,8,,,,,,,,,,,,
7,7,,,10,8,8,,8,6,13,6,,,,,,,,,,,,
7,8,,,10,,7,,7,8,8,8,,,,,,,,,,,,
7,6,,,11,,12,,9,8,10,8,,,,,,,,,,,,
8,8,,,8,,9,,8,9,10,9,,,,,,,,,,,,
7,9,,,11,,10,,8,8,8,8,,,,,,,,,,,,
6,9,,,11,,7,,7,8,9,8,,,,,,,,,,,,
7,12,,,8,,8,,8,9,11,9,,,,,,,,,,,,
8,14,,,8,,8,,7,8,12,8,,,,,,,,,,,,
7,8,,,16,,8,,8,7,11,7,,,,,,,,,,,,
9,6,,,16,,16,,8,8,11,8,,,,,,,,,,,,
9,7,,,9,,8,,9,10,13,10,,,,,,,,,,,,
8,10,,,11,,8,,7,7,10,7,,,,,,,,,,,,
8,9,,,11,,8,,8,9,8,9,,,,,,,,,,,,
9,11,,,15,,8,,8,8,11,8,,,,,,,,,,,,
5,11,,,11,,8,,9,8,11,8,,,,,,,,,,,,
8,9,,,14,,8,,8,8,13,8,,,,,,,,,,,,
7,9,,,13,,12,,8,8,9,8,,,,,,,,,,,,
7,8,,,8,,9,,7,8,12,8,,,,,,,,,,,,
9,8,,,7,,13,,8,7,10,7,,,,,,,,,,,,
8,9,,,8,,8,,7,8,9,8,,,,,,,,,,,,
7,8,,,8,,9,,8,10,10,10,,,,,,,,,,,,
11,8,,,7,,12,,8,7,11,7,,,,,,,,,,,,
6,6,,,7,,11,,9,8,8,8,,,,,,,,,,,,
6,13,,,8,,10,,8,7,10,7,,,,,,,,,,,,
5,8,,,10,,11,,7,8,9,8,,,,,,,,,,,,
9,9,,,8,,12,,8,8,11,8,,,,,,,,,,,,
8,11,,,10,,9,,8,8,10,8,,,,,,,,,,,,
8,8,,,7,,10,,8,8,9,8,,,,,,,,,,,,
8,8,,,9,,11,,7,9,8,9,,,,,,,,,,,,
9,8,,,8,,8,,12,8,12,8,,,,,,,,,,,,
6,14,,,7,,11,,8,8,8,8,,,,,,,,,,,,
7,9,,,8,,8,,8,9,11,9,,,,,,,,,,,,
11,11,,,,,11,,9,8,13,8,,,,,,,,,,,,
8,10,,,,,8,,11,8,15,8,,,,,,,,,,,,
8,9,,,,,10,,8,9,13,9,,,,,,,,,,,,
7,9,,,,,8,,9,8,9,8,,,,,,,,,,,,
7,7,,,,,12,,9,11,8,11,,,,,,,,,,,,
8,9,,,,,15,,7,8,13,8,,,,,,,,,,,,
7,8,,,,,14,,7,9,8,9,,,,,,,,,,,,
7,7,,,,,8,,,8,10,8,,,,,,,,,,,,
8,8,,,,,9,,,8,8,8,,,,,,,,,,,,
7,8,,,,,9,,,9,8,9,,,,,,,,,,,,
7,8,,,,,13,,,8,9,8,,,,,,,,,,,,
8,7,,,,,11,,,13,8,13,,,,,,,,,,,,
7,11,,,,,16,,,9,11,9,,,,,,,,,,,,
6,8,,,,,9,,,9,11,9,,,,,,,,,,,,
8,8,,,,,14,,,9,8,9,,,,,,,,,,,,
6,8,,,,,9,,,8,11,8,,,,,,,,,,,,
5,7,,,,,16,,,9,10,9,,,,,,,,,,,,
7,10,,,,,6,,,8,9,8,,,,,,,,,,,,
9,9,,,,,8,,,7,10,7,,,,,,,,,,,,
7,9,,,,,9,,,9,12,9,,,,,,,,,,,,
7,8,,,,,11,,,7,11,7,,,,,,,,,,,,
9,8,,,,,9,,,8,15,8,,,,,,,,,,,,
8,10,,,,,10,,,7,11,7,,,,,,,,,,,,
7,8,,,,,11,,,7,12,7,,,,,,,,,,,,
8,8,,,,,17,,,9,10,9,,,,,,,,,,,,
7,8,,,,,19,,,8,9,8,,,,,,,,,,,,
8,8,,,,,13,,,9,8,9,,,,,,,,,,,,
7,7,,,,,10,,,8,9,8,,,,,,,,,,,,
8,8,,,,,8,,,9,8,9,,,,,,,,,,,,
8,10,,,,,15,,,8,9,8,,,,,,,,,,,,
7,12,,,,,7,,,8,14,8,,,,,,,,,,,,
7,9,,,,,17,,,7,10,7,,,,,,,,,,,,
6,8,,,,,18,,,9,12,9,,,,,,,,,,,,
11,9,,,,,15,,,8,11,8,,,,,,,,,,,,
7,9,,,,,15,,,8,9,8,,,,,,,,,,,,
11,8,,,,,14,,,8,8,8,,,,,,,,,,,,
7,12,,,,,,,,7,10,7,,,,,,,,,,,,
11,8,,,,,,,,9,9,9,,,,,,,,,,,,
8,7,,,,,,,,8,8,8,,,,,,,,,,,,
8,8,,,,,,,,9,14,9,,,,,,,,,,,,
8,11,,,,,,,,7,12,7,,,,,,,,,,,,
8,9,,,,,,,,8,12,8,,,,,,,,,,,,
5,12,,,,,,,,8,11,8,,,,,,,,,,,,
7,11,,,,,,,,8,10,8,,,,,,,,,,,,
8,8,,,,,,,,8,10,8,,,,,,,,,,,,
6,12,,,,,,,,8,9,8,,,,,,,,,,,,
