dbpeps,dnopeps
28,13
28,12
24,9
28,13
22,11
20,8
38,7
30,12
22,7
25,13
25,8
27,10
26,12
26,7
18,9
30,11
25,7
23,7
22,7
32,15
30,9
24,15
24,9
23,7
23,10
27,10
24,10
22,10
24,7
22,11
23,10
24,10
21,10
21,8
24,10
27,10
20,13
17,11
21,10
30,8
20,10
26,8
22,9
23,11
23,10
24,12
17,9
33,11
25,12
27,12
22,9
22,9
19,12
19,9
21,18
27,16
24,14
21,13
23,9
19,8
19,10
24,7
36,10
23,13
32,11
22,7
22,14
26,13
24,15
27,7
22,14
19,10
27,13
24,10
26,10
23,15
23,8
27,9
23,12
21,6
20,12
30,10
23,7
32,8
20,9
21,10
18,9
22,12
33,11
19,10
21,13
22,13
23,9
22,17
28,15
21,14
18,9
21,8
21,8
24,13
24,10
19,8
22,15
26,11
20,9
26,9
18,7
22,8
17,6
25,15
29,11
24,15
25,10
15,11
17,7
28,10
17,14
32,7
17,13
17,9
23,13
18,10
23,7
22,15
28,8
16,8
17,12
25,10
21,13
22,11
19,11
21,11
18,9
21,10
20,9
21,16
32,10
29,11
25,8
19,14
27,10
19,11
23,13
21,12
31,11
38,10
18,10
40,9
19,12
19,14
20,14
19,12
19,13
28,9
20,11
23,10
19,12
29,14
16,10
26,10
25,9
18,9
21,8
20,9
25,12
17,13
22,9
18,10
24,15
35,11
19,12
21,9
21,14
22,7
24,13
31,15
21,15
24,14
20,10
16,7
21,12
14,13
21,16
21,11
17,12
19,8
14,14
21,12
20,11
22,11
27,8
21,14
21,8
23,10
16,11
17,10
19,10
24,11
23,10
23,14
18,13
24,9
20,8
21,7
23,13
17,11
32,7
22,13
20,9
23,15
23,14
25,14
19,9
26,12
25,13
22,11
19,9
22,9
18,16
23,9
29,10
25,11
13,15
18,9
20,11
21,12
24,11
29,10
15,12
19,13
20,11
20,13
18,9
21,16
18,11
21,12
24,8
28,13
21,9
27,8
20,16
25,9
23,8
23,14
18,9
14,10
22,11
24,9
25,7
19,12
17,11
20,7
18,10
35,11
26,15
20,6
19,9
19,13
28,9
22,11
27,9
20,7
21,7
17,15
25,12
24,14
18,9
29,10
17,11
18,9
21,14
18,12
18,11
31,13
22,7
18,12
17,10
22,10
21,9
16,8
18,11
19,11
19,12
20,11
24,13
26,10
18,10
21,8
24,14
26,9
23,13
15,9
16,12
19,8
17,11
20,14
17,11
22,10
17,13
18,9
25,10
30,9
18,13
19,8
23,10
16,13
20,12
19,11
17,10
15,16
25,9
27,14
18,11
20,10
26,9
17,12
27,9
37,10
14,12
29,16
26,10
16,10
22,11
27,9
16,14
15,15
14,7
25,8
18,11
18,12
18,10
18,12
24,12
18,18
20,8
18,8
18,10
22,13
29,14
21,10
14,10
27,14
22,11
18,9
16,9
19,11
18,13
14,16
23,11
20,13
18,9
17,16
25,12
21,16
16,12
21,10
32,10
19,13
19,13
22,12
23,11
18,15
18,10
22,8
38,12
16,12
22,12
21,14
27,11
19,12
18,10
22,8
23,12
13,12
25,14
21,7
22,8
13,10
17,9
22,9
20,18
16,10
19,11
20,14
22,9
26,9
12,12
21,13
42,13
17,8
16,8
21,8
23,8
25,11
18,13
29,11
26,8
17,16
19,15
21,10
23,7
24,16
18,9
20,13
18,11
22,11
26,9
20,12
17,12
19,15
18,11
17,12
18,12
38,11
19,10
17,14
17,13
21,11
17,14
16,16
18,8
20,12
16,10
19,8
26,10
22,10
17,9
25,18
21,18
23,9
22,12
23,10
13,9
15,9
20,12
19,13
17,16
25,10
18,14
30,13
23,13
22,10
23,10
25,8
20,15
11,8
25,17
20,14
16,7
22,8
25,10
25,15
16,11
21,9
16,14
16,12
18,10
22,12
15,13
19,9
22,13
16,16
22,11
16,8
25,9
16,15
24,10
19,8
17,12
21,10
18,10
16,11
20,9
16,9
15,14
24,9
17,16
17,12
21,15
18,10
17,7
17,15
27,8
17,14
24,13
28,12
19,8
29,9
30,14
24,10
29,16
20,13
20,13
17,7
17,15
19,14
18,10
18,8
33,12
23,10
21,10
17,12
14,10
15,12
21,18
18,14
20,10
26,12
17,13
20,9
18,10
13,7
9,7
22,13
22,12
27,13
21,14
15,8
27,9
19,10
18,12
21,17
23,10
25,11
17,8
27,13
16,11
24,12
17,12
21,9
17,8
17,9
20,13
18,14
23,17
30,12
18,13
17,15
22,12
24,13
20,10
23,12
22,11
17,16
21,12
21,19
17,11
19,11
25,11
18,13
22,16
15,9
22,16
19,13
16,16
18,11
16,9
17,9
29,13
18,10
15,15
18,16
21,12
26,8
16,11
23,8
18,12
33,10
13,13
22,18
21,12
19,8
22,17
18,13
18,13
16,10
23,10
19,9
24,14
27,12
15,12
15,19
14,15
19,9
14,16
17,8
16,11
20,13
14,9
14,13
13,14
16,11
33,10
24,15
17,13
16,13
18,10
36,12
23,10
20,10
18,11
15,12
13,12
14,9
24,12
20,10
20,19
18,12
14,17
19,15
17,13
19,15
15,13
23,7
19,11
15,10
16,11
25,16
19,14
16,13
19,10
19,12
18,18
15,14
18,10
25,11
14,7
15,8
22,13
13,11
19,12
15,10
15,9
17,9
22,11
21,11
18,13
16,17
18,14
22,10
20,9
17,8
20,10
20,10
15,13
14,13
14,11
21,14
23,8
17,8
16,7
16,10
16,12
18,11
18,10
20,9
17,8
22,10
22,10
18,15
26,14
19,13
23,9
16,12
19,12
18,14
18,9
19,9
18,11
17,8
12,17
33,7
18,8
16,10
19,8
18,17
14,12
14,17
18,9
18,8
13,8
18,9
20,15
21,15
19,16
20,12
17,8
16,10
24,12
19,10
19,12
19,14
19,11
24,10
20,8
12,11
15,15
15,7
19,6
12,14
17,9
17,10
19,13
26,15
15,8
19,15
16,9
19,10
12,9
16,13
14,7
21,11
20,10
17,12
23,14
31,8
16,10
17,8
17,10
19,11
15,11
17,14
22,7
18,9
31,11
18,11
19,18
19,16
26,8
15,11
23,11
16,11
15,9
20,14
21,13
20,12
19,14
27,14
20,14
16,7
22,9
14,12
21,10
18,9
19,15
16,8
16,11
18,11
20,14
17,11
14,10
23,15
15,11
17,8
19,15
18,10
19,14
19,12
30,19
14,12
18,11
19,7
16,15
15,11
17,14
18,9
15,12
15,8
22,15
12,7
24,11
16,10
19,12
19,16
21,8
31,11
16,16
16,13
15,11
15,10
19,12
27,7
17,10
24,11
20,18
25,15
41,11
13,15
28,15
19,16
16,12
18,9
26,7
15,9
19,9
14,13
19,13
20,9
15,7
18,11
19,15
14,14
20,10
17,11
18,10
23,17
19,11
17,8
23,15
17,10
21,11
15,12
16,7
24,10
15,14
23,11
23,8
18,14
15,14
18,13
21,12
18,9
15,12
21,15
20,10
14,12
18,10
17,13
24,9
21,12
19,10
18,9
22,12
19,11
16,13
17,13
18,12
16,9
21,10
19,10
13,11
25,15
16,15
15,12
15,10
23,10
27,11
13,15
21,6
14,16
13,14
22,8
17,9
20,10
22,15
16,14
16,9
15,11
13,12
18,14
19,7
17,12
29,13
22,14
22,9
25,9
16,10
19,12
16,13
19,14
16,9
22,9
15,8
17,10
18,14
15,10
24,11
14,12
16,10
14,11
17,9
20,8
21,12
19,13
17,13
15,10
18,12
26,11
15,14
17,10
14,15
15,10
13,12
22,8
17,12
17,9
22,13
20,10
23,8
14,8
23,17
23,10
23,11
17,15
17,13
17,15
14,11
30,10
28,12
26,10
18,12
15,13
21,16
13,11
21,19
13,12
19,18
15,9
17,16
21,13
15,11
18,15
18,13
21,8
22,13
20,9
21,11
14,8
17,18
18,9
17,12
16,8
22,11
20,10
16,14
17,21
16,7
24,13
16,17
16,10
15,12
24,11
22,9
15,11
16,9
17,13
14,12
17,8
22,10
27,15
16,15
17,9
16,9
16,7
18,9
17,13
24,9
18,12
15,12
20,15
20,12
16,12
18,18
15,16
13,7
12,14
21,15
16,10
14,14
24,11
20,14
17,12
19,19
16,15
21,11
15,12
19,14
12,15
25,7
24,12
33,11
18,11
25,12
13,15
25,12
17,8
30,11
22,9
15,8
16,12
19,7
17,10
20,11
16,11
17,10
14,7
13,16
19,12
18,11
15,8
17,13
20,12
18,13
14,9
15,9
26,14
18,18
17,10
18,12
27,14
27,13
17,13
21,13
19,13
14,15
17,12
17,13
15,10
14,12
24,7
17,8
19,13
25,15
12,13
19,10
21,10
16,8
15,13
24,11
15,11
16,9
16,14
20,8
18,10
16,12
16,10
23,14
16,10
24,9
17,11
16,12
16,16
18,7
21,10
19,14
11,9
17,10
22,12
14,9
14,10
17,15
23,11
21,7
15,12
14,8
24,7
24,10
17,13
22,13
21,11
20,14
20,13
11,12
27,8
16,8
20,10
13,9
24,14
13,11
21,11
23,9
17,13
15,14
25,9
20,12
17,10
25,10
23,12
16,7
21,12
20,11
16,10
22,8
12,16
26,12
15,14
24,12
20,14
16,11
16,12
21,12
22,9
19,7
14,11
14,11
24,10
12,14
14,16
16,9
20,15
16,9
15,11
13,9
17,13
19,14
17,10
15,13
15,12
15,18
14,15
15,12
25,12
22,9
21,12
14,12
21,9
15,7
28,17
17,14
23,14
16,20
23,11
16,15
15,7
14,9
19,11
13,16
18,13
16,11
18,9
18,12
20,14
22,12
20,11
18,15
14,10
17,19
18,10
17,12
16,7
14,13
16,14
15,16
16,10
24,8
17,10
20,8
13,9
17,13
19,16
13,7
13,8
29,11
19,11
13,13
13,20
13,13
13,11
18,11
13,11
13,7
18,14
21,14
21,12
17,9
15,10
19,10
21,14
15,14
19,13
18,19
18,14
12,14
15,10
22,10
18,8
16,12
21,15
16,10
15,7
14,16
16,16
41,17
15,13
18,11
18,13
23,10
15,13
18,8
12,12
10,8
17,15
13,8
12,11
14,12
11,11
17,15
15,9
13,12
13,7
18,13
12,13
16,10
21,9
16,7
15,16
15,11
13,11
21,7
19,17
24,10
17,11
28,12
19,10
14,15
15,12
17,11
16,11
16,9
26,13
21,14
18,13
17,8
19,7
16,12
15,12
14,16
14,17
19,12
19,12
14,13
16,8
16,11
14,9
19,10
20,12
24,11
19,9
15,12
15,11
16,15
20,10
18,7
15,10
15,13
29,15
17,14
14,14
18,10
17,10
21,16
16,8
13,7
16,14
13,14
21,14
14,15
17,11
21,7
15,16
17,12
13,9
19,13
18,12
15,10
14,14
23,14
21,16
16,13
27,10
19,10
18,10
15,10
16,21
13,20
13,10
22,7
19,11
17,12
22,8
15,12
16,14
22,11
20,15
26,10
16,12
20,14
33,8
13,9
15,8
17,14
21,9
23,12
16,8
14,10
17,11
22,18
20,7
18,9
28,16
18,16
18,11
12,16
17,11
22,13
15,13
14,13
17,12
17,8
14,11
16,14
17,11
16,9
16,16
16,14
20,11
17,13
13,12
20,12
19,14
17,16
18,13
15,10
14,9
14,17
15,12
16,10
17,14
24,18
15,9
16,11
25,7
14,16
15,7
13,11
14,12
22,12
16,14
28,9
14,13
15,8
17,12
23,8
20,11
15,9
10,18
22,16
18,14
16,12
12,12
20,11
16,18
16,9
12,7
17,14
16,10
15,13
18,14
19,16
15,12
13,12
14,12
14,9
13,12
18,15
18,14
22,11
16,15
20,7
29,12
15,16
16,8
16,10
22,14
15,11
14,10
24,10
16,11
12,14
19,9
20,11
13,8
16,11
19,14
18,13
20,10
17,10
13,9
15,14
17,12
25,8
15,11
16,9
19,16
12,10
14,13
18,7
17,16
13,14
16,13
15,9
13,8
21,16
24,13
16,7
15,12
16,12
17,14
16,15
16,10
14,15
26,15
13,11
21,15
17,12
15,12
15,12
25,15
17,12
20,15
18,11
18,9
16,16
21,11
17,12
13,11
24,9
17,7
12,13
15,18
18,16
16,16
11,12
18,9
16,12
19,11
25,11
17,9
20,17
14,11
15,12
23,10
22,19
20,14
21,10
17,14
22,9
16,20
25,7
14,6
22,13
23,12
16,12
28,9
13,13
24,9
14,12
33,15
19,9
19,11
13,13
17,16
19,10
17,12
14,10
13,10
16,9
20,10
15,15
14,9
15,17
23,10
15,7
23,11
14,7
17,11
19,15
25,8
12,10
19,15
15,16
18,13
16,12
16,12
14,12
18,8
13,9
16,14
24,18
18,11
20,10
13,12
25,14
21,8
17,8
14,14
20,11
23,9
14,14
18,12
16,7
17,14
14,6
14,8
15,10
15,11
15,8
13,17
20,16
31,13
16,11
13,7
38,16
19,14
38,11
12,13
18,18
17,13
18,17
17,10
15,14
18,9
11,15
17,14
22,9
22,16
21,16
20,7
14,13
15,14
15,14
12,16
20,10
21,11
23,10
14,16
15,15
13,13
17,11
22,10
14,11
17,11
12,15
20,10
14,15
20,9
15,10
15,9
17,11
15,7
21,10
24,16
12,11
16,8
16,17
14,9
14,7
14,10
18,14
17,10
22,10
16,15
15,16
14,11
12,14
16,12
16,14
19,17
20,10
22,8
15,10
19,9
14,7
21,12
12,9
15,10
17,11
15,11
18,15
28,11
28,8
16,14
15,10
13,15
14,9
14,10
18,9
17,6
16,12
16,12
16,9
15,14
14,10
22,13
12,10
11,13
16,15
13,14
16,16
13,12
11,14
14,15
18,7
20,9
25,8
17,13
15,13
14,12
15,13
19,13
16,11
16,8
25,11
13,7
18,12
14,16
25,12
13,9
16,14
19,14
15,10
19,12
16,10
18,8
18,13
15,21
17,9
13,7
14,16
15,13
19,14
21,11
13,12
19,13
12,11
27,12
22,12
19,10
13,9
14,10
23,8
14,12
17,9
20,11
16,10
15,10
25,10
34,15
21,13
13,8
16,11
13,12
16,8
22,12
19,14
16,8
12,12
17,13
15,13
22,10
22,8
13,12
23,20
23,10
13,13
20,8
14,11
25,14
20,11
12,20
19,10
14,12
20,7
15,9
32,14
11,13
31,10
16,10
14,10
22,8
17,9
13,14
17,10
17,12
16,12
15,13
16,10
11,9
11,14
24,12
18,15
17,11
31,15
22,16
18,9
31,12
21,13
16,8
14,17
12,9
12,13
18,12
15,11
13,13
12,14
15,14
13,13
20,14
26,14
14,21
17,14
21,12
19,13
21,13
11,19
11,10
13,16
24,13
13,10
19,9
16,10
19,7
18,12
12,12
13,7
14,13
16,16
14,11
20,9
11,20
17,12
14,17
18,12
11,13
13,12
14,12
19,9
13,22
17,14
18,16
19,10
17,13
14,12
16,11
13,15
19,15
13,14
18,10
20,8
23,11
25,16
18,12
16,13
12,17
10,13
16,8
15,10
17,15
21,11
14,14
23,11
14,15
14,8
18,11
11,13
15,12
15,12
12,16
15,15
13,10
16,15
32,8
21,8
18,9
14,17
23,14
24,10
20,10
22,9
19,17
14,13
15,16
13,8
12,8
22,10
12,14
15,11
13,11
22,16
15,11
13,10
21,15
28,13
14,13
14,11
17,13
17,10
22,11
26,15
16,12
20,19
14,14
14,17
14,13
20,12
19,10
11,9
20,10
18,10
16,16
26,15
11,15
13,11
24,13
15,13
15,15
19,11
20,14
12,14
29,13
16,15
17,11
16,12
18,9
17,12
16,15
14,15
13,12
18,15
18,11
16,10
17,14
16,9
15,11
17,8
26,16
29,11
10,7
15,12
17,12
13,8
16,14
