Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
1,9880,PMM1436,476.69,95,95,5.07E10,194,193,1487,Carbamidomethylation; Oxidation (M),57441,| groEL | chaperonin GroEL
3,10366,PMM0452,385.54,71,71,7.66E9,73,72,284,Carbamidomethylation; Oxidation (M),61441,| groEL | chaperonin GroEL
5,12773,PMM0228,373.46,84,84,4.35E9,58,58,181,Carbamidomethylation; Oxidation (M),28114,| psbO | photosystem II manganese-stabilizing protein
4,9777,PMM1704,362.46,63,63,3.74E9,48,48,183,Carbamidomethylation; Oxidation (M),68244,| dnaK | molecular chaperone DnaK
14,9877,PMM1485,358.63,59,59,1.13E9,57,56,113,Carbamidomethylation; Oxidation (M),122908,| rpoB | DNA-directed RNA polymerase subunit beta
15,10439,PMM0710,345.67,69,69,2.09E9,68,68,112,Oxidation (M),33887,| PMM0710 | ABC transporter  substrate binding protein  phosphate
6,16009,PMM0642,344.90,91,91,5.29E9,42,42,168,Carbamidomethylation; Oxidation (M),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase
7,12780,PMM0901,343.12,71,71,2.49E9,57,55,165,Carbamidomethylation; Oxidation (M),72552,| htpG | heat shock protein 90
13,10413,PMM1483,338.22,60,60,1.07E9,62,62,116,Carbamidomethylation; Oxidation (M),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta'
12,16035,PMM0315,335.24,41,41,2.82E9,35,35,117,Oxidation (M),56091,| psbB | photosystem II PsbB protein (CP47)
22,9717,PMM1088,321.97,67,67,6.63E8,51,49,85,Carbamidomethylation; Oxidation (M),93427,| clpC | ClpC
9,16023,PMM0407,317.92,82,82,2.23E9,29,29,149,Carbamidomethylation; Oxidation (M),34981,| cysK1 | O-acetylserine (thiol)-lyase A
8,10114,PMM1508,316.17,72,72,2.79E9,45,45,152,Carbamidomethylation; Oxidation (M),43622,| tuf | elongation factor Tu
27,10079,PMM1494,313.04,48,48,3.66E8,47,46,79,Carbamidomethylation; Oxidation (M),127148,| infB | translation initiation factor IF-2
57,10485,PMM0226,306.70,51,51,2.81E8,26,22,52,Carbamidomethylation; Oxidation (M),66746,| ftsH2 | cell division protein FtsH2
30,9922,PMM0661,300.14,55,55,4.69E8,39,39,73,Carbamidomethylation,90662,| nrdJ | ribonucleotide reductase (class II)
18,10505,PMM1309,298.34,74,74,2.55E9,31,31,100,Carbamidomethylation; Oxidation (M),39151,| ftsZ | cell division protein FtsZ
26,10147,PMM1191,297.20,49,49,9.32E8,37,35,79,Carbamidomethylation; Oxidation (M),78668,| pnp | polynucleotide phosphorylase/polyadenylase
32,16061,PMM0583,296.81,58,58,6.34E8,25,25,72,Oxidation (M),38974,| hemE | uroporphyrinogen decarboxylase
11,10638,PMM1350,292.94,81,81,3.96E9,27,27,118,Carbamidomethylation; Oxidation (M),20921,| PMM1350 | pentapeptide repeat-containing protein
25,12807,PMM1264,292.87,52,52,8.76E8,39,35,81,Carbamidomethylation; Oxidation (M),67227,| ftsH3 | cell division protein FtsH3
28,9970,PMM0970,292.42,55,55,1.05E9,20,20,78,Carbamidomethylation; Oxidation (M),47600,| urtA | putative urea ABC transporter  substrate binding protein
16,13010,PMM0195,287.51,86,86,2.16E9,34,34,111,Carbamidomethylation; Oxidation (M),42964,| pgk | phosphoglycerate kinase
49,9881,PMM1610,287.17,60,60,3.86E8,29,29,57,Carbamidomethylation; Oxidation (M),72988,| tktA | transketolase
76,10111,PMM0743,287.04,45,45,2.07E8,26,25,44,Carbamidomethylation; Oxidation (M),68885,| ftsH1 | FtsH ATP-dependent protease-like protein
58,13311,PMM1492,286.83,62,62,3.29E8,24,24,51,Carbamidomethylation; Oxidation (M),52999,| nusA | transcription elongation factor NusA
52,10009,PMM1509,283.41,59,59,3.08E8,32,32,56,Carbamidomethylation; Oxidation (M),75690,| fusA | elongation factor G
41,16026,PMM0920,282.65,59,59,7.66E8,26,26,63,Carbamidomethylation,52878,| glnA | glutamine synthetase  glutamate--ammonia ligase
37,16012,PMM0769,282.13,66,66,5.45E8,32,32,64,Carbamidomethylation; Oxidation (M),48074,| glgC | glucose-1-phosphate adenylyltransferase
88,9842,PMM1712,281.28,44,44,1.67E8,34,34,42,Carbamidomethylation,105952,| uvrA | excinuclease ABC subunit A
17,10720,PMM0016,280.46,84,84,3.01E9,31,31,103,Oxidation (M),27671,| grpE | heat shock protein GrpE
50,16029,PMM0208,280.09,60,60,6.78E8,22,22,57,Carbamidomethylation; Oxidation (M),45899,| eno | enolase
24,16072,PMM0856,279.65,87,87,3.85E9,21,21,82,Carbamidomethylation; Oxidation (M),21758,| tpx | thioredoxin peroxidase
29,16013,PMM1315,278.85,77,77,8.8E8,24,24,74,Carbamidomethylation; Oxidation (M),36630,| ilvC | ketol-acid reductoisomerase
106,10275,PMM1062,277.32,68,68,3.45E8,25,25,39,Carbamidomethylation; Oxidation (M),41000,| guaB | inosine 5-monophosphate dehydrogenase
54,10593,PMM1438,276.21,64,64,4.67E8,24,24,54,Oxidation (M),51980,| atpB | F0F1 ATP synthase subunit beta
56,9760,PMM1512,275.99,29,29,1.14E8,38,38,53,Carbamidomethylation; Oxidation (M),168148,| glsF | ferredoxin-dependent glutamate synthase
96,10120,PMM1416,274.92,51,51,2.17E8,23,23,41,Oxidation (M),75064,| PMM1416 | hypothetical protein
40,10695,PMM1247,274.76,62,62,9.18E8,23,23,64,Carbamidomethylation; Oxidation (M),46454,| PMM1247 | hypothetical protein
43,16015,PMM0483,274.68,70,70,1E9,28,28,61,Carbamidomethylation; Oxidation (M),46265,| hemL | glutamate-1-semialdehyde aminotransferase
69,9897,PMM0010,274.15,57,57,1.86E8,27,27,46,,48441,| ftsY | signal recognition particle docking protein FtsY
33,12823,PMM1287,273.79,53,53,3.56E8,34,34,69,,79939,| PMM1287 | hypothetical protein
31,16014,PMM0405,273.22,72,72,5.58E8,29,29,73,Carbamidomethylation; Oxidation (M),49186,| pdhC | branched-chain alpha-keto acid dehydrogenase subunit E2
42,13324,PMM0552,272.13,54,54,3.6E8,38,38,62,Carbamidomethylation; Oxidation (M),81882,| csoS2 | carboxysome shell protein CsoS2
