Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 380,Area 380,#Peptides,#Unique,#Spec 380,PTM,Avg. Mass,Description
1,2,54036848,173.86,11,11,2.36E8,7,5,34,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,4,ETNP_100,137.34,70,70,2.35E7,20,20,23,Oxidation (M),5311,hypothetical protein
3,1,|#CONTAM#TRYP_PIG|,132.16,45,45,4.31E8,18,18,22,Carbamidomethylation,24409,sp|#CONTAM#TRYP_PIG|
7,292,ETNP_70,112.68,12,12,4.8E6,9,4,9,Carbamidomethylation,41848,Bacterial actin-related protein
4,19,XP_003061104,110.42,19,19,4.41E6,15,2,15,Carbamidomethylation; Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
5,3,ETNP_100,110.10,27,27,2.05E7,10,10,11,,9588,hypothetical protein
11,132,|#CONTAM#K1C9_HUMAN|,102.77,15,15,9.29E5,7,7,7,Oxidation (M),62129,sp|#CONTAM#K1C9_HUMAN|
8,187,ETNP_90,89.42,19,19,1.9E6,9,2,9,Carbamidomethylation; Oxidation (M),33070,Bacterial actin-related protein
10,503,XP_002183424,86.17,14,14,6.11E4,8,1,8,Carbamidomethylation; Oxidation (M),41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
10,504,XP_002183295,86.17,14,14,6.11E4,8,1,8,Carbamidomethylation; Oxidation (M),41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
10,505,XP_002182221,86.17,14,14,6.11E4,8,1,8,Carbamidomethylation; Oxidation (M),41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
6,838,|#CONTAM#CASB_BOVIN|,79.42,26,26,7.39E6,9,9,10,,25107,sp|#CONTAM#CASB_BOVIN|
9,1276,CAN98337.1,78.82,2,2,,3,0,9,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
