Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 5: 334 2-9_94m_nw6_wet_BSA,Area Sample 5: 334 2-9_94m_nw6_wet_BSA,#Peptides,#Unique,#Spec Sample 5: 334 2-9_94m_nw6_wet_BSA,PTM,Avg. Mass,Description
1,2,CAA76847.1,495.08,95,95,4.29E10,908,902,1944,Carbamidomethylation; Oxidation (M),69324,bovine serum albumin [Bos taurus]
2,1,54036848,221.99,11,11,7.42E8,17,13,48,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
4,4,XP_003061104,108.77,11,11,3.72E6,8,3,8,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
5,8313,ETNP_100,103.44,17,17,7.88E6,7,7,8,,9588,hypothetical protein
3,8279,ETNP_100,93.62,66,66,7.66E6,7,6,14,Oxidation (M),5311,hypothetical protein
13,8265,ETNP_70,91.28,10,10,5.45E5,4,1,4,,41848,Bacterial actin-related protein
7,8276,WP_014707596,87.20,3,3,,5,0,6,,95984,chaperone protein ClpB Methylophaga nitratireducenticrescens
7,8268,WP_013260433,87.20,3,3,,5,0,6,,96155,chaperone protein ClpB gamma proteobacterium HdN1
7,8278,BAI70784.1,87.20,3,3,,5,0,6,,95100,ATP-dependent Clp protease ATP-binding subunit [Azospirillum sp. B510]
7,8272,ADI91587.1,87.20,3,3,,5,0,6,,95233,ATP-dependent chaperone ClpB [Acinetobacter oleivorans DR1]
7,2621,NP_300,87.20,3,3,,5,0,6,,96223,Chaperone protein ClpB
7,27,WP_011132214.1,87.20,3,3,,5,0,6,,97364,chaperone protein ClpB [Prochlorococcus marinus]
7,11,WP_009773391.1,87.20,3,3,,5,0,6,,79198,protein disaggregation chaperone [marine actinobacterium PHSC20C1]
7,25,ACL71908.1,87.20,3,3,,5,0,6,,95840,ATP-dependent chaperone ClpB [Thioalkalivibrio sulfidiphilus HL-EbGr7]
7,26,WP_011376136.1,87.20,3,3,,5,0,6,,97126,chaperone protein ClpB [Prochlorococcus marinus]
7,8,ACJ00008.1,87.20,3,3,,5,0,6,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
6,31,ADH90010.1,87.03,2,2,1.68E6,5,1,6,,95717,ATP-dependent chaperone ClpB [Starkeya novella DSM 506]
17,2735,ETNP_90,82.59,12,12,0E0,4,1,4,Oxidation (M),33070,Bacterial actin-related protein
19,8303,XP_002185049,78.06,19,19,4.5E5,4,4,4,,16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
19,8304,EJK77863,78.06,19,19,4.5E5,4,4,4,,16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
19,8305,EJK58168,78.06,19,19,4.5E5,4,4,4,,16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
19,8306,ETNP_90,78.06,18,18,4.5E5,4,4,4,,18514,EF hand
41,17543,XP_002180656,68.84,6,6,5.98E4,2,2,2,Oxidation (M),49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
53,57190,ETNP_150,63.91,7,7,4.57E5,2,2,2,,49573,Multicopper oxidase
53,57191,ETNP_180,63.91,7,7,4.57E5,2,2,2,,51388,Multicopper oxidase
53,57192,ETNP_300,63.91,7,7,4.57E5,2,2,2,,51330,Multicopper oxidase
53,57193,ETNP_160,63.91,7,7,4.57E5,2,2,2,,51388,Multicopper oxidase
53,57194,ETNP_140,63.91,7,7,4.57E5,2,2,2,,51388,Multicopper oxidase
9,8292,ETNP_160,59.62,2,2,2.15E6,2,1,6,,48798,Dihydrolipoyl dehydrogenase 3
16,8407,ETNP_90,58.95,16,16,6.02E5,3,1,4,,6485,hypothetical protein
16,8372,ETNP14_68,58.95,16,16,6.02E5,3,1,4,,6471,hypothetical protein
30,57195,XP_003056674,58.88,5,5,9.4E4,3,2,3,,60236,ATP synthase  Micromonas pusilla CCMP1545
274,57207,ETNP_120,56.54,7,7,1.95E5,1,1,1,,21845,hypothetical protein
72,8274,ETNP_120,54.43,8,8,1.29E5,2,2,2,,28624,hypothetical protein
15,57196,ETNP_70,51.61,3,3,1.71E7,3,3,4,,71479,hypothetical protein
75,57227,ETNP_160,51.19,8,8,1.53E6,2,2,2,,18513,Threonylcarbamoyl-AMP synthase
75,57228,ETNP_120,51.19,8,8,1.53E6,2,2,2,,18513,Threonylcarbamoyl-AMP synthase
8,57235,WP_015898234,48.92,2,2,4.55E6,2,2,6,,42119,hypothetical protein Acidobacterium capsulatum
275,8337,ETNP_120,48.28,9,9,1.78E5,1,1,1,,12312,hypothetical protein
414,57215,ETNP_120,44.00,6,6,6.75E5,1,1,1,,15781,hypothetical protein
414,57216,ETNP_140,44.00,4,4,6.75E5,1,1,1,,21148,hypothetical protein
