Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
5,499,WP_002807869,119.79,80,17,5,,10586,carbon dioxide-concentrating mechanism protein CcmK Prochlorococcus
5,500,NP_30m_PROKKA_04690,119.79,80,17,5,,10586,Major carboxysome shell protein 1A
2,306,ETNP_90m_PROKKA_129379,117.02,80,17,5,,10571,Major carboxysome shell protein 1A
2,308,ETNP14_68maa_PROKKA_192080,117.02,80,17,5,,10571,Major carboxysome shell protein 1A
14,2240,ETNP_70m_PROKKA_142252,113.35,21,13,3,,41848,Bacterial actin-related protein
1,261,XP_003056479,108.91,32,20,2,,49615,beta tubulin  Micromonas pusilla CCMP1545
11,363,WP_042850333,107.15,28,14,14,,52814,glutamine synthetase Prochlorococcus sp MIT 0604
4,257,XP_003080933,105.27,22,18,1,,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
6,244,XP_003062500,104.22,24,17,0,,49730,alpha tubulin  Micromonas pusilla CCMP1545
6,245,XP_003058621,104.22,24,17,0,,49730,alpha tubulin  Micromonas pusilla CCMP1545
10,1612,ETNP_100m_particle_PROKKA_00069,103.72,72,13,13,,5311,hypothetical protein
9,661,XP_003061104,101.16,27,19,1,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
12,1677,ETNP_90m_PROKKA_166636,93.18,34,16,3,,33070,Bacterial actin-related protein
21,577,WP_011128866,93.15,30,6,4,,18085,C-phycoerythrin class 2 subunit beta Synechococcus
17,1906,ETNP_100m_particle_PROKKA_55047,91.50,15,8,8,,9588,hypothetical protein
16,474,ETNP_100m_particle_PROKKA_82300,89.95,60,11,4,,14624,Tubulin/FtsZ family  GTPase domain
3,129,ETNP_120m_PROKKA_318382,89.75,36,16,7,,34262,hypothetical protein
15,431,XP_003074279,89.31,22,14,0,,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
7,557,ETNP_100m_particle_PROKKA_140022,88.59,50,13,1,,11381,Core histone H2A/H2B/H3/H4
8,520,XP_003063038,86.72,50,13,1,,11395,predicted protein  Micromonas pusilla CCMP1545
8,521,ETNP_90m_PROKKA_109358,86.72,50,13,1,,11367,Core histone H2A/H2B/H3/H4
8,522,ETNP_70m_PROKKA_144910,86.72,50,13,1,,11395,Core histone H2A/H2B/H3/H4
8,516,ETNP_70m_PROKKA_132488,86.72,50,13,1,,11367,Core histone H2A/H2B/H3/H4
8,523,XP_003061514,86.72,50,13,1,,11395,histone H4  Micromonas pusilla CCMP1545
8,517,ETNP_120m_particle_PROKKA_44959,86.72,50,13,1,,11365,Core histone H2A/H2B/H3/H4
8,518,ETNP14_68mB_PROKKA_59955,86.72,50,13,1,,11367,Core histone H2A/H2B/H3/H4
8,519,XP_003061756,86.72,50,13,1,,11395,predicted protein  Micromonas pusilla CCMP1545
8,524,XP_003059520,86.72,50,13,1,,11395,predicted protein  Micromonas pusilla CCMP1545
8,541,XP_003074685,86.72,18,13,1,,31136,Histone H4 ISS  Ostreococcus tauri
18,2074,XP_002180656,86.44,13,9,3,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
19,2080,XP_002183424,81.07,15,10,0,,41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
19,2081,XP_002183295,81.07,15,10,0,,41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
19,2082,XP_002182221,81.07,15,10,0,,41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
32,1880,WP_011128867,79.30,19,5,5,,17729,C-phycoerythrin class 2 subunit alpha Synechococcus
13,811,XP_002179286,77.70,50,11,1,,11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
13,813,EJK69577,77.70,50,11,1,,11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
13,812,XP_002179505,77.70,50,11,1,,11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
13,814,EJK72475,77.70,44,11,1,,13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
13,820,EJK63755,77.70,14,11,1,,39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
28,982,AGH07461.1,75.21,12,6,1,,50091,hypothetical protein CYVG_00017 [Cyanophage S-SSM6a]
25,294,ETNP14_68maa_PROKKA_10583,74.06,12,6,0,,50892,Major capsid protein Gp23
26,653,AIR93447.1,74.00,11,6,0,,51131,putative precursor of major head subunit [Prochlorococcus phage P-TIM68]
