GO acc	GO aspect	GO name	count	total count	ratio
GO:0008150	biological_process	biological_process	2961	2961	1
unknownprc	biological_process	unknown biological process	1960	2961	0.661938534
GO:0009987	biological_process	cellular process	926	2961	0.312732185
GO:0008152	biological_process	metabolic process	775	2961	0.2617359
GO:0044237	biological_process	cellular metabolic process	731	2961	0.246876055
GO:0044699	biological_process	single-organism process	679	2961	0.229314421
GO:0071704	biological_process	organic substance metabolic process	519	2961	0.175278622
GO:0044238	biological_process	primary metabolic process	489	2961	0.16514691
GO:0044710	biological_process	single-organism metabolic process	486	2961	0.164133739
GO:0044763	biological_process	single-organism cellular process	406	2961	0.137115839
GO:0065007	biological_process	biological regulation	394	2961	0.133063154
GO:0050789	biological_process	regulation of biological process	386	2961	0.130361364
GO:0050794	biological_process	regulation of cellular process	382	2961	0.129010469
GO:0043170	biological_process	macromolecule metabolic process	381	2961	0.128672746
GO:0044260	biological_process	cellular macromolecule metabolic process	378	2961	0.127659574
GO:0015979	biological_process	photosynthesis	354	2961	0.119554205
GO:0019222	biological_process	regulation of metabolic process	340	2961	0.114826072
GO:0031323	biological_process	regulation of cellular metabolic process	340	2961	0.114826072
GO:0019538	biological_process	protein metabolic process	339	2961	0.114488349
GO:0006807	biological_process	nitrogen compound metabolic process	326	2961	0.11009794
GO:0009058	biological_process	biosynthetic process	315	2961	0.106382979
GO:1901576	biological_process	organic substance biosynthetic process	314	2961	0.106045255
GO:0055114	biological_process	oxidation-reduction process	308	2961	0.104018913
GO:0044249	biological_process	cellular biosynthetic process	299	2961	0.100979399
GO:0071840	biological_process	cellular component organization or biogenesis	266	2961	0.089834515
GO:0016043	biological_process	cellular component organization	261	2961	0.088145897
GO:0034641	biological_process	cellular nitrogen compound metabolic process	257	2961	0.086795002
GO:0044271	biological_process	cellular nitrogen compound biosynthetic process	239	2961	0.080715974
GO:0044267	biological_process	cellular protein metabolic process	236	2961	0.079702803
GO:0034645	biological_process	cellular macromolecule biosynthetic process	215	2961	0.072610605
GO:0009059	biological_process	macromolecule biosynthetic process	215	2961	0.072610605
GO:0006810	biological_process	transport	212	2961	0.071597433
GO:1902578	biological_process	single-organism localization	212	2961	0.071597433
GO:0044765	biological_process	single-organism transport	212	2961	0.071597433
GO:0051179	biological_process	localization	212	2961	0.071597433
GO:0051234	biological_process	establishment of localization	212	2961	0.071597433
GO:0050896	biological_process	response to stimulus	209	2961	0.070584262
GO:0006996	biological_process	organelle organization	206	2961	0.069571091
GO:0060255	biological_process	regulation of macromolecule metabolic process	204	2961	0.068895643
GO:0080090	biological_process	regulation of primary metabolic process	204	2961	0.068895643
GO:0006950	biological_process	response to stress	197	2961	0.066531577
