Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
1,9880,PMM1436,504.94,95,95,5.07E10,191,190,1468,Carbamidomethylation; Oxidation (M),57441,| groEL | chaperonin GroEL
3,10366,PMM0452,405.57,69,69,7.66E9,71,70,285,Carbamidomethylation; Oxidation (M),61441,| groEL | chaperonin GroEL
5,12773,PMM0228,401.62,84,84,4.35E9,57,57,178,Carbamidomethylation; Oxidation (M),28114,| psbO | photosystem II manganese-stabilizing protein
4,9777,PMM1704,382.57,63,63,3.73E9,47,47,181,Carbamidomethylation; Oxidation (M),68244,| dnaK | molecular chaperone DnaK
14,9877,PMM1485,377.74,58,58,1.13E9,56,55,112,Carbamidomethylation; Oxidation (M),122908,| rpoB | DNA-directed RNA polymerase subunit beta
15,10439,PMM0710,367.39,69,69,2.09E9,67,67,111,Oxidation (M),33887,| PMM0710 | ABC transporter  substrate binding protein  phosphate
6,16009,PMM0642,367.15,91,91,5.29E9,43,43,169,Carbamidomethylation; Oxidation (M),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase
7,12780,PMM0901,359.52,71,71,2.49E9,57,55,164,Carbamidomethylation; Oxidation (M),72552,| htpG | heat shock protein 90
12,10413,PMM1483,355.91,60,60,1.06E9,61,61,113,Carbamidomethylation; Oxidation (M),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta'
13,16035,PMM0315,355.45,41,41,2.82E9,35,35,115,,56091,| psbB | photosystem II PsbB protein (CP47)
22,9717,PMM1088,343.16,67,67,6.63E8,51,49,85,Carbamidomethylation; Oxidation (M),93427,| clpC | ClpC
9,16023,PMM0407,339.76,82,82,2.23E9,29,29,147,Carbamidomethylation; Oxidation (M),34981,| cysK1 | O-acetylserine (thiol)-lyase A
8,10114,PMM1508,332.86,72,72,2.79E9,44,44,150,Carbamidomethylation; Oxidation (M),43622,| tuf | elongation factor Tu
26,10079,PMM1494,329.64,48,48,3.63E8,47,46,78,Carbamidomethylation; Oxidation (M),127148,| infB | translation initiation factor IF-2
57,10485,PMM0226,325.33,50,50,2.8E8,25,21,51,Carbamidomethylation; Oxidation (M),66746,| ftsH2 | cell division protein FtsH2
19,10505,PMM1309,315.61,74,74,2.55E9,31,31,100,Carbamidomethylation; Oxidation (M),39151,| ftsZ | cell division protein FtsZ
31,16061,PMM0583,314.51,58,58,6.34E8,25,25,72,Oxidation (M),38974,| hemE | uroporphyrinogen decarboxylase
32,9922,PMM0661,313.55,54,54,4.67E8,37,37,70,Carbamidomethylation,90662,| nrdJ | ribonucleotide reductase (class II)
11,10638,PMM1350,311.79,81,81,3.96E9,27,27,117,Carbamidomethylation; Oxidation (M),20921,| PMM1350 | pentapeptide repeat-containing protein
