Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,1173,NP_85m_PROKKA_14278,267.39,71,82,6,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,1174,NP_300m_PROKKA_22657,267.39,71,82,6,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,1172,NP_85m_PROKKA_09702,266.84,65,79,2,,39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,1176,NP_125m_PROKKA_07506,266.84,64,79,2,,39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,1934,ETNP14_120maa_PROKKA_147628,264.00,58,60,0,,39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,1891,NP_125m_PROKKA_02672,263.88,53,58,0,,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,1890,NP_85m_PROKKA_10653,263.88,53,58,0,,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,1128,ETNP14_68maa_PROKKA_78515,263.85,58,72,0,,39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,1171,ETNP14_120maa_PROKKA_54071,263.51,60,72,0,,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,1170,ETNP14_68maa_PROKKA_58668,263.51,60,72,0,,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
9,107171,ETNP_120m_PROKKA_78196,258.06,50,64,0,,39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,1160,NP_100m_PROKKA_18521,257.08,62,63,0,,33157,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,1140,NP_85m_PROKKA_05533,255.87,48,59,1,,39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,1900,NP_100m_PROKKA_09018,255.56,68,65,0,,31289,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,900,NP_300m_PROKKA_20959,247.60,65,69,1,,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,107165,ETNP_100m_particle_PROKKA_120937,242.66,61,63,0,,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
19,2479,ETNP_300m_PROKKA_116083,242.65,42,46,0,,32718,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
20,1897,ETNP14_120mab_PROKKA_13393,241.59,68,45,0,,21172,Alpha-keto acid-binding periplasmic protein TakP precursor
12,107172,ETNP_120m_PROKKA_51847,241.30,65,56,0,,28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,791,ETNP_180m_PROKKA_32538,240.04,54,61,0,,39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
13,792,ETNP_160m_PROKKA_195160,237.20,53,60,0,,39753,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
16,1197,ETNP_120m_free_PROKKA_239923,234.23,47,55,0,,39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
22,2422,NP_300m_PROKKA_27639,230.02,48,33,0,,20814,Alpha-keto acid-binding periplasmic protein TakP precursor
23,2421,ETNP_160m_PROKKA_208095,228.99,41,31,0,,20919,Alpha-keto acid-binding periplasmic protein TakP precursor
25,2423,ETNP_300m_PROKKA_156689,226.99,39,29,0,,20979,Alpha-keto acid-binding periplasmic protein TakP precursor
17,889,ETNP_140m_PROKKA_69877,225.48,53,51,0,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
21,107179,ETNP_100m_PROKKA_87174,221.33,54,47,1,,24182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
