Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 10: 279 4-19_265m_netwash1of3-A,Area Sample 10: 279 4-19_265m_netwash1of3-A,#Peptides,#Unique,#Spec Sample 10: 279 4-19_265m_netwash1of3-A,PTM,Avg. Mass,Description
1,1,54036848,230.54,11,11,5.6E8,15,12,37,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,2,CAA76847.1,171.12,20,20,1.05E7,10,10,16,Carbamidomethylation,69324,bovine serum albumin [Bos taurus]
8,17446,WP_012519826,84.51,11,11,9.24E5,5,2,6,,43224,elongation factor Tu Alteromonas mediterranea
8,17447,ETNP14_120,84.51,11,11,9.24E5,5,2,6,,43251,Elongation factor Tu
6,29,CAN98337.1,82.46,3,3,5.2E6,4,1,8,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
5,8291,WP_011311327,82.12,3,3,1.92E5,4,1,8,,94795,chaperone protein ClpB Thiobacillus denitrificans
4,25,ACL71908.1,81.45,3,3,1.97E5,4,1,8,,95840,ATP-dependent chaperone ClpB [Thioalkalivibrio sulfidiphilus HL-EbGr7]
4,8278,BAI70784.1,81.45,3,3,1.97E5,4,1,8,,95100,ATP-dependent Clp protease ATP-binding subunit [Azospirillum sp. B510]
4,8,ACJ00008.1,81.45,3,3,1.97E5,4,1,8,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
4,26,WP_011376136.1,81.45,3,3,1.97E5,4,1,8,,97126,chaperone protein ClpB [Prochlorococcus marinus]
4,11,WP_009773391.1,81.45,3,3,1.97E5,4,1,8,,79198,protein disaggregation chaperone [marine actinobacterium PHSC20C1]
4,2621,NP_300,81.45,3,3,1.97E5,4,1,8,,96223,Chaperone protein ClpB
4,8272,ADI91587.1,81.45,3,3,1.97E5,4,1,8,,95233,ATP-dependent chaperone ClpB [Acinetobacter oleivorans DR1]
4,8268,WP_013260433,81.45,3,3,1.97E5,4,1,8,,96155,chaperone protein ClpB gamma proteobacterium HdN1
4,27,WP_011132214.1,81.45,3,3,1.97E5,4,1,8,,97364,chaperone protein ClpB [Prochlorococcus marinus]
4,8276,WP_014707596,81.45,3,3,1.97E5,4,1,8,,95984,chaperone protein ClpB Methylophaga nitratireducenticrescens
11,17451,ETNP_90,76.97,9,9,6.75E4,5,1,5,,43421,Elongation factor Tu
9,4,XP_003061104,71.36,8,8,1.75E6,6,3,6,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
14,133593,ETNP_90,70.12,54,54,1.41E6,5,5,5,,7880,hypothetical protein
14,133594,NP_125,70.12,54,54,1.41E6,5,5,5,,7880,hypothetical protein
14,133595,NP_100,70.12,54,54,1.41E6,5,5,5,,7881,hypothetical protein
14,133596,NP_85,70.12,54,54,1.41E6,5,5,5,,7881,hypothetical protein
14,133597,ETNP_100,70.12,54,54,1.41E6,5,5,5,,7880,hypothetical protein
14,133598,ETSP_PROKKA,70.12,44,44,1.41E6,5,5,5,,9788,hypothetical protein
14,133599,SAR11,70.12,44,44,1.41E6,5,5,5,,9773,Calcium dodecin
14,133600,SAR11,70.12,44,44,1.41E6,5,5,5,,9787,Calcium dodecin
14,133601,SAR11,70.12,44,44,1.41E6,5,5,5,,9788,Calcium dodecin
14,133602,SAR11,70.12,44,44,1.41E6,5,5,5,,9773,Calcium dodecin
14,133603,ETNP14_68,70.12,44,44,1.41E6,5,5,5,,9787,hypothetical protein
14,133604,ETSP_PROKKA,70.12,44,44,1.41E6,5,5,5,,9788,hypothetical protein
14,133605,SAR11,70.12,44,44,1.41E6,5,5,5,,9788,Calcium dodecin
14,133606,ETNP14_120,70.12,44,44,1.41E6,5,5,5,,9753,hypothetical protein
26,17450,WP_011467412.1,69.25,7,7,,3,0,3,,44287,elongation factor Tu [Saccharophagus degradans]
35,17457,ETNP_180,65.64,7,7,,3,0,3,,43785,Elongation factor Tu
35,17458,ETNP_160,65.64,7,7,,3,0,3,,43785,Elongation factor Tu
51,8313,ETNP_100,64.69,13,13,2.24E6,2,2,2,,9588,hypothetical protein
28,17463,WP_011217126.1,59.89,5,5,,3,0,3,,42975,elongation factor Tu [Photobacterium profundum]
28,17455,WP_011219964.1,59.89,5,5,,3,0,3,,43220,elongation factor Tu [Photobacterium profundum]
28,17461,ETNP14_120,59.89,5,5,,3,0,3,,43498,Elongation factor Tu
18,38,XP_002183424,59.31,5,5,3.49E5,4,1,4,,41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
18,39,XP_002183295,59.31,5,5,3.49E5,4,1,4,,41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
18,40,XP_002182221,59.31,5,5,3.49E5,4,1,4,,41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
15,133683,ETNP_150,52.86,22,22,1.01E6,4,4,4,Carbamidomethylation,12837,hypothetical protein
