Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja04-20170410,Area etnp-ja04-20170410,#Peptides,#Unique,#Spec etnp-ja04-20170410,PTM,Avg. Mass,Description
1,134086,NP_85,289.48,69,69,3.14E7,163,8,212,Carbamidomethylation; Oxidation (M),39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,134087,NP_125,289.48,69,69,3.14E7,163,8,212,Carbamidomethylation; Oxidation (M),39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,134204,SAR11,286.53,66,66,,153,0,199,Carbamidomethylation; Oxidation (M),39865,Monocarboxylate 2-oxoacid-binding periplasmic protein
3,134217,NP_85,285.22,70,70,9.6E5,154,4,199,Carbamidomethylation; Oxidation (M),39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,134218,NP_300,285.22,70,70,9.6E5,154,4,199,Carbamidomethylation; Oxidation (M),39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,134117,ETNP14_68,276.97,62,62,,137,0,182,Carbamidomethylation; Oxidation (M),39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,134216,NP_100,276.95,73,73,,137,0,180,Carbamidomethylation; Oxidation (M),31289,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,134068,ETNP14_120,272.96,65,65,,136,0,179,Carbamidomethylation; Oxidation (M),39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,134069,ETNP14_68,272.96,65,65,,136,0,179,Carbamidomethylation; Oxidation (M),39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,152223,ETNP_120,267.09,56,56,,123,0,163,Carbamidomethylation; Oxidation (M),39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,152232,ETNP_140,261.05,59,59,,115,0,155,Carbamidomethylation; Oxidation (M),35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
19,152243,ETNP_100,260.89,52,52,,100,0,134,Oxidation (M),24182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
16,134392,NP_125,260.48,59,59,,105,0,142,Carbamidomethylation; Oxidation (M),39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
16,134394,NP_85,260.48,59,59,,105,0,142,Carbamidomethylation; Oxidation (M),39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
9,152226,ETNP_100,260.37,65,65,,111,0,150,Carbamidomethylation; Oxidation (M),39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,134067,ETNP14_120,260.07,63,63,,108,0,144,Carbamidomethylation; Oxidation (M),31627,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,134239,NP_300,259.69,51,51,,109,0,148,Carbamidomethylation; Oxidation (M),39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,134362,NP_85,259.64,50,50,,109,0,148,Carbamidomethylation; Oxidation (M),39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,152227,ETNP_120,259.16,63,63,,107,0,143,Carbamidomethylation; Oxidation (M),39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
13,134391,NP_300,258.19,68,68,,110,0,146,Carbamidomethylation; Oxidation (M),39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,134363,ETNP14_120,258.05,52,52,,109,0,147,Carbamidomethylation; Oxidation (M),39544,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
18,152222,ETNP_120,256.09,77,77,,99,0,135,Carbamidomethylation; Oxidation (M),28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
21,134393,ETNP14_120,253.41,57,57,,95,0,130,Carbamidomethylation; Oxidation (M),39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
17,152238,ETNP_180,249.09,60,60,1.68E5,101,1,137,Carbamidomethylation; Oxidation (M),39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
20,152252,ETNP_120,247.33,53,53,,95,0,131,Carbamidomethylation; Oxidation (M),39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
22,101767,54036848,234.79,11,11,6.57E8,9,4,52,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
23,152254,ETNP_160,232.30,60,60,,67,0,96,Carbamidomethylation; Oxidation (M),28182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
24,134184,ETNP14_68,228.81,47,47,,55,0,82,Carbamidomethylation; Oxidation (M),21083,Alpha-keto acid-binding periplasmic protein TakP precursor
58,134219,NP_300,217.49,26,26,2.3E7,9,6,17,Carbamidomethylation; Oxidation (M),39385,Bacterial extracellular solute-binding protein
58,134220,ETNP_120,217.49,26,26,2.3E7,9,6,17,Carbamidomethylation; Oxidation (M),39375,Bacterial extracellular solute-binding protein
58,134221,ETNP_120,217.49,26,26,2.3E7,9,6,17,Carbamidomethylation; Oxidation (M),39385,Bacterial extracellular solute-binding protein
58,134222,ETNP_140,217.49,26,26,2.3E7,9,6,17,Carbamidomethylation; Oxidation (M),39385,Bacterial extracellular solute-binding protein
39,101734,|#CONTAM#TRYP_PIG|,208.30,55,55,3.52E8,16,16,27,Carbamidomethylation; Oxidation (M),24409,sp|#CONTAM#TRYP_PIG|
53,167555,|#CONTAM#HBB_HUMAN|,177.15,84,84,4.04E7,11,11,19,Carbamidomethylation,15867,sp|#CONTAM#HBB_HUMAN|
75,134600,NP_300,167.24,20,20,7.51E6,6,3,13,Carbamidomethylation,39249,Bacterial extracellular solute-binding protein
57,24970,WP_018047900,166.70,9,9,1.96E6,16,1,17,,133487,hypothetical protein Nitrospina sp AB-629-B18
51,134160,NP_300,164.36,44,44,8.06E6,13,7,19,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
51,134161,ETNP14_120,164.36,44,44,8.06E6,13,7,19,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
51,134162,ETNP_120,164.36,44,44,8.06E6,13,7,19,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
51,134163,ETNP_160,164.36,44,44,8.06E6,13,7,19,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
51,134164,ETNP_140,164.36,44,44,8.06E6,13,7,19,Carbamidomethylation,36427,General L-amino acid-binding periplasmic protein AapJ precursor
43,167556,ETNP_110,162.19,79,79,6.6E6,24,14,26,,16208,Phasin protein
43,167557,NP_300,162.19,60,60,6.6E6,24,14,26,,22261,Phasin protein
43,167558,SAR11,162.19,60,60,6.6E6,24,14,26,,22375,hypothetical protein
43,167559,ETNP_120,162.19,60,60,6.6E6,24,14,26,,22375,Phasin protein
42,152245,ETNP_120,149.59,21,21,1.96E7,24,9,26,,63774,Multicopper oxidase
64,134153,NP_300,148.23,27,27,3.76E7,11,9,15,Carbamidomethylation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
64,134154,ETNP_120,148.23,27,27,3.76E7,11,9,15,Carbamidomethylation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
64,134154,ETNP_120,148.23,27,27,3.76E7,11,9,15,Carbamidomethylation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
64,134156,ETNP_110,148.23,27,27,3.76E7,11,9,15,Carbamidomethylation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
67,134115,ETNP14_120,147.38,57,57,,14,0,14,Oxidation (M),21707,Selenate reductase subunit gamma precursor
68,134380,ETNP_160,145.96,72,72,2.97E4,14,1,14,Oxidation (M),18459,Selenate reductase subunit gamma precursor
31,102142,SAR11,145.90,40,40,,21,0,32,Carbamidomethylation,38010,Putative amino-acid ABC transporter-binding protein YhdW
31,102143,SAR11,145.90,40,40,,21,0,32,Carbamidomethylation,38368,Putative amino-acid ABC transporter-binding protein YhdW
31,102144,SAR11,145.90,40,40,,21,0,32,Carbamidomethylation,38623,Putative amino-acid ABC transporter-binding protein YhdW
60,152229,NP_100,144.83,32,32,9.11E6,14,14,15,Carbamidomethylation; Oxidation (M),50268,Aliphatic amidase expression-regulating protein
60,152230,NP_125,144.83,32,32,9.11E6,14,14,15,Carbamidomethylation; Oxidation (M),50268,Aliphatic amidase expression-regulating protein
60,152228,ETNP_110,144.83,34,34,9.11E6,14,14,15,Carbamidomethylation; Oxidation (M),47623,Aliphatic amidase expression-regulating protein
26,167560,ETNP14_120,144.31,39,39,3.38E6,36,11,41,Carbamidomethylation,40014,Alpha-keto acid-binding periplasmic protein TakP precursor
30,102137,ETNP14_68,143.37,35,35,,22,0,32,Carbamidomethylation,37467,General L-amino acid-binding periplasmic protein AapJ precursor
44,167594,ETSP_PROKKA,141.51,49,49,,20,0,25,Carbamidomethylation; Oxidation (M),17975,Alpha-keto acid-binding periplasmic protein TakP precursor
34,102130,ETNP14_120,140.80,32,32,,20,0,30,Carbamidomethylation,37502,General L-amino acid-binding periplasmic protein AapJ precursor
63,152255,NP_300,140.51,26,26,7.86E5,14,3,15,Carbamidomethylation,39400,Leu/Ile/Val/Thr-binding protein precursor
55,25033,WP_018047897,139.83,23,23,3.34E6,15,7,18,Oxidation (M),36029,hypothetical protein Nitrospina sp AB-629-B18
27,133855,NP_100,137.30,41,41,7.14E4,26,2,36,Carbamidomethylation,35769,General L-amino acid-binding periplasmic protein AapJ precursor
71,103157,ETNP_120,136.98,28,28,2.25E6,9,2,13,Carbamidomethylation,32779,General L-amino acid-binding periplasmic protein AapJ precursor
71,103162,ETNP_140,136.98,25,25,2.25E6,9,2,13,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
71,103159,ETNP_160,136.98,25,25,2.25E6,9,2,13,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
71,103163,NP_300,136.98,25,25,2.25E6,9,2,13,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
71,103160,ETNP_300,136.98,25,25,2.25E6,9,2,13,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
71,103164,ETNP_180,136.98,25,25,2.25E6,9,2,13,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
71,103161,ETNP_120,136.98,25,25,2.25E6,9,2,13,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
71,103156,ETNP_120,136.98,32,32,2.25E6,9,2,13,Carbamidomethylation,29167,General L-amino acid-binding periplasmic protein AapJ precursor
35,101934,ETNP14_120,135.84,31,31,,20,0,30,Carbamidomethylation,37413,General L-amino acid-binding periplasmic protein AapJ precursor
38,102129,ETNP14_68,135.54,28,28,,18,0,28,Carbamidomethylation,37979,General L-amino acid-binding periplasmic protein AapJ precursor
52,152281,ETNP14_120,135.47,8,8,1.75E6,19,2,19,Carbamidomethylation,181476,Multicopper oxidase
33,133852,ETNP14_68,134.52,44,44,,19,0,30,Carbamidomethylation,32890,General L-amino acid-binding periplasmic protein AapJ precursor
28,100,WP_011282064,134.10,36,36,,23,0,33,Carbamidomethylation,37685,amino acid ABC transporter substrate-binding protein Candidatus Pelagibacter ubique
121,167586,ETNP_120,131.22,36,36,2.44E6,7,7,7,Carbamidomethylation,17587,hypothetical protein
29,152375,NP_85,130.26,48,48,,25,0,32,Carbamidomethylation,16566,Alpha-keto acid-binding periplasmic protein TakP precursor
40,167564,NP_85,130.11,25,25,2.57E6,21,9,26,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
40,167565,NP_125,130.11,25,25,2.57E6,21,9,26,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
40,167566,ETNP_120,130.11,25,25,2.57E6,21,9,26,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
40,167567,ETNP14_120,130.11,25,25,2.57E6,21,9,26,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
40,152419,NP_100,130.11,25,25,2.57E6,21,9,26,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
40,167568,ETNP_110,130.11,25,25,2.57E6,21,9,26,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
40,167569,ETNP_100,130.11,25,25,2.57E6,21,9,26,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
62,167596,ETNP_110,130.10,72,72,5.13E6,13,11,15,,8047,hypothetical protein
62,167597,ETNP_100,130.10,72,72,5.13E6,13,11,15,,8047,hypothetical protein
62,167598,ETNP14_120,130.10,72,72,5.13E6,13,11,15,,8047,hypothetical protein
62,167599,NP_300,130.10,72,72,5.13E6,13,11,15,,8047,hypothetical protein
37,133838,NP_85,128.45,35,35,,18,0,28,Carbamidomethylation,36415,General L-amino acid-binding periplasmic protein AapJ precursor
50,133842,NP_85,127.33,28,28,1.29E7,15,4,19,Carbamidomethylation; Oxidation (M),49419,Selenate reductase subunit beta
50,133843,ETNP14_68,127.33,28,28,1.29E7,15,4,19,Carbamidomethylation; Oxidation (M),49437,Selenate reductase subunit beta
