Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
5,1891,NP_125m_PROKKA_02672,202.00,52,28,1,,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,1890,NP_85m_PROKKA_10653,202.00,52,28,1,,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
9,1934,ETNP14_120maa_PROKKA_147628,201.41,48,26,0,,39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,1171,ETNP14_120maa_PROKKA_54071,199.34,48,28,0,,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,1170,ETNP14_68maa_PROKKA_58668,199.34,48,28,0,,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,1128,ETNP14_68maa_PROKKA_78515,199.34,52,28,0,,39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,900,NP_300m_PROKKA_20959,193.72,56,30,0,,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,107165,ETNP_100m_particle_PROKKA_120937,190.81,57,29,1,,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
13,107171,ETNP_120m_PROKKA_78196,190.62,37,22,0,,39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,1140,NP_85m_PROKKA_05533,190.36,33,20,0,,39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,107172,ETNP_120m_PROKKA_51847,189.77,66,27,1,,28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,1173,NP_85m_PROKKA_14278,188.56,55,31,3,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,1174,NP_300m_PROKKA_22657,188.56,55,31,3,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,1175,ETNP14_68maa_PROKKA_144097,186.74,52,29,1,,39674,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,1172,NP_85m_PROKKA_09702,186.74,52,29,1,,39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,1176,NP_125m_PROKKA_07506,186.74,52,29,1,,39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,791,ETNP_180m_PROKKA_32538,185.36,51,29,1,,39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,889,ETNP_140m_PROKKA_69877,181.12,42,20,0,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,1900,NP_100m_PROKKA_09018,176.34,50,24,0,,31289,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,1197,ETNP_120m_free_PROKKA_239923,175.64,40,23,0,,39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
17,2479,ETNP_300m_PROKKA_116083,172.56,29,14,0,,32718,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
22,118936,ETNP_120m_PROKKA_129156,169.71,30,20,20,,65456,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
22,118937,ETNP_120m_free_PROKKA_72321,169.71,30,20,20,,65456,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
16,1177,ETNP14_120maa_PROKKA_92245,167.27,35,19,2,,39544,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
24,107167,ETNP_110m_PROKKA_49243,163.55,42,20,20,,47623,Aliphatic amidase expression-regulating protein
24,107169,NP_125m_PROKKA_07093,163.55,40,20,20,,50268,Aliphatic amidase expression-regulating protein
24,107168,NP_100m_PROKKA_08459,163.55,40,20,20,,50268,Aliphatic amidase expression-regulating protein
18,107179,ETNP_100m_PROKKA_87174,160.02,38,13,0,,24182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
19,2421,ETNP_160m_PROKKA_208095,158.86,34,12,0,,20919,Alpha-keto acid-binding periplasmic protein TakP precursor
20,2423,ETNP_300m_PROKKA_156689,157.14,32,11,0,,20979,Alpha-keto acid-binding periplasmic protein TakP precursor
33,4738,NP_300m_PROKKA_06204,153.31,32,13,10,,39385,Bacterial extracellular solute-binding protein
33,4739,ETNP_120m_particle_PROKKA_168206,153.31,32,13,10,,39375,Bacterial extracellular solute-binding protein
33,4737,ETNP_120m_PROKKA_307121,153.31,32,13,10,,39385,Bacterial extracellular solute-binding protein
33,4740,ETNP_140m_PROKKA_80561,153.31,32,13,10,,39385,Bacterial extracellular solute-binding protein
25,1119,ETNP_160m_PROKKA_81170,145.65,15,14,8,,129586,hypothetical protein
25,1120,ETNP_120m_PROKKA_83125,145.65,15,14,8,,130073,hypothetical protein
25,1121,ETNP_180m_PROKKA_81128,145.65,15,14,8,,130100,hypothetical protein
26,1420,ETNP14_120maa_PROKKA_68035,145.49,27,14,5,,45184,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
26,1421,NP_300m_PROKKA_04504,145.49,27,14,5,,45565,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
21,107174,ETNP_300m_PROKKA_184521,144.26,31,22,22,,67558,Methanol dehydrogenase [cytochrome c] subunit 1
42,2098,NP_300m_PROKKA_09744,140.50,19,11,5,,64538,putative oxidoreductase YdhV
37,57413,NP_300m_PROKKA_14803,140.33,21,11,2,,57679,60 kDa chaperonin
37,57414,ETNP_120m_particle_PROKKA_189924,140.33,21,11,2,,57693,60 kDa chaperonin
37,118943,ETNP_120m_PROKKA_167165,140.33,21,11,2,,57725,60 kDa chaperonin
37,57411,ETNP_180m_PROKKA_186511,140.33,21,11,2,,57711,60 kDa chaperonin
37,57412,ETNP_160m_PROKKA_52423,140.33,21,11,2,,57723,60 kDa chaperonin
38,118962,ETSP_PROKKA_00299,137.87,43,11,0,,17975,Alpha-keto acid-binding periplasmic protein TakP precursor
