Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1: 273 4-19_965m_top+p,Area Sample 1: 273 4-19_965m_top+p,#Peptides,#Unique,#Spec Sample 1: 273 4-19_965m_top+p,PTM,Avg. Mass,Description
1,1,54036848,267.96,12,12,9.1E8,13,7,76,Dehydration; Deamidation (NQ); Sodium adduct; Carbamylation; Replacement of 2 protons by calcium; 6 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,8265,ETNP_70,182.49,20,20,1.95E7,21,9,26,Carbamidomethylation; Oxidation (M),41848,Bacterial actin-related protein
2,4,XP_003061104,152.75,32,32,2.03E7,31,6,40,Carbamidomethylation; Oxidation (M); Carbamylation; Amidination of lysines or N-terminal amines with methyl acetimidate,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
5,40,XP_002182221,117.53,24,24,5.84E5,15,1,19,Carbamidomethylation; Oxidation (M); Dehydration,41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
5,39,XP_002183295,117.53,24,24,5.84E5,15,1,19,Carbamidomethylation; Oxidation (M); Dehydration,41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
5,38,XP_002183424,117.53,24,24,5.84E5,15,1,19,Carbamidomethylation; Oxidation (M); Dehydration,41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
6,17550,ETNP_70,109.96,27,27,4.19E6,14,6,15,Carbamidomethylation; Methylation(others); Amidination of lysines or N-terminal amines with methyl acetimidate; Deoxy,27021,Bacterial actin-related protein
8,2735,ETNP_90,108.13,28,28,1.18E6,13,2,16,Carbamidomethylation; Phosphorylation to amine thiol,33070,Bacterial actin-related protein
9,17445,ETNP_100,105.69,58,58,5.29E6,13,6,15,Carbamidomethylation,14624,Tubulin/FtsZ family  GTPase domain
7,17481,XP_003074279,103.49,15,15,2.43E6,11,3,12,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
