Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 378_100m_trap_SKQ17_P2,Area 378_100m_trap_SKQ17_P2,#Peptides,#Unique,#Spec 378_100m_trap_SKQ17_P2,PTM,Avg. Mass,Description
1,392072,gi|54036848,175.77,11,11,1.57E8,7,6,27,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,392226,gi|1694830452,126.96,18,18,5.52E6,14,2,18,,41658,gamma actin  partial [Aspergillus loretoensis]
2,392227,gi|1576969351,126.96,17,17,5.52E6,14,2,18,,42798,hypothetical protein I1G_00004902 [Pochonia chlamydosporia 123]
10,413680,gi|557786459,96.88,14,14,2.9E6,7,2,8,,31894,translation elongation factor 1-alpha  partial [Acremonium sclerotigenum]
10,413681,gi|557786515,96.88,14,14,2.9E6,7,2,8,,32518,translation elongation factor 1-alpha  partial [Sarocladium sp. A131]
10,413682,gi|557786513,96.88,14,14,2.9E6,7,2,8,,32498,translation elongation factor 1-alpha  partial [Acremonium sclerotigenum]
11,413689,gi|1576966799,84.90,8,8,9.45E5,7,2,8,,58408,hypothetical protein I1G_00005025 [Pochonia chlamydosporia 123]
9,393722,ETNP14_120maa_PROKKA_78369,73.21,8,8,7.31E5,5,1,7,Carbamidomethylation,42383,Bacterial actin-related protein
13,392070,gi|1377597314,73.10,11,11,7.31E5,5,1,5,,45609,Tubulin alpha chain  partial [Hondaea fermentalgiana]
13,392069,gi|1591621868,73.10,10,10,7.31E5,5,1,5,,49780,TPA_exp: tubulin alpha chain [Thraustochytrium sp. LLF1b]
16,392091,gi|1377599527,72.62,11,11,2.73E5,5,1,5,,50355,Tubulin alpha chain [Hondaea fermentalgiana]
15,413717,gi|1021283488,65.92,9,9,1.4E5,5,1,6,,36241,elongation factor 1-alpha  partial [Collemopsidium angermannicum]
17,413754,ETNP14_68mB_PROKKA_170417,61.03,10,10,1.1E6,3,2,3,,14050,Enolase
17,413755,NP_125m_PROKKA_19814,61.03,10,10,1.1E6,3,2,3,,13645,Enolase
17,413756,ETNP_120m_particle_PROKKA_227993,61.03,8,8,1.1E6,3,2,3,,17274,Enolase
