Pressure [dbar],StartTime,scan,Time,timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS,flag
2.012,2019-10-05 21:38:22,375.0,2019-10-05 21:38:37.589,15.589,-106.83495,16.78968,2.0,29.5286,29.4871,57210.0,5.728925,0.0424,0.0595,98.5246,1096.5,0.0,2.3588,2.3442,0.0552,0.115,4.5834,0.0,4.0363,0.0,2.3581,2.3443,34.5607,34.6448,21.557,21.6341,193.648,203.847,98.38600000000001,103.54700000000001,False
3.0180000000000002,2019-10-05 21:38:22,909.0,2019-10-05 21:38:59.819,37.819,-106.83491000000001,16.78968,3.0,29.5274,29.4837,57209.0,5.728669,0.0456,0.0587,98.5417,847.57,0.0,2.3585,2.3498,0.0555,0.1144,4.5842,0.0,3.9424,0.0,2.3566,2.3473,34.5608,34.6452,21.5575,21.6356,193.56400000000002,204.18599999999998,98.34200000000001,103.714,False
4.024,2019-10-05 21:38:22,869.0,2019-10-05 21:38:58.172,36.172,-106.83492,16.78968,4.0,29.5402,29.4889,57223.0,5.7290470000000004,0.0394,0.0581,98.5576,814.23,0.0,2.3627,2.3434,0.0549,0.1147,4.5849,0.0,3.9232,0.0,2.3521,2.3465,34.5608,34.6438,21.5533,21.6329,192.468,204.16,97.805,103.708,False
5.03,2019-10-05 21:38:22,891.0,2019-10-05 21:38:59.104,37.104,-106.83492,16.78968,5.0,29.5281,29.4876,57210.0,5.729186,0.0399,0.0579,98.5619,787.7,0.0,2.3622,2.3456,0.0549,0.1147,4.5851,0.0,3.905,0.0,2.3509,2.3452,34.5607,34.6454,21.5575,21.6346,193.42,204.037,98.26899999999999,103.645,False
6.0360000000000005,2019-10-05 21:38:22,938.0,2019-10-05 21:39:01.024,39.024,-106.83492,16.78968,6.0,29.5241,29.4818,57206.0,5.728527,0.0437,0.0583,98.5536,715.86,0.0,2.3551,2.3449,0.0553,0.1148,4.5847,0.0,3.8642,0.0,2.3577,2.3468,34.5604,34.6448,21.5586,21.6362,193.75900000000001,204.25099999999998,98.435,103.743,False
7.042000000000001,2019-10-05 21:38:22,1020.0,2019-10-05 21:39:04.450,42.45,-106.83492,16.78968,7.0,29.5256,29.4837,57208.0,5.728798,0.0422,0.0585,98.5469,685.38,0.0,2.3575,2.3468,0.0552,0.1147,4.5844,0.0,3.84,0.0,2.3527,2.3453,34.5604,34.645,21.5582,21.6358,193.23,204.173,98.169,103.70700000000001,False
8.048,2019-10-05 21:38:22,1154.0,2019-10-05 21:39:10.034,48.034,-106.83493,16.78968,8.0,29.5265,29.4836,57210.0,5.728778,0.0487,0.0579,98.5633,670.9,0.0,2.3556,2.344,0.0559,0.1147,4.5852,0.0,3.8322,0.0,2.3585,2.3423,34.5605,34.6446,21.5581,21.6356,193.8,203.696,98.46,103.464,False
9.054,2019-10-05 21:38:22,1246.0,2019-10-05 21:39:13.886,51.886,-106.83493999999999,16.78968,9.0,29.5261,29.4833,57210.0,5.728853,0.0517,0.0578,98.565,570.11,0.0,2.3639,2.3413,0.0562,0.1148,4.5853,0.0,3.7586,0.0,2.3526,2.3437,34.5606,34.6451,21.5584,21.6362,193.58900000000003,203.68599999999998,98.352,103.459,False
10.06,2019-10-05 21:38:22,1283.0,2019-10-05 21:39:15.427,53.427,-106.83493999999999,16.78968,10.0,29.4978,29.4619,57182.0,5.726874,0.0558,0.0572,98.5799,648.16,0.0,2.352,2.3427,0.0566,0.1154,4.5859,0.0,3.8202,0.0,2.3559,2.3363,34.5616,34.6467,21.5687,21.6447,193.75400000000002,202.90599999999998,98.39200000000001,103.02799999999999,False
11.065999999999999,2019-10-05 21:38:22,1318.0,2019-10-05 21:39:16.876,54.876000000000005,-106.83493999999999,16.78968,11.0,29.5091,29.4573,57193.0,5.726244,0.0567,0.0581,98.5573,562.33,0.0,2.3516,2.3443,0.0567,0.1147,4.5849,0.0,3.7622,0.0,2.3551,2.335,34.5608,34.6455,21.5644,21.6454,193.735,203.097,98.399,103.117,False
12.072000000000001,2019-10-05 21:38:22,1432.0,2019-10-05 21:39:21.610,59.61,-106.83493999999999,16.78968,12.0,29.484,29.4435,57169.0,5.72494,0.0514,0.0583,98.5538,522.56,0.0,2.3574,2.3378,0.0562,0.1152,4.5847,0.0,3.7251,0.0,2.3585,2.3387,34.562,34.6462,21.5739,21.6507,194.084,203.665,98.538,103.383,False
13.078,2019-10-05 21:38:22,1540.0,2019-10-05 21:39:26.129,64.12899999999999,-106.83493999999999,16.78968,13.0,29.4539,29.4165,57147.0,5.723167,0.0634,0.0586,98.5459,524.53,0.0,2.3594,2.3372,0.0573,0.1155,4.5844,0.0,3.7145,0.0,2.3561,2.3419,34.5688,34.6534,21.5892,21.6652,193.99400000000003,204.11700000000002,98.448,103.571,False
14.084000000000001,2019-10-05 21:38:22,1571.0,2019-10-05 21:39:27.417,65.417,-106.83493999999999,16.78968,14.0,29.4471,29.4053,57143.0,5.722264,0.0639,0.0576,98.5695,491.44,0.0,2.3576,2.3376,0.0574,0.1147,4.5855,0.0,3.6957,0.0,2.3548,2.3413,34.5704,34.655,21.5928,21.6703,193.843,203.938,98.36200000000001,103.463,False
15.09,2019-10-05 21:38:22,1602.0,2019-10-05 21:39:28.694,66.694,-106.83493999999999,16.78968,15.0,29.4431,29.4012,57140.0,5.721929,0.0639,0.0576,98.5709,561.74,0.0,2.3553,2.3406,0.0574,0.1155,4.5855,0.0,3.7527,0.0,2.3562,2.3359,34.5709,34.6553,21.5945,21.672,194.142,202.923,98.507,102.941,False
16.096,2019-10-05 21:38:22,1638.0,2019-10-05 21:39:30.199,68.199,-106.83493999999999,16.78968,16.0,29.4381,29.396,57137.0,5.721692,0.0639,0.0576,98.5693,439.09,0.0,2.3557,2.3416,0.0574,0.1154,4.5855,0.0,3.6459,0.0,2.3535,2.3309,34.5726,34.6572,21.5976,21.6752,193.66099999999997,202.99,98.256,102.96799999999999,False
17.102,2019-10-05 21:38:22,1732.0,2019-10-05 21:39:34.111,72.111,-106.83493999999999,16.78968,17.0,29.4358,29.3925,57137.0,5.721497,0.0639,0.0577,98.5689,414.83,0.0,2.3551,2.3349,0.0574,0.1147,4.5854,0.0,3.6263,0.0,2.3563,2.3381,34.5735,34.6581,21.5991,21.6772,194.18900000000002,203.92,98.521,103.434,False
18.108,2019-10-05 21:38:22,1823.0,2019-10-05 21:39:37.908,75.908,-106.83493999999999,16.78968,18.0,29.4245,29.3834,57128.0,5.720882,0.0639,0.0576,98.5713,402.83,0.0,2.356,2.3377,0.0574,0.1148,4.5855,0.0,3.6117,0.0,2.3519,2.3416,34.5753,34.6602,21.6044,21.6819,193.449,204.392,98.12899999999999,103.65899999999999,False
19.114,2019-10-05 21:38:22,1875.0,2019-10-05 21:39:40.091,78.09100000000001,-106.83495,16.78968,19.0,29.4152,29.3733,57120.0,5.720041,0.0639,0.0573,98.5782,372.49,0.0,2.3553,2.3388,0.0574,0.1153,4.5859,0.0,3.5798,0.0,2.3481,2.3411,34.5767,34.6615,21.6086,21.6864,193.354,204.125,98.066,103.508,False
20.12,2019-10-05 21:38:22,1920.0,2019-10-05 21:39:41.946,79.946,-106.83496000000001,16.78968,20.0,29.408,29.3659,57117.0,5.719666,0.0766,0.0573,98.5775,384.78,0.0,2.3511,2.3421,0.0587,0.1147,4.5858,0.0,3.5986,0.0,2.3511,2.3369,34.5791,34.6639,21.6129,21.6907,193.85299999999998,203.768,98.309,103.316,False
21.125999999999998,2019-10-05 21:38:22,1963.0,2019-10-05 21:39:43.750,81.75,-106.83493999999999,16.78968,21.0,29.3981,29.3561,57112.0,5.719186,0.0701,0.0567,98.5927,364.3,0.0,2.3478,2.3409,0.058,0.1148,4.5865,0.0,3.5741,0.0,2.3522,2.3413,34.5827,34.6675,21.6191,21.6968,194.141,204.56400000000002,98.44200000000001,103.705,False
22.131999999999998,2019-10-05 21:38:22,2013.0,2019-10-05 21:39:45.830,83.83,-106.83493999999999,16.78968,22.0,29.3902,29.3481,57110.0,5.719002,0.0719,0.0566,98.594,329.6,0.0,2.3511,2.3377,0.0582,0.115,4.5866,0.0,3.531,0.0,2.3536,2.3397,34.5868,34.6717,21.6249,21.7027,194.16099999999997,204.155,98.44200000000001,103.48700000000001,False
23.139,2019-10-05 21:38:22,2085.0,2019-10-05 21:39:48.816,86.816,-106.83493999999999,16.78968,23.0,29.3827,29.3384,57107.0,5.7186069999999996,0.0737,0.0568,98.5904,301.56,0.0,2.3534,2.3404,0.0584,0.1149,4.5864,0.0,3.4927,0.0,2.3544,2.3386,34.5899,34.6757,21.6298,21.7091,194.274,204.149,98.48899999999999,103.47,False
24.145,2019-10-05 21:38:22,2174.0,2019-10-05 21:39:52.535,90.535,-106.83493999999999,16.78968,24.0,29.366,29.3225,57096.0,5.717444,0.0775,0.0559,98.6112,293.49,0.0,2.3545,2.3384,0.0587,0.1147,4.5874,0.0,3.4808,0.0,2.3562,2.3382,34.594,34.679,21.6386,21.717,194.449,204.17,98.553,103.456,False
25.151,2019-10-05 21:38:22,2220.0,2019-10-05 21:39:54.449,92.449,-106.83493999999999,16.78968,25.0,29.3574,29.3156,57087.0,5.716648,0.0789,0.0562,98.6049,262.58,0.0,2.3556,2.3385,0.0589,0.1147,4.5871,0.0,3.4311,0.0,2.3492,2.3388,34.5936,34.6782,21.6413,21.7188,193.28099999999998,204.40900000000002,97.947,103.565,False
26.156999999999996,2019-10-05 21:38:22,2265.0,2019-10-05 21:39:56.328,94.32799999999999,-106.83493999999999,16.78968,26.0,29.3529,29.311,57084.0,5.716324,0.0882,0.0551,98.6316,205.16,0.0,2.3556,2.3379,0.0598,0.1148,4.5883,0.0,3.3252,0.0,2.3496,2.3345,34.5944,34.679,21.6435,21.721,194.13099999999997,203.692,98.37100000000001,103.195,False
27.163,2019-10-05 21:38:22,2322.0,2019-10-05 21:39:58.693,96.693,-106.83493999999999,16.78968,27.0,29.3456,29.3039,57077.0,5.715713,0.0883,0.0554,98.6251,151.57,0.0,2.3478,2.3385,0.0598,0.115,4.588,0.0,3.1955,0.0,2.3522,2.3385,34.595,34.6797,21.6465,21.7241,194.429,204.425,98.51100000000001,103.555,False
28.169,2019-10-05 21:38:22,2364.0,2019-10-05 21:40:00.448,98.448,-106.83493999999999,16.78968,28.0,29.3375,29.2957,57069.0,5.714917,0.0883,0.0563,98.6013,139.93,0.0,2.3502,2.3332,0.0598,0.1148,4.5869,0.0,3.1597,0.0,2.3558,2.3325,34.595,34.6799,21.6493,21.727,194.891,203.58,98.73200000000001,103.113,False
29.175,2019-10-05 21:38:22,2402.0,2019-10-05 21:40:02.060,100.06,-106.83493999999999,16.78969,29.0,29.3307,29.2888,57062.0,5.714194,0.0883,0.0537,98.666,131.3,0.0,2.352,2.3385,0.0598,0.115,4.5899,0.0,3.1322,0.0,2.3546,2.3321,34.5949,34.6796,21.6515,21.7292,194.31,203.706,98.427,103.166,False
30.180999999999997,2019-10-05 21:38:22,2515.0,2019-10-05 21:40:06.766,104.766,-106.83493999999999,16.7897,30.0,29.3251,29.2821,57057.0,5.713461,0.0871,0.053,98.6838,120.05,0.0,2.353,2.3319,0.0597,0.115,4.5908,0.0,3.0907,0.0,2.3483,2.3341,34.5948,34.6792,21.6534,21.7312,193.995,204.076,98.259,103.34100000000001,False
31.186999999999998,2019-10-05 21:38:22,2588.0,2019-10-05 21:40:09.791,107.791,-106.83493999999999,16.7897,31.0,29.309,29.2673,57038.0,5.711798,0.0963,0.0537,98.6669,95.73899999999999,0.0,2.3463,2.3355,0.0606,0.1154,4.59,0.0,2.9952,0.0,2.3521,2.3357,34.5933,34.6782,21.6578,21.7355,194.43099999999998,204.49400000000003,98.45299999999999,103.52799999999999,False
32.194,2019-10-05 21:38:22,2617.0,2019-10-05 21:40:10.986,108.986,-106.83493999999999,16.7897,32.0,29.3066,29.2649,57035.0,5.711494,0.095,0.0549,98.6369,89.867,0.0,2.3486,2.3333,0.0605,0.1148,4.5886,0.0,2.9677,0.0,2.3521,2.3353,34.593,34.6776,21.6584,21.736,194.75599999999997,204.167,98.61399999999999,103.35799999999999,False
33.2,2019-10-05 21:38:22,2647.0,2019-10-05 21:40:12.257,110.257,-106.83493999999999,16.7897,33.0,29.301,29.2589,57031.0,5.711194,0.1095,0.0549,98.6357,85.694,0.0,2.3518,2.3328,0.062,0.1147,4.5885,0.0,2.9471,0.0,2.3602,2.3379,34.5941,34.6797,21.6613,21.7396,196.85,205.28099999999998,99.665,103.913,False
34.205999999999996,2019-10-05 21:38:22,2689.0,2019-10-05 21:40:14.014,112.014,-106.83493999999999,16.7897,34.0,29.075,29.0123,56791.0,5.687511,0.1128,0.0616,98.4723,79.97399999999999,0.0,2.3522,2.3356,0.0623,0.1151,4.5809,0.0,2.917,0.0,2.3827,2.3586,34.5922,34.6957,21.7356,21.8341,200.392,209.523,101.087,105.645,False
35.211999999999996,2019-10-05 21:38:22,2773.0,2019-10-05 21:40:17.489,115.48899999999999,-106.83493999999999,16.7897,35.0,28.5381,28.2983,56233.0,5.612191999999999,0.1328,0.0717,98.2243,72.187,0.0,2.3828,2.3629,0.0643,0.1149,4.5694,0.0,2.8725,0.0,2.4236,2.4108,34.597,34.6953,21.9174,22.0704,206.24,217.179,103.13600000000001,108.243,False
36.218,2019-10-05 21:38:22,2912.0,2019-10-05 21:40:23.273,121.273,-106.83492,16.7897,36.0,27.8793,27.8609,55557.0,5.568732,0.1852,0.0806,98.0038,67.515,0.0,2.4425,2.4288,0.0695,0.1154,4.5591,0.0,2.8438,0.0,2.4675,2.4382,34.608,34.7131,22.1421,22.227,213.919,221.864,105.84299999999999,109.803,False
37.224000000000004,2019-10-05 21:38:22,2934.0,2019-10-05 21:40:24.210,122.21,-106.83492,16.7897,37.0,27.5849,27.5358,55251.0,5.534948,0.1861,0.0811,97.9921,65.66199999999999,0.0,2.445,2.4264,0.0696,0.1156,4.5586,0.0,2.8316,0.0,2.4799,2.4488,34.6095,34.7154,22.2387,22.3342,215.61900000000003,224.605,106.16799999999999,110.569,False
38.23,2019-10-05 21:38:22,2956.0,2019-10-05 21:40:25.141,123.141,-106.83492,16.7897,38.0,27.2967,27.2404,54949.0,5.5059569999999995,0.197,0.0827,97.9534,61.346000000000004,0.0,2.4489,2.4274,0.0707,0.1156,4.5568,0.0,2.8021,0.0,2.4839,2.4601,34.6091,34.7293,22.3312,22.4397,216.81,227.06900000000002,106.24799999999999,111.24700000000001,False
39.236999999999995,2019-10-05 21:38:22,2979.0,2019-10-05 21:40:26.084,124.084,-106.83492,16.7897,39.0,27.065,27.0226,54709.0,5.480371,0.2076,0.0843,97.9146,57.413999999999994,0.0,2.461,2.4335,0.0717,0.1156,4.555,0.0,2.7734,0.0,2.4898,2.4684,34.6103,34.7094,22.4064,22.4945,218.644,228.668,106.738,111.615,False
