Cruise,Station,mon/dd/yyyy,hh:mm,Longitude [degrees east],Latitude [degrees north],Bottom Depth [m],Pressure [db],Depth (m),Temperature [degrees C],Temperature 2 [degrees C],Salinity [psu],Salinity 2 [psu],Fluorescense [mg/m^3],Beam Transmission [%],PAR,Oxygen [umol/kg],Oxygen [% saturation]
SKQ201617S,sta013,12/29/16,4:05,-104.55608,16.81572,3141,3.018,2.989894987,28.4659,28.4657,33.9836,33.9934,1.15E-01,96.4539,5.63E-01,196.512,99.925
SKQ201617S,sta013,12/29/16,4:05,-104.55604,16.81572,3141,4.024,3.986526649,28.4648,28.4643,33.984,33.9936,1.07E-01,96.5086,4.50E-01,196.541,99.938
SKQ201617S,sta013,12/29/16,4:05,-104.55604,16.81572,3141,5.03,4.983158312,28.4655,28.4646,33.9839,33.9937,1.10E-01,96.5249,3.04E-01,196.655,99.998
SKQ201617S,sta013,12/29/16,4:05,-104.55603,16.81572,3141,6.036,5.979789974,28.4644,28.4641,33.9841,33.9937,1.06E-01,96.5022,2.48E-01,196.963,100.153
SKQ201617S,sta013,12/29/16,4:05,-104.55602,16.81572,3141,7.042,6.976421637,28.4685,28.4684,33.9838,33.9933,1.08E-01,96.5036,2.07E-01,197.203,100.281
SKQ201617S,sta013,12/29/16,4:05,-104.55602,16.81572,3141,8.048,7.973053299,28.4683,28.4687,33.9838,33.9935,1.07E-01,96.4912,1.63E-01,197.361,100.361
SKQ201617S,sta013,12/29/16,4:05,-104.55602,16.81572,3141,9.054,8.969684961,28.4711,28.4711,33.9837,33.9935,1.04E-01,96.5028,1.41E-01,197.273,100.32
SKQ201617S,sta013,12/29/16,4:05,-104.556,16.81572,3141,10.06,9.966316624,28.4709,28.471,33.9838,33.9935,1.06E-01,96.4337,1.22E-01,197.241,100.304
SKQ201617S,sta013,12/29/16,4:05,-104.556,16.81572,3141,11.066,10.96294829,28.47,28.4701,33.9841,33.9936,1.09E-01,96.4938,1.09E-01,197.538,100.454
SKQ201617S,sta013,12/29/16,4:05,-104.556,16.81572,3141,12.072,11.95957995,28.4694,28.4688,33.9844,33.9941,1.07E-01,96.4816,9.36E-02,197.728,100.549
SKQ201617S,sta013,12/29/16,4:05,-104.556,16.81572,3141,13.078,12.95621161,28.4678,28.4679,33.9844,33.994,1.05E-01,96.4979,7.97E-02,197.723,100.545
SKQ201617S,sta013,12/29/16,4:05,-104.55598,16.8157,3141,14.084,13.95284327,28.4694,28.4692,33.9843,33.9939,1.12E-01,96.4782,6.43E-02,197.67,100.52
SKQ201617S,sta013,12/29/16,4:05,-104.55598,16.8157,3141,15.09,14.94947494,28.4693,28.4692,33.9844,33.9939,1.08E-01,96.4966,5.55E-02,197.072,100.216
SKQ201617S,sta013,12/29/16,4:05,-104.55597,16.81571,3141,16.096,15.9461066,28.4689,28.4693,33.9843,33.9939,1.18E-01,96.4525,5.13E-02,197.836,100.604
SKQ201617S,sta013,12/29/16,4:05,-104.55596,16.8157,3141,17.102,16.94273826,28.4489,28.4622,33.9831,33.9932,1.09E-01,96.5081,4.82E-02,197.817,100.561
SKQ201617S,sta013,12/29/16,4:05,-104.55594,16.8157,3141,18.108,17.93936992,28.3913,28.392,33.9837,33.9933,1.09E-01,96.5006,4.30E-02,198.607,100.87
SKQ201617S,sta013,12/29/16,4:05,-104.55594,16.8157,3141,19.114,18.93600159,28.3947,28.3947,34.0018,34.0115,1.13E-01,96.536,4.08E-02,198.852,101.012
SKQ201617S,sta013,12/29/16,4:05,-104.55594,16.8157,3141,20.12,19.93263325,28.4161,28.4154,34.0287,34.037,1.12E-01,96.5346,3.59E-02,198.904,101.09
SKQ201617S,sta013,12/29/16,4:05,-104.55594,16.8157,3141,21.126,20.92926491,28.4423,28.4422,34.0643,34.0739,1.14E-01,96.5122,3.47E-02,199.089,101.249
SKQ201617S,sta013,12/29/16,4:05,-104.55594,16.8157,3141,22.133,21.92688726,28.4416,28.4415,34.0726,34.0822,1.11E-01,96.5357,3.15E-02,199.075,101.246
SKQ201617S,sta013,12/29/16,4:05,-104.55594,16.8157,3141,23.139,22.92351892,28.4199,28.4201,34.0799,34.0894,1.13E-01,96.5509,2.85E-02,199.904,101.637
SKQ201617S,sta013,12/29/16,4:05,-104.55592,16.8157,3141,24.145,23.92015058,28.3258,28.324,34.1092,34.1192,1.21E-01,96.5374,2.59E-02,201.03,102.075
SKQ201617S,sta013,12/29/16,4:05,-104.55592,16.8157,3141,25.151,24.91678225,28.2879,28.2865,34.1216,34.1315,1.16E-01,96.5473,2.49E-02,201.444,102.231
SKQ201617S,sta013,12/29/16,4:05,-104.55592,16.8157,3141,26.157,25.91341391,28.2792,28.2781,34.1239,34.1337,1.18E-01,96.5645,2.26E-02,201.525,102.259
SKQ201617S,sta013,12/29/16,4:05,-104.55592,16.8157,3141,27.163,26.91004557,28.2656,28.2638,34.1279,34.1379,1.20E-01,96.5038,2.12E-02,201.701,102.329
SKQ201617S,sta013,12/29/16,4:05,-104.55592,16.8157,3141,28.169,27.90667723,28.2419,28.2424,34.1345,34.1438,1.19E-01,96.5379,1.98E-02,201.869,102.379
SKQ201617S,sta013,12/29/16,4:05,-104.55591,16.8157,3141,29.175,28.9033089,28.2038,28.2029,34.1453,34.1549,1.18E-01,96.5324,1.98E-02,202.918,102.856
SKQ201617S,sta013,12/29/16,4:05,-104.5559,16.8157,3141,30.181,29.89994056,28.1365,28.1357,34.1628,34.1725,1.24E-01,96.5299,1.79E-02,203.794,103.2
SKQ201617S,sta013,12/29/16,4:05,-104.5559,16.8157,3141,31.187,30.89657222,28.0681,28.068,34.1822,34.1915,1.31E-01,96.504,1.69E-02,204.78,103.598
SKQ201617S,sta013,12/29/16,4:05,-104.5559,16.8157,3141,32.193,31.89320388,28.0361,28.0357,34.1962,34.2058,1.25E-01,96.4495,1.68E-02,205.354,103.844
SKQ201617S,sta013,12/29/16,4:05,-104.5559,16.8157,3141,33.2,32.89082623,28.0179,28.0177,34.2089,34.2182,1.37E-01,96.4677,1.52E-02,205.062,103.675
SKQ201617S,sta013,12/29/16,4:05,-104.5559,16.8157,3141,34.206,33.8874579,27.971,27.9715,34.2613,34.2697,1.48E-01,96.4519,1.46E-02,204.501,103.348
SKQ201617S,sta013,12/29/16,4:05,-104.55589,16.8157,3141,35.212,34.88408956,27.848,27.8439,34.4203,34.4314,1.39E-01,96.3923,1.39E-02,207.888,104.954
SKQ201617S,sta013,12/29/16,4:05,-104.55588,16.8157,3141,36.218,35.88072122,27.1786,27.1776,34.345,34.3562,1.54E-01,96.3457,1.36E-02,215.307,107.48
SKQ201617S,sta013,12/29/16,4:05,-104.55588,16.8157,3141,37.224,36.87735288,26.9535,26.9559,34.3392,34.3483,1.62E-01,96.3067,1.30E-02,216.918,107.885
SKQ201617S,sta013,12/29/16,4:05,-104.55588,16.8157,3141,38.23,37.87398455,26.8082,26.8106,34.3377,34.346,1.84E-01,96.2548,1.25E-02,217.272,107.805
SKQ201617S,sta013,12/29/16,4:05,-104.55588,16.81568,3141,39.236,38.87061621,26.519,26.5209,34.3514,34.3597,1.73E-01,96.2154,1.16E-02,218.365,107.845
