Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
1,9880,PMM1436,492.44,95,95,5.07E10,192,191,1474,Carbamidomethylation; Oxidation (M),57441,| groEL | chaperonin GroEL
3,10366,PMM0452,398.15,69,69,7.66E9,72,71,286,Carbamidomethylation; Oxidation (M),61441,| groEL | chaperonin GroEL
5,12773,PMM0228,393.00,84,84,4.35E9,58,58,180,Carbamidomethylation; Oxidation (M),28114,| psbO | photosystem II manganese-stabilizing protein
4,9777,PMM1704,373.97,63,63,3.74E9,47,47,182,Carbamidomethylation; Oxidation (M),68244,| dnaK | molecular chaperone DnaK
14,9877,PMM1485,371.83,58,58,1.13E9,56,55,112,Carbamidomethylation; Oxidation (M),122908,| rpoB | DNA-directed RNA polymerase subunit beta
15,10439,PMM0710,361.06,69,69,2.09E9,67,67,111,Oxidation (M),33887,| PMM0710 | ABC transporter  substrate binding protein  phosphate
6,16009,PMM0642,359.30,91,91,5.29E9,42,42,167,Carbamidomethylation; Oxidation (M),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase
7,12780,PMM0901,354.96,71,71,2.49E9,57,55,164,Carbamidomethylation; Oxidation (M),72552,| htpG | heat shock protein 90
12,10413,PMM1483,351.02,60,60,1.06E9,61,61,113,Carbamidomethylation; Oxidation (M),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta'
13,16035,PMM0315,347.62,41,41,2.82E9,35,35,115,,56091,| psbB | photosystem II PsbB protein (CP47)
22,9717,PMM1088,338.21,67,67,6.63E8,51,49,85,Carbamidomethylation; Oxidation (M),93427,| clpC | ClpC
9,16023,PMM0407,333.66,82,82,2.23E9,29,29,147,Carbamidomethylation; Oxidation (M),34981,| cysK1 | O-acetylserine (thiol)-lyase A
8,10114,PMM1508,327.95,72,72,2.79E9,44,44,150,Carbamidomethylation; Oxidation (M),43622,| tuf | elongation factor Tu
